date,fiscal_period,i00_overall_balance_of_payments_1_2_3,i01_current_account_1_1_1_2,i02_merchandise,i03_invisibles_1_2_1_1_2_2_1_2_3,i04_services,i05_travel,i06_transportation,i07_insurance,i08_g_n_i_e,i09_miscellaneous,i10_software_services,i11_business_services,i12_financial_services,i13_communication_services,i14_transfers,i15_official,i16_private,i17_income,i18_investment_income,i19_compensation_of_employees,i20_capital_account_2_1_2_2_2_3_2_4_2_5,i21_foreign_investment_2_1_1_2_1_2,i22_foreign_direct_investment,i23_in_india,i24_equity,i25_reinvested_earnings,i26_other_capital,i27_abroad,i28_equity,i29_reinvested_earnings,i30_other_capital,i31_portfolio_investment,i32_in_india,i33_fiis,i34_equity,i35_debt,i36_adr_gdrs,i37_abroad,i38_loans_2_2_1_2_2_2_2_2_3,i39_external_assistance,i40_by_india,i41_to_india,i42_commercial_borrowings,i43_by_india,i44_to_india,i45_short_term_to_india,i46_buyers_credit_suppliers_credit_180_days,i47_suppliers_credit_up_to_180_days,i48_banking_capital_2_3_1_2_3_2,i49_commercial_banks,i50_assets,i51_liabilities,i52_non_resident_deposits,i53_others,i54_rupee_debt_service,i55_other_capital,i56_errors_omissions,i57_monetary_movements_4_1_4_2,i58_i_m_f,i59_foreign_exchange_reserves_increase_decrease,type
1990-06,1990-91:Q1,11410,6170,4168,2002,1159,424,198,27,1,509,,,,,742,67,675,101,101,0,4822,25,25,24,,,,,,,,1,,,,,,,1634,579,0,579,828,4,824,227,0,0,2428,1727,134,1593,1592,701,0,735,418,310,0,310,Credit
1990-06,1990-91:Q1,11580,7796,6000,1796,945,123,255,16,31,520,,,,,2,0,2,849,849,0,3784,2,2,2,,,,,,,,0,,,,,,,669,197,1,196,472,2,470,0,0,0,1880,1415,7,1408,1197,465,704,529,0,140,140,0,Debit
1990-06,1990-91:Q1,-170,-1626,-1832,206,214,301,-57,11,-30,-11,,,,,740,67,673,-748,-748,0,1038,23,23,22,,,,,,,,1,,,,,,,965,382,-1,383,356,2,354,227,0,0,548,312,127,185,395,236,-704,206,418,170,-140,310,Net
1990-09,1990-91:Q2,11932,6197,4367,1830,1138,359,253,25,5,496,,,,,605,93,512,87,87,0,5735,35,35,34,,,,,,,,1,,,,,,,1949,442,0,442,1272,4,1268,235,0,0,3080,2172,79,2093,2074,908,0,670,0,365,0,365,Credit
1990-09,1990-91:Q2,12105,8405,6553,1852,869,98,259,26,35,451,,,,,3,0,3,980,980,0,3516,3,3,3,,,,,,,,0,,,,,,,892,369,2,367,473,10,463,50,0,0,2166,1521,28,1493,1449,645,12,443,184,192,192,0,Debit
1990-09,1990-91:Q2,-173,-2208,-2186,-22,269,261,-6,-1,-30,45,,,,,602,93,509,-893,-893,0,2219,32,32,31,,,,,,,,1,,,,,,,1057,73,-2,75,799,-6,805,185,0,0,914,651,51,600,625,263,-12,227,-184,173,-192,365,Net
1990-12,1990-91:Q3,11560,6363,4616,1747,1097,331,213,29,2,522,,,,,545,128,417,105,105,0,5197,28,28,27,,,,,,,,1,,,,,,,2592,882,0,882,1087,13,1074,623,0,0,2027,1855,165,1690,1690,172,0,550,0,1537,0,1537,Credit
1990-12,1990-91:Q3,12964,9204,7319,1885,827,86,271,30,45,395,,,,,5,0,5,1053,1053,0,3385,4,4,4,,,,,,,,0,,,,,,,813,280,2,278,529,6,523,4,0,0,2385,1671,63,1608,1482,714,45,138,375,133,133,0,Debit
1990-12,1990-91:Q3,-1404,-2841,-2703,-138,270,245,-58,-1,-43,127,,,,,540,128,412,-948,-948,0,1812,24,24,23,,,,,,,,1,,,,,,,1779,602,-2,604,558,7,551,619,0,0,-358,184,102,82,208,-542,-45,412,-375,1404,-133,1537,Net
1991-03,1990-91:Q4,14496,7211,5326,1885,1157,342,319,30,7,459,,,,,653,174,479,75,75,0,7011,23,23,21,,,,,,,,2,,,,,,,3256,1494,0,1494,1095,9,1086,667,0,0,2570,2204,47,2157,1991,366,0,1162,274,1858,1858,0,Credit
1991-03,1990-91:Q4,15242,10216,8043,2173,930,85,308,16,62,459,,,,,5,1,4,1238,1238,0,5026,1,1,1,,,,,,,,0,,,,,,,1525,347,1,346,554,7,547,624,0,0,2993,2450,692,1758,1683,543,431,76,0,1112,179,933,Debit
1991-03,1990-91:Q4,-746,-3005,-2717,-288,227,257,11,14,-55,0,,,,,648,173,475,-1163,-1163,0,1985,22,22,20,,,,,,,,2,,,,,,,1731,1147,-1,1148,541,2,539,43,0,0,-423,-246,-645,399,308,-177,-431,1086,274,746,1679,-933,Net
1991-06,1991-92:Q1,11714,6207,4175,2032,1155,396,217,27,4,511,,,,,820,91,729,57,57,0,5507,9,9,8,,,,,,,,1,,,,,,,2068,1056,0,1056,474,7,467,538,0,0,2854,1791,105,1686,1669,1063,0,576,0,1109,0,1109,Credit
1991-06,1991-92:Q1,12717,7646,5485,2161,1191,165,261,35,30,700,,,,,2,0,2,968,968,0,4931,1,1,1,,,,,,,,0,,,,,,,1403,209,2,207,541,5,536,653,0,0,2594,2207,7,2200,2149,387,785,148,140,106,106,0,Debit
1991-06,1991-92:Q1,-1003,-1439,-1310,-129,-36,231,-44,-8,-26,-189,,,,,818,91,727,-911,-911,0,576,8,8,7,,,,,,,,1,,,,,,,665,847,-2,849,-67,2,-69,-115,0,0,260,-416,98,-514,-480,676,-785,428,-140,1003,-106,1109,Net
1991-09,1991-92:Q2,13204,6292,4353,1939,1113,430,243,25,3,412,,,,,790,112,678,36,36,0,5346,17,17,16,,,,,,,,1,,,,,,,1875,729,0,729,439,3,436,708,0,0,2177,1936,45,1891,1890,241,0,1277,1566,864,864,0,Credit
1991-09,1991-92:Q2,13262,7952,6077,1875,812,113,258,21,27,393,,,,,4,0,4,1059,1059,0,5310,6,6,6,,,,,,,,0,,,,,,,964,340,1,339,258,1,257,366,0,0,3364,3035,1057,1978,1773,329,21,955,0,806,128,678,Debit
1991-09,1991-92:Q2,-58,-1660,-1724,64,301,317,-15,4,-24,19,,,,,786,112,674,-1023,-1023,0,36,11,11,10,,,,,,,,1,,,,,,,911,389,-1,390,181,2,179,342,0,0,-1187,-1099,-1012,-87,117,-88,-21,322,1566,58,736,-678,Net
1991-12,1991-92:Q3,13151,7663,4521,3142,1579,693,213,26,7,640,,,,,1510,93,1417,53,53,0,5488,40,40,39,,,,,,,,1,,,,,,,1899,913,0,913,569,5,564,418,0,0,2752,2607,524,2083,2074,145,0,797,0,118,118,0,Credit
1991-12,1991-92:Q3,11592,5997,4240,1757,770,76,322,44,33,295,,,,,3,0,3,984,984,0,4538,1,1,1,,,,,,,,0,,,,,,,1403,378,0,378,303,4,299,722,0,0,2478,1795,0,1795,1719,683,38,618,1057,1677,92,1585,Debit
1991-12,1991-92:Q3,1559,1666,281,1385,809,617,-109,-18,-26,345,,,,,1507,93,1414,-931,-931,0,950,39,39,38,,,,,,,,1,,,,,,,496,535,0,535,266,1,265,-304,0,0,274,812,524,288,355,-538,-38,179,-1057,-1559,26,-1585,Net
1992-03,1991-92:Q4,14602,7606,5217,2389,1175,458,266,30,3,418,,,,,1138,164,974,76,76,0,6996,85,85,84,,,,,,,,1,,,,,,,3575,1669,0,1669,1670,4,1666,236,0,0,3178,2734,662,2072,2063,444,0,158,0,263,263,0,Credit
1992-03,1991-92:Q4,12501,7351,5262,2089,1042,111,447,26,30,428,,,,,7,1,6,1040,1040,0,4645,10,10,10,,,,,,,,0,,,,,,,1667,406,2,404,588,3,585,673,0,0,1958,1893,43,1850,1765,65,396,614,505,2364,134,2230,Debit
1992-03,1991-92:Q4,2101,255,-45,300,133,347,-181,4,-27,-10,,,,,1131,163,968,-964,-964,0,2351,75,75,74,,,,,,,,1,,,,,,,1908,1263,-2,1265,1082,1,1081,-437,0,0,1220,841,619,222,298,379,-396,-456,-505,-2101,129,-2230,Net
1992-06,1992-93:Q1,11870,6011,4159,1852,786,470,180,35,1,100,,,,,972,103,869,94,94,0,5859,56,56,56,,,,,,,,0,,,,,,,1623,511,0,511,224,3,221,888,0,0,3645,3422,502,2920,2883,223,0,535,0,0,0,0,Credit
