date,acquisitionOfShares,directInvestmentToIndia,equityGovernment,equityInflows,equityRBI,equityUnincorporated,fdiByIndia,fdiByIndiaEquity,fdiByIndiaOther,fdiByIndiaReinvested,fdiByIndiaRepatriation,fpis,gdrsAdrs,grossInflows,netFDI,netPortfolioInvestment,offshoreFunds,otherCapitalInflows,portfolioByIndia,reinvestedEarnings,repatriationDisinvestment,repatriationEquity,repatriationOther
2011-03,333,1174,45,1723,1250,95,930,813,244,101,228,-552,0,2621,244,-609,0,136,57,762,1448,1421,27
2011-04,203,2782,655,3198,2263,77,863.8,576.62,321.18,101,135,3439.6,105,4302,1918.2,3475.6,0,484,69,620,1520,1409,111
2011-05,202,4074,103,4490,4108,77,887.93,428.19,493.74,101,135,-1708.87,125,5594,3186.07,-1652.87,0,484,69,620,1520,1409,111
2011-06,2220,5317,993,5733,2443,77,1439.97,605.23,868.74,101,135,741.07,48,6837,3877.03,720.07,0,484,69,620,1520,1409,111
2011-07,46,1235.07,212,1178,841,79,1102.08,498.43,624.98,100.67,122,1540.36,20,1947.4,132.99,1623.03,0,134.4,-62.67,635,712.33,671.67,40.67
2011-08,3552,6177.07,105,6120,2384,79,1037.74,716.59,342.48,100.67,122,-1820.71,24,6889.4,5139.33,-1734.04,0,134.4,-62.67,635,712.33,671.67,40.67
2011-09,228,1902.07,109,1845,1429,79,963.03,470.88,513.48,100.67,122,-1308.19,161,2614.4,939.04,-1084.52,0,134.4,-62.67,635,712.33,671.67,40.67
2011-10,2019,3035,130,3093,854,90,427,475,185,101,334,-516,84,3888,2608,-448,0,77,16,718,853,838,15
2011-11,1228,2570,282,2628,1028,90,946,515,665,101,334,76,0,3423,1624,60,0,77,16,718,853,838,15
2011-12,90,1385,121,1443,1142,90,612,487,358,101,334,2302,0,2238,773,2286,0,77,16,718,853,838,15
2012-01,503,1550,86,2099,1415,95,550,433,244,101,228,5392,30,2997,999,5365,0,136,57,762,1448,1421,27
2012-02,736,1757,205,2306,1270,95,1312,577,862,101,228,9228,0,3204,444,9170,0,136,57,762,1448,1421,27
2012-03,333,1174,45,1723,1250,95,955,858,224,101,228,-552,0,2621,219,-609,0,136,57,762,1448,1421,27
2012-04,340,2352.62,356,1942,1161,85,790.33,345.18,633.7,99.1,287.66,-1305.51,0,2816.1,1562.3,-1408.84,0,121,103.33,753.1,463.48,344.19,119.29
2012-05,198,1822.62,24,1412,1105,85,798.31,527.12,459.74,99.1,287.66,11.56,0,2286.1,1024.32,-91.77,0,121,103.33,753.1,463.48,344.19,119.29
2012-06,408.4,1739.85,139.05,1329.23,696.78,85,505.01,509.21,184.35,99.1,287.66,-412.17,94,2203.33,1234.85,-421.5,0,121,103.33,753.1,463.48,344.19,119.29
2012-07,212.3,2042.26,504.7,1560.46,757.46,86,429.67,431.59,377.53,99.1,478.55,2147.99,60,2489.59,1612.59,2117.66,0,163,90.33,766.13,447.33,446.67,0.67
2012-08,455.18,2831.7,281.88,2349.9,1526.84,86,432.77,510.67,301.55,99.1,478.55,1565.83,0,3279.03,2398.93,1475.5,0,163,90.33,766.13,447.33,446.67,0.67
2012-09,195.62,4648.63,19.38,4166.83,3865.83,86,501.75,588.72,292.48,99.1,478.55,4189.71,25,5095.96,4146.88,4124.38,0,163,90.33,766.13,447.33,446.67,0.67
2012-10,328.46,2022.86,417.66,2032.54,1195.42,91,809.61,801.3,441,99.1,531.78,2936.99,8,2929.52,1213.24,2920.99,0,33.67,24,863.32,906.67,874.67,32
2012-11,127.62,1139.8,38.77,1149.48,892.09,91,700.34,632.06,500.97,99.1,531.78,2026.24,0,2046.46,439.45,2002.24,0,33.67,24,863.32,906.67,874.67,32
2012-12,162.16,1181.51,248.22,1191.2,689.81,91,728.17,689.92,470.94,99.1,531.78,4882.1,0,2088.18,453.34,4858.1,0,33.67,24,863.32,906.67,874.67,32
2013-01,278.83,2721.78,191.84,2248.48,1686.81,91,20.74,276.16,176.76,99.1,531.28,6117.44,0,3352.78,2701.03,6042.44,0,193.67,75,910.63,631,618.67,12.33
2013-02,329.65,2359.64,84.22,1886.34,1381.47,91,149.59,369.75,212.02,99.1,531.28,4176.34,0,2990.64,2210.05,4101.34,0,193.67,75,910.63,631,618.67,12.33
2013-03,502.79,2089.3,13.74,1616,1008.48,91,1267.35,1419.67,279.86,99.1,531.28,1245.84,0,2720.3,821.95,1170.84,0,193.67,75,910.63,631,618.67,12.33
2013-04,1376.79,2681.5,108.31,2395.74,836.3,74.33,-106.54,401.14,186.03,92,785.7,1542,0,3232.43,2788.04,1621.13,0,150.33,-79.13,686.36,550.93,508.6,42.33
2013-05,252.79,1991.34,189.15,1705.57,1189.3,74.33,125.61,403.21,416.11,92,785.7,6703,0,2542.27,1865.72,6782.13,0,150.33,-79.13,686.36,550.93,508.6,42.33
2013-06,431.55,1804.1,131.99,1518.34,880.46,74.33,-30.56,286.95,376.2,92,785.7,-8727,20,2355.03,1834.66,-8627.87,0,150.33,-79.13,686.36,550.93,508.6,42.33
2013-07,374.42,2166.85,69.24,1732.28,1212.96,75.67,236.6,241.37,308.57,99,412.34,-4703.03,0,2519.36,1930.25,-4715.54,0,91.08,12.51,696,352.51,284.08,68.43
2013-08,461.53,1918.11,156,1483.54,790.34,75.67,257.51,218.78,352.07,99,412.34,-2018.33,0,2270.62,1660.6,-2030.84,0,91.08,12.51,696,352.51,284.08,68.43
2013-09,3349.41,4643.63,9.97,4209.06,774.01,75.67,133.07,264.46,181.95,99,412.34,157.29,0,4996.14,4510.57,144.78,0,91.08,12.51,696,352.51,284.08,68.43
2013-10,322.99,1830.2,88.59,1312.25,814.68,86,-209.47,346.61,178.74,99,833.82,-366.15,0,2300.25,2039.67,-414.03,0,196.67,47.88,791.33,470.06,441.41,28.65
2013-11,66.24,2241.57,258.95,1723.63,1312.43,86,76.59,544.94,266.47,99,833.82,-34.66,0,2711.63,2164.98,-82.54,0,196.67,47.88,791.33,470.06,441.41,28.65
2013-12,139.77,1705.3,42.73,1187.36,918.86,86,-155.58,400.47,178.77,99,833.82,2934.49,0,2175.36,1860.89,2886.61,0,196.67,47.88,791.33,470.06,441.41,28.65
2014-01,607.29,2869.12,65.99,2278.02,1515.74,89,3428.04,3677.07,131.83,99,479.86,2615.8,0,3256.95,-558.92,2528.11,0,159.93,87.69,819,387.83,361.13,26.71
2014-02,600.67,2697.34,51.71,2106.24,1364.86,89,3362.97,3609.56,134.27,99,479.86,1508.5,0,3085.17,-665.63,1420.81,0,159.93,87.69,819,387.83,361.13,26.71
2014-03,261.84,4213.43,12.78,3622.33,3258.71,89,2080.74,2025.03,436.57,99,479.86,5396.84,0,4601.26,2132.69,5309.15,0,159.93,87.69,819,387.83,361.13,26.71
2014-04,464.89,2057.55,99.09,1780.47,1140.93,75.57,172.94,219.64,195.92,278.09,520.71,-68.5,0,2709.79,1884.6,-76.85,0,157.67,8.35,771.65,652.24,634.69,17.55
2014-05,1946.5,3956.49,58.38,3679.42,1598.97,75.57,248.25,204.24,286.63,278.09,520.71,7709.21,0,4608.74,3708.24,7700.86,0,157.67,8.35,771.65,652.24,634.69,17.55
2014-06,265.87,2279.31,458.53,2002.24,1202.28,75.57,280.23,283.74,239.11,278.09,520.71,4824.13,0,2931.56,1999.08,4815.78,0,157.67,8.35,771.65,652.24,634.69,17.55
2014-07,1049,3956.41,210,3577.32,2241,77.32,411.56,339.36,317.53,278.09,523.42,5416.79,0,4659.6,3544.85,5380.05,0,292.67,36.74,789.61,703.19,683.34,19.85
2014-08,650,1734.41,37,1355.32,591,77.32,557.91,210.62,592.62,278.09,523.42,2091.42,0,2437.6,1176.5,2054.68,0,292.67,36.74,789.61,703.19,683.34,19.85
2014-09,277.34,3136.79,468.94,2757.71,1934.11,77.32,383.08,390.09,238.32,278.09,523.42,2364.22,0,3839.99,2753.71,2327.48,0,292.67,36.74,789.61,703.19,683.34,19.85
2014-10,419.96,3095.7,7.92,2739.17,2227.43,83.87,355.53,400.08,277.19,278.09,599.83,1721.87,0,3812.94,2740.17,1765.33,0,217.33,-43.46,856.44,717.24,694.7,22.55
2014-11,21.91,1977.61,123.86,1621.08,1391.45,83.87,93.27,259.42,155.59,278.09,599.83,4832.22,0,2694.85,1884.34,4875.68,0,217.33,-43.46,856.44,717.24,694.7,22.55
2014-12,295.93,2601.54,239.11,2245,1626.09,83.87,311.95,365.03,268.66,278.09,599.83,-404.23,0,3318.78,2289.59,-360.77,0,217.33,-43.46,856.44,717.24,694.7,22.55
2015-01,255.22,4681.28,209.12,4569.79,4016.18,89.27,212.96,286.69,220.46,278.09,572.28,6634.37,0,5896.72,4468.32,6639.79,0,415.33,-5.43,911.61,1215.45,1191.39,24.05
2015-02,302.58,3488.64,65.29,3377.15,2920.02,89.27,273.88,366.88,201.19,278.09,572.28,3768.79,0,4704.09,3214.76,3774.21,0,415.33,-5.43,911.61,1215.45,1191.39,24.05
2015-03,235.6,2317.85,241.41,2206.35,1640.07,89.27,729.69,541.4,482.48,278.09,572.28,2032.35,1270.72,3533.29,1588.15,3308.49,0,415.33,-5.43,911.61,1215.45,1191.39,24.05
2015-04,301.35,4251.4,78.52,3680.15,3224.71,75.57,487.32,320.32,329.12,278.09,440.21,3970.83,273.35,5144.8,3764.09,4299.69,0,693,-55.51,771.65,893.4,872.49,20.9
2015-05,168.18,4496.88,502.57,3925.63,3179.31,75.57,436.76,392.61,206.27,278.09,440.21,-1962.4,0,5390.28,4060.13,-1906.89,0,693,-55.51,771.65,893.4,872.49,20.9
2015-06,280.3,2700.49,169.12,2129.23,1604.25,75.57,521.62,447.04,236.7,278.09,440.21,-2224.91,0,3593.88,2178.87,-2169.4,0,693,-55.51,771.65,893.4,872.49,20.9
2015-07,165.74,2351.31,90.84,2083.86,1749.95,77.32,486.83,372.01,159.95,278.09,323.22,348.36,100.01,3086.47,1864.48,483.76,0,213,-35.39,789.61,735.17,733.6,1.56
2015-08,276.3,2564.76,58.95,2297.31,1884.73,77.32,477.13,343.01,179.25,278.09,323.22,-2503.78,0,3299.92,2087.63,-2468.39,0,213,-35.39,789.61,735.17,733.6,1.56
2015-09,183.97,3241.37,51.35,2973.93,2661.28,77.32,673.92,310.33,408.72,278.09,323.22,-1419.8,0,3976.54,2567.45,-1384.41,0,213,-35.39,789.61,735.17,733.6,1.56
2015-10,566.03,5610.72,1756.41,5347.45,2919.82,105.2,991.73,405.68,530.21,278.09,222.25,5291.32,0,6410.36,4618.99,5288.24,0,186,3.08,876.91,799.63,787.76,11.87
2015-11,193.89,3302.55,61.21,3039.28,2678.98,105.2,702.14,285.12,361.18,278.09,222.25,-2970.09,0,4102.19,2600.41,-2973.17,0,186,3.08,876.91,799.63,787.76,11.87
2015-12,303.61,5003.16,106.05,4739.89,4225.04,105.2,1520.29,1243.16,221.29,278.09,222.25,-1758.13,0,5802.8,3482.87,-1761.21,0,186,3.08,876.91,799.63,787.76,11.87
2016-01,619.62,5250.52,104.74,5087.54,4251.04,112.13,832.48,740.71,267.88,278.09,454.2,-893.63,0,6373,4418.04,-1143.85,0,252.67,250.21,1032.8,1122.48,1114.26,8.22
2016-02,240.78,3391.81,496.48,3228.83,2379.44,112.13,544.72,505.78,215.05,278.09,454.2,-1251.31,0,4514.29,2847.09,-1501.53,0,252.67,250.21,1032.8,1122.48,1114.26,8.22
2016-03,633.09,2741.54,97.79,2578.56,1735.55,112.13,1210.61,1120.22,266.5,278.09,454.2,1357.58,0,3864.02,1530.93,1107.36,0,252.67,250.21,1032.8,1122.48,1114.26,8.22
2016-04,1755.18,2796.87,452.77,3456.3,1153.8,94.55,1540.61,1499.86,605.24,243.79,808.27,3141.5,0,4747.65,1256.26,3429.13,0,235,-287.63,1056.35,1950.78,1927.85,22.93
2016-05,823.26,1418.58,129.27,2078.02,1030.93,94.55,53.2,315.67,302.02,243.79,808.27,-1621.85,0,3369.36,1365.38,-1334.22,0,235,-287.63,1056.35,1950.78,1927.85,22.93
2016-06,319.28,1680.59,126.04,2340.03,1800.16,94.55,420.2,611.39,373.3,243.79,808.27,-279.1,0,3631.37,1260.39,8.53,0,235,-287.63,1056.35,1950.78,1927.85,22.93
