month,equity_INRcr,total_INRcr
2002-01,424.0,699.0
2002-02,1967.0,2336.0
2002-03,391.0,330.0
2002-04,10.0,-113.0
2002-05,-55.0,47.0
2002-06,-382.0,-868.0
2002-07,350.0,240.0
2002-08,207.0,176.0
2002-09,468.0,322.0
2002-10,-776.0,-875.0
2002-11,601.0,738.0
2002-12,429.0,650.0
2003-01,887.0,985.0
2003-02,377.0,426.0
2003-03,413.0,965.0
2003-04,430.0,994.0
2003-05,1220.0,3059.0
2003-06,2584.0,3464.0
2003-07,2346.0,2162.0
2003-08,2091.0,2228.0
2003-09,3852.0,4177.0
2003-10,6797.0,6722.0
2003-11,3301.0,3595.0
2003-12,6159.0,6381.0
2004-01,3179.0,3870.0
2004-02,2398.0,2672.0
2004-03,5604.0,6444.0
2004-04,7637.0,6718.0
2004-05,-3248.0,-3549.0
2004-06,518.0,-270.0
2004-07,914.0,713.0
2004-08,2894.0,2523.0
2004-09,2386.0,2577.0
2004-10,3263.0,2028.0
2004-11,6739.0,8184.0
2004-12,6685.0,10140.0
2005-01,458.0,-316.0
2005-02,8375.0,9209.0
2005-03,7501.0,7926.0
2005-04,-655.0,-1476.0
2005-05,-1143.0,-1389.0
2005-06,5330.0,5260.0
2005-07,7935.0,7763.0
2005-08,5052.0,4622.0
2005-09,4645.0,4458.0
2005-10,-3694.0,-4628.0
2005-11,4039.0,1873.0
2005-12,9337.0,8362.0
2006-01,3679.0,2758.0
2006-02,7587.0,7436.0
2006-03,6690.0,6431.0
2006-04,523.0,772.0
2006-05,-7353.0,-6647.0
2006-06,480.0,874.0
2006-07,1143.0,1297.0
2006-08,4645.0,5449.0
2006-09,5424.0,6132.0
2006-10,8014.0,8671.0
2006-11,9381.0,10186.0
2006-12,-3669.0,-2769.0
2007-01,492.0,-1682.0
2007-02,7239.0,8195.0
2007-03,-1081.0,362.0
2007-04,6678.0,7719.0
2007-05,3960.0,5320.0
2007-06,1640.0,1098.0
2007-07,23873.0,22609.0
2007-08,-7770.0,-7163.0
2007-09,16131.0,18786.0
2007-10,20591.0,23091.0
2007-11,-5850.0,-6318.0
2007-12,5577.0,8889.0
2008-01,-13035.0,-11084.0
2008-02,1733.0,4229.0
2008-03,-131.0,-1011.0
2008-04,1076.0,-626.0
2008-05,-5013.0,-5176.0
2008-06,-10098.0,-11097.0
2008-07,-1833.0,1787.0
2008-08,-1210.0,46.0
2008-09,-8280.0,-5074.0
2008-10,-15346.0,-17206.0
2008-11,-2598.0,1619.0
2008-12,1748.0,2377.0
2009-01,-4245.0,-3441.0
2009-02,-2437.0,-3125.0
2009-03,530.0,-5888.0
2009-04,6510.0,8998.0
2009-05,20116.0,17409.0
2009-06,3831.0,4900.0
2009-07,11066.0,13182.0
2009-08,4906.0,4528.0
2009-09,18346.0,20574.0
2009-10,9076.0,15971.0
2009-11,5498.0,6182.0
2009-12,10234.0,8712.0
2010-01,-499.0,8415.0
2010-02,1215.0,4361.0
2010-03,19927.0,29438.0
2010-04,9362.0,12393.0
2010-05,-9438.0,-6987.0
2010-06,10507.0,11247.0
2010-07,16618.0,24723.0
2010-08,11685.0,14685.0
2010-09,24980.0,32668.0
2010-10,28561.0,24300.0
2010-11,18294.0,21210.0
2010-12,2048.0,3214.0
2011-01,-4813.0,5366.0
2011-02,-4585.0,-3268.0
2011-03,6896.0,6880.0
2011-04,7211.0,7195.0
2011-05,-6613.0,-4275.0
2011-06,4575.0,4885.0
2011-07,8030.0,10653.0
2011-08,-10836.0,-7904.0
2011-09,-159.0,-1865.0
2011-10,1678.0,3082.0
2011-11,-4198.0,-3266.0
2011-12,100.0,21875.0
2012-01,10355.0,26325.0
2012-02,25212.0,35227.0
2012-03,8382.0,1794.0
2012-04,-1109.0,-4898.0
2012-05,-348.0,3221.0
2012-06,-503.0,1176.0
2012-07,10276.0,13667.0
2012-08,10804.0,11068.0
2012-09,19262.0,19885.0
2012-10,11365.0,19218.0
2012-11,9579.0,9869.0
2012-12,25086.0,26790.0
2013-01,22059.0,25007.0
2013-02,24440.0,28440.0
2013-03,9125.0,14921.0
2013-04,5413.0,10747.0
2013-05,22168.0,28136.0
2013-06,-11027.0,-44162.0
2013-07,-6087.0,-18126.0
2013-08,-5923.0,-15698.0
2013-09,13057.0,7379.0
2013-10,15706.0,2125.0
2013-11,8116.0,2133.0
2013-12,16087.0,21378.0
2014-01,714.0,13321.0
2014-02,1405.0,12741.0
2014-03,20078.0,31665.0
2014-04,9600.0,418.0
2014-05,14007.0,33778.0
2014-06,13990.0,30705.0
2014-07,13110.0,36045.0
2014-08,5431.0,22135.0
2014-09,5104.0,20973.0
2014-10,-1172.0,16729.0
2014-11,13756.0,25479.0
2014-12,1036.0,12225.0
2015-01,12919.0,33687.0
2015-02,11475.0,24564.0
2015-03,12076.0,20725.0
2015-04,11721.0,15331.0
2015-05,-5769.0,-14272.0
2015-06,-3344.0,-1607.0
2015-07,5321.0,5323.0
2015-08,-16878.0,-17524.0
2015-09,-6477.0,-5787.0
2015-10,6649.0,22352.0
2015-11,-7074.0,-10828.0
2015-12,-2818.0,-8307.0
2016-01,-11127.0,-8814.0
2016-02,-5522.0,-13716.0
2016-03,21142.0,19665.0
2016-04,8415.0,14833.0
2016-05,2542.0,-1867.0
2016-06,3714.0,-2507.0
2016-07,12611.0,19458.0
2016-08,9071.0,6445.0
2016-09,10444.0,20233.0
2016-10,-4306.0,-10306.0
2016-11,-18244.0,-39395.0
2016-12,-8177.0,-27110.0
2017-01,-1177.0,-3496.0
2017-02,9902.0,15862.0
2017-03,30906.0,56261.0
2017-04,2394.0,22758.0
2017-05,7711.0,26866.0
2017-06,3617.0,29302.0
2017-07,5161.0,24028.0
2017-08,-12770.0,2677.0
2017-09,-11392.0,-10043.0
2017-10,3055.0,19119.0
2017-11,19728.0,20258.0
2017-12,-5883.0,-3544.0
2018-01,13781.0,22272.0
2018-02,-11423.0,-11674.0
2018-03,11654.0,2662.0
2018-04,-5552.0,-15561.0
2018-05,-10060.0,-29776.0
2018-06,-4831.0,-15795.0
2018-07,2264.0,2264.0
2018-08,1775.0,5146.0
2018-09,-10825.0,-21035.0
2018-10,-28921.0,-38906.0
2018-11,5981.0,11595.0
2018-12,3143.0,7889.0
2019-01,-4262.0,-5556.0
2019-02,17220.0,12053.0
2019-03,33981.0,48751.0
2019-04,21193.0,16728.0
2019-05,7920.0,11370.0
2019-06,2596.0,13111.0
2019-07,-12419.0,-3003.0
2019-08,-17592.0,-5871.0
2019-09,7548.0,6582.0
2019-10,12368.0,16069.0
2019-11,25231.0,22999.0
2019-12,7338.0,2762.0
2020-01,12123.0,957.0
2020-02,1820.0,8970.0
2020-03,-61973.0,-118203.0
2020-04,-6884.0,-14859.0
2020-05,14569.0,-7356.0
2020-06,21832.0,26009.0
2020-07,7563.0,3301.0
2020-08,47080.0,49879.0
2020-09,-7783.0,-1196.0
2020-10,19541.0,21826.0
2020-11,60358.0,62782.0
2020-12,62016.0,71046.0
2021-01,19473.0,14631.0
2021-02,25787.0,24013.0
2021-03,10482.0,17023.0
2021-04,-9659.0,-8836.0
2021-05,-2954.0,-1958.0
2021-06,17215.0,12974.0
2021-07,-11308.0,-7410.0
2021-08,2083.0,16556.0
2021-09,13154.0,27756.0
2021-10,-13550.0,-12437.0
2021-11,-5945.0,-2521.0
2021-12,-19026.0,-29702.0
2022-01,-33303.0,-28526.0
2022-02,-35592.0,-38068.0
2022-03,-41123.0,-50068.0
2022-04,-17144.0,-22688.0
2022-05,-39993.0,-36518.0
2022-06,-50203.0,-51422.0
2022-07,4989.0,1971.0
2022-08,51204.0,56521.0
2022-09,-7624.0,-3955.0
2022-10,-8.0,-3080.0
2022-11,36239.0,33847.0
2022-12,11119.0,9171.0
2023-01,-28852.0,-26544.0
2023-02,-5294.0,-4139.0
2023-03,7936.0,5899.0
2023-04,11631.0,13545.0
2023-05,43838.0,48330.0
2023-06,47148.0,56258.0
2023-07,46618.0,47977.0
2023-08,12262.0,18338.0
2023-09,-14768.0,-13810.0
2023-10,-24548.0,-17875.0
2023-11,9001.0,24546.0
2023-12,66135.0,84537.0
2024-01,-25744.0,-6593.0
2024-02,1539.0,31817.0
2024-03,35098.0,51996.0
2024-04,-8671.0,-16260.0
2024-05,-25586.0,-12911.0
2024-06,26565.0,41757.0
2024-07,32365.0,48796.0
2024-08,7320.0,25493.0
2024-09,57724.0,93538.0
2024-10,-94017.0,-96358.0
2024-11,-21612.0,-21444.0
2024-12,15446.0,25938.0
2025-01,-78027.0,-77211.0
2025-02,-34574.0,-24301.0
2025-03,-3973.0,32981.0
2025-04,4223.0,-20190.0
2025-05,19860.0,30950.0
2025-06,14590.0,-7563.0
2025-07,-17741.0,-5538.0
2025-08,-34993.0,-20505.0
2025-09,-23885.0,-12539.0
2025-10,14610.0,35598.0
2025-11,-3765.0,2836.0
2025-12,-22611.0,-38568.0
2026-01,-35962.0,-29240.0
2026-02,22615.0,37804.0
2026-03,-117775.0,-125736.0
2026-04,-60847.0,-70885.0
2026-05,-32963.0,-29484.0
2026-06,-49340.0,4669.0
2026-07,20200.0,40031.0
