date,exports_inr,exports_usd,imports_inr,imports_usd,non_oil_exports_inr,non_oil_exports_usd,non_oil_imports_inr,non_oil_imports_usd,non_oil_trade_balance_inr,oil_exports_inr,oil_exports_usd,oil_imports_inr,oil_imports_usd,oil_trade_balance_inr,oil_trade_balance_usd,trade_balance_inr,trade_balance_usd
1990-04,2480,1435,3234,1872,,,,,,,,,,,,-754,-436
1990-05,2597,1496,3129,1802,,,,,,,,,,,,-532,-306
1990-06,2303,1322,2878,1652,,,,,,,,,,,,-575,-330
1990-07,2556,1471,3058,1760,,,,,,,,,,,,-502,-289
1990-08,2583,1484,3223,1852,,,,,,,,,,,,-640,-368
1990-09,2582,1447,3825,2144,,,,,,,,,,,,-1243,-697
1990-10,2559,1414,3738,2066,,,,,,,,,,,,-1180,-652
1990-11,2632,1456,4472,2474,,,,,,,,,,,,-1840,-1018
1990-12,2920,1613,4143,2289,,,,,,,,,,,,-1223,-676
1991-01,3036,1660,4123,2254,,,,,,,,,,,,-1086,-594
1991-02,2866,1519,3657,1938,,,,,,,,,,,,-791,-419
1991-03,3439,1791,3714,1934,,,,,,,,,,,,-275,-143
1991-04,2977,1501,3072,1548,,,,,,,,,,,,-94,-48
1991-05,2732,1330,3224,1570,,,,,,,,,,,,-492,-240
1991-06,2666,1269,3615,1721,,,,,,,,,,,,-950,-452
1991-07,3376,1326,3391,1332,,,,,,,,,,,,-15,-6
1991-08,3645,1422,3927,1532,,,,,,,,,,,,-281,-110
1991-09,3931,1518,4083,1577,,,,,,,,,,,,-152,-59
1991-10,3668,1421,4338,1681,,,,,,,,,,,,-670,-260
1991-11,3670,1420,3996,1546,,,,,,,,,,,,-325,-126
1991-12,4117,1591,4799,1855,,,,,,,,,,,,-683,-264
1992-01,4500,1732,4338,1669,,,,,,,,,,,,162,62
1992-02,3938,1520,4379,1691,,,,,,,,,,,,-441,-170
1992-03,4822,1720,4690,1673,,,,,,,,,,,,132,47
1992-04,4009,1387,5173,1789,,,,,,,,,,,,-1164,-403
1992-05,3789,1327,5224,1829,,,,,,,,,,,,-1435,-502
1992-06,3887,1364,5717,2006,,,,,,,,,,,,-1830,-642
1992-07,4052,1421,5647,1981,,,,,,,,,,,,-1595,-559
1992-08,4519,1591,4933,1736,,,,,,,,,,,,-414,-146
1992-09,4323,1523,5406,1904,,,,,,,,,,,,-1083,-381
1992-10,4449,1567,4773,1682,,,,,,,,,,,,-324,-114
1992-11,4310,1517,5294,1864,,,,,,,,,,,,-983,-346
1992-12,4274,1480,5542,1919,,,,,,,,,,,,-1268,-439
1993-01,4544,1566,4659,1606,,,,,,,,,,,,-115,-40
1993-02,5310,1766,5516,1834,,,,,,,,,,,,-206,-68
1993-03,6224,1974,5493,1743,,,,,,,,,,,,730,232
1993-04,5616,1794,5467,1746,,,,,,,,,,,,149,48
1993-05,5299,1691,5466,1745,,,,,,,,,,,,-168,-54
1993-06,5331,1697,6213,1978,,,,,,,,,,,,-882,-281
1993-07,5767,1839,6190,1973,,,,,,,,,,,,-422,-135
1993-08,5458,1740,5800,1849,,,,,,,,,,,,-341,-109
1993-09,5205,1659,5975,1905,,,,,,,,,,,,-770,-245
1993-10,5633,1796,5803,1850,,,,,,,,,,,,-171,-54
1993-11,5276,1682,5790,1846,,,,,,,,,,,,-515,-164
1993-12,6027,1921,7075,2255,,,,,,,,,,,,-1048,-334
1994-01,6545,2087,5891,1878,,,,,,,,,,,,654,209
1994-02,6415,2045,5879,1874,,,,,,,,,,,,536,171
1994-03,7179,2288,7553,2407,,,,,,,,,,,,-374,-119
1994-04,6368,2030,6352,2025,,,,,,,,,,,,15,5
1994-05,5760,1836,6104,1946,,,,,,,,,,,,-344,-110
1994-06,5798,1848,6409,2043,,,,,,,,,,,,-611,-195
1994-07,5970,1903,6900,2199,,,,,,,,,,,,-930,-296
1994-08,6810,2171,7287,2323,,,,,,,,,,,,-477,-152
1994-09,6645,2118,7653,2440,,,,,,,,,,,,-1008,-321
1994-10,7113,2267,8227,2622,,,,,,,,,,,,-1114,-355
1994-11,6517,2076,7547,2404,,,,,,,,,,,,-1030,-328
1994-12,7384,2352,8415,2681,,,,,,,,,,,,-1032,-329
1995-01,7363,2347,7442,2372,,,,,,,,,,,,-80,-25
1995-02,7388,2355,8099,2581,,,,,,,,,,,,-711,-226
1995-03,9559,3020,9535,3012,,,,,,,,,,,,24,8
1995-04,7833,2494,7750,2467,,,,,,,,,,,,83,27
1995-05,7511,2391,9475,3016,,,,,,,,,,,,-1965,-625
1995-06,7594,2418,9052,2883,,,,,,,,,,,,-1458,-464
1995-07,7890,2514,9682,3086,,,,,,,,,,,,-1792,-571
1995-08,8135,2576,9586,3035,,,,,,,,,,,,-1451,-460
1995-09,7957,2396,10052,3027,,,,,,,,,,,,-2095,-631
1995-10,8675,2512,9707,2811,,,,,,,,,,,,-1032,-299
1995-11,9275,2670,11389,3278,,,,,,,,,,,,-2114,-609
1995-12,10275,2939,10979,3141,,,,,,,,,,,,-704,-201
1996-01,9526,2665,12187,3410,,,,,,,,,,,,-2662,-745
1996-02,9773,2668,10850,2962,,,,,,,,,,,,-1077,-294
1996-03,11910,3463,11969,3480,,,,,,,,,,,,-59,-17
1996-04,9956,2908,10426,3045,,,,,,,,,,,,-470,-137
1996-05,9613,2746,11721,3348,,,,,,,,,,,,-2108,-602
1996-06,9220,2636,10031,2868,,,,,,,,,,,,-811,-232
1996-07,9548,2689,10429,2937,,,,,,,,,,,,-881,-248
1996-08,9631,2698,10789,3023,,,,,,,,,,,,-1158,-324
1996-09,9460,2648,10573,2959,,,,,,,,,,,,-1114,-312
1996-10,9499,2665,11506,3228,,,,,,,,,,,,-2007,-563
1996-11,9007,2520,12235,3424,,,,,,,,,,,,-3228,-903
1996-12,10049,2804,11689,3262,,,,,,,,,,,,-1640,-458
1997-01,10549,2941,13923,3882,,,,,,,,,,,,-3374,-941
1997-02,9853,2745,12813,3570,,,,,,,,,,,,-2960,-825
1997-03,12433,3466,12785,3564,,,,,,,,,,,,-352,-98
1997-04,9437,2635,11388,3180,,,,,,,,,,,,-1952,-545
1997-05,10905,3045,12547,3503,,,,,,,,,,,,-1642,-459
1997-06,10116,2825,11984,3347,,,,,,,,,,,,-1868,-522
1997-07,10677,2988,12699,3553,,,,,,,,,,,,-2022,-566
1997-08,10125,2819,10991,3060,,,,,,,,,,,,-866,-241
1997-09,10955,3007,11566,3175,,,,,,,,,,,,-611,-168
1997-10,10920,3014,12989,3586,,,,,,,,,,,,-2069,-571
1997-11,9680,2600,12285,3299,,,,,,,,,,,,-2605,-700
1997-12,11423,2913,14575,3717,,,,,,,,,,,,-3153,-804
1998-01,11616,2949,14078,3575,,,,,,,,,,,,-2462,-625
1998-02,11448,2944,14400,3703,,,,,,,,,,,,-2951,-759
1998-03,12801,3241,14677,3716,,,,,,,,,,,,-1875,-475
1998-04,10763,2714,14218,3585,,,,,,,,,,,,-3455,-871
1998-05,10189,2518,15168,3748,,,,,,,,,,,,-4979,-1230
1998-06,10498,2485,13356,3162,,,,,,,,,,,,-2858,-677
