captured_utc,expiry,strike,side,iv,oi,ltp,underlying
2026-08-20T10:51:27+00:00,27-Aug-2026,93.5,PE,9.0717,100,0.015,95.6416
2026-08-20T10:51:27+00:00,27-Aug-2026,94,PE,8.0977,545,0.025,95.6416
2026-08-20T10:51:27+00:00,27-Aug-2026,94.5,PE,5.851,3678,0.02,95.6416
2026-08-20T10:51:27+00:00,27-Aug-2026,95,CE,6.0588,31,0.78,95.6416
2026-08-20T10:51:27+00:00,27-Aug-2026,95,PE,4.4897,13806,0.035,95.6416
2026-08-20T10:51:27+00:00,27-Aug-2026,95.5,CE,0,273,0.15,95.6416
2026-08-20T10:51:27+00:00,27-Aug-2026,95.5,PE,3.4382,2513,0.1,95.6416
2026-08-20T10:51:27+00:00,27-Aug-2026,95.75,CE,0,0,0,95.6416
2026-08-20T10:51:27+00:00,27-Aug-2026,96,CE,3.0377,9764,0.0525,95.6416
2026-08-20T10:51:27+00:00,27-Aug-2026,96,PE,5.1379,1615,0.45,95.6416
2026-08-20T10:51:27+00:00,27-Aug-2026,96.125,PE,9.4865,6,0.745,95.6416
2026-08-20T10:51:27+00:00,27-Aug-2026,96.25,PE,0,0,0,95.6416
2026-08-20T10:51:27+00:00,27-Aug-2026,96.5,CE,7.6633,3,0.125,95.6416
2026-08-20T11:10:13+00:00,27-Aug-2026,93.5,PE,9.0717,100,0.015,95.6416
2026-08-20T11:10:13+00:00,27-Aug-2026,94,PE,8.0977,545,0.025,95.6416
2026-08-20T11:10:13+00:00,27-Aug-2026,94.5,PE,5.851,3678,0.02,95.6416
2026-08-20T11:10:13+00:00,27-Aug-2026,95,CE,6.0588,31,0.78,95.6416
2026-08-20T11:10:13+00:00,27-Aug-2026,95,PE,3.8543,13806,0.02,95.6416
2026-08-20T11:10:13+00:00,27-Aug-2026,95.5,CE,0,273,0.15,95.6416
2026-08-20T11:10:13+00:00,27-Aug-2026,95.5,PE,3.4382,2513,0.1,95.6416
2026-08-20T11:10:13+00:00,27-Aug-2026,95.75,CE,0,0,0,95.6416
2026-08-20T11:10:13+00:00,27-Aug-2026,96,CE,2.7132,9765,0.04,95.6416
2026-08-20T11:10:13+00:00,27-Aug-2026,96,PE,5.1379,1615,0.45,95.6416
2026-08-20T11:10:13+00:00,27-Aug-2026,96.125,PE,9.4865,6,0.745,95.6416
2026-08-20T11:10:13+00:00,27-Aug-2026,96.25,PE,0,0,0,95.6416
2026-08-20T11:10:13+00:00,27-Aug-2026,96.5,CE,7.6633,3,0.125,95.6416
