date,USD,JPY,GBP,CAD,SEK,CHF
1999-01-04,1.1789,133.73,0.7111,1.8004,9.4696,1.6168
1999-01-05,1.179,130.96,0.7122,1.7965,9.4025,1.6123
1999-01-06,1.1743,131.42,0.7076,1.7711,9.305,1.6116
1999-01-07,1.1632,129.43,0.70585,1.7602,9.18,1.6165
1999-01-08,1.1659,130.09,0.7094,1.7643,9.165,1.6138
1999-01-11,1.1569,126.33,0.7044,1.7463,9.0985,1.6104
1999-01-12,1.152,129.63,0.7066,1.7392,9.0955,1.6072
1999-01-13,1.1744,131.89,0.7084,1.8123,9.14,1.5931
1999-01-14,1.1653,132.74,0.7062,1.7707,9.135,1.5934
1999-01-15,1.1626,131.74,0.7039,1.7797,9.157,1.5984
1999-01-18,1.1612,132.9,0.7013,1.7717,9.093,1.6004
1999-01-19,1.1616,132.14,0.7,1.7739,9.0045,1.6001
1999-01-20,1.1575,131.59,0.7014,1.7626,8.9645,1.6024
1999-01-21,1.1572,130.34,0.7023,1.7529,8.943,1.603
1999-01-22,1.1567,131.88,0.7005,1.7515,9.011,1.5983
1999-01-25,1.1584,132.09,0.6989,1.762,8.94,1.5966
1999-01-26,1.1582,131.81,0.6976,1.7609,8.921,1.6022
1999-01-27,1.1529,131.91,0.6968,1.7526,8.882,1.6082
1999-01-28,1.141,132.25,0.6928,1.7374,8.865,1.6129
1999-01-29,1.1384,132.1,0.691,1.726,8.88,1.6123
1999-02-01,1.1338,130.88,0.6904,1.7123,8.86,1.6089
1999-02-02,1.1337,127.7,0.6888,1.7079,8.8775,1.6002
1999-02-03,1.1337,126.86,0.6925,1.7151,8.915,1.5975
1999-02-04,1.1263,127.65,0.6894,1.6951,8.899,1.6017
1999-02-05,1.1292,127.95,0.6885,1.6765,8.872,1.6012
1999-02-08,1.1246,127.82,0.6888,1.6725,8.857,1.6018
1999-02-09,1.1333,129.91,0.6911,1.6944,8.907,1.5999
1999-02-10,1.1342,130.73,0.6954,1.6945,8.933,1.5963
1999-02-11,1.1312,129.35,0.6975,1.685,8.919,1.5966
1999-02-12,1.1244,128.92,0.6917,1.6752,8.9305,1.5992
1999-02-15,1.1238,129.31,0.6895,1.6781,8.8815,1.595
1999-02-16,1.1176,131.82,0.6854,1.6807,8.853,1.5975
1999-02-17,1.1253,133.48,0.6873,1.688,8.907,1.5973
1999-02-18,1.1232,134.4,0.6871,1.676,8.9275,1.5982
1999-02-19,1.1163,133.97,0.6838,1.6616,8.911,1.5982
1999-02-22,1.0992,133.61,0.6789,1.6351,8.9075,1.5986
1999-02-23,1.0969,133.14,0.6796,1.6423,8.9085,1.5954
1999-02-24,1.1037,133.86,0.6883,1.6582,8.9115,1.594
1999-02-25,1.1031,132.87,0.6888,1.6543,8.974,1.5905
1999-02-26,1.1018,131.33,0.6873,1.6684,9.0025,1.589
1999-03-01,1.0986,131.13,0.6829,1.6579,9.0005,1.593
1999-03-02,1.0887,131.37,0.6764,1.6605,8.985,1.5912
1999-03-03,1.0899,132.18,0.6723,1.6615,8.99,1.5926
1999-03-04,1.0866,133.92,0.6759,1.6609,8.96,1.5883
1999-03-05,1.0834,133.19,0.6737,1.6489,8.9355,1.5912
1999-03-08,1.0908,132.77,0.6776,1.6527,8.948,1.5933
1999-03-09,1.0863,132.45,0.6754,1.6447,8.938,1.5931
1999-03-10,1.0953,131.74,0.6746,1.6607,8.8925,1.6014
1999-03-11,1.0891,131,0.6694,1.6586,8.831,1.5972
1999-03-12,1.0932,130.8,0.6686,1.6658,8.8615,1.5975
1999-03-15,1.0949,128.85,0.6739,1.6712,8.8785,1.601
1999-03-16,1.0901,128.65,0.6703,1.6658,8.969,1.5995
1999-03-17,1.0966,130.18,0.6744,1.6685,8.978,1.5987
1999-03-18,1.1012,129.78,0.676,1.6728,8.938,1.5975
1999-03-19,1.0915,127.99,0.6708,1.6543,8.937,1.5986
1999-03-22,1.0864,128,0.6677,1.6426,8.9325,1.5966
1999-03-23,1.0896,128.94,0.6706,1.6415,8.932,1.5945
1999-03-24,1.0928,128.6,0.6653,1.647,8.9695,1.5908
1999-03-25,1.0898,128.65,0.6668,1.6471,9.007,1.5944
1999-03-26,1.0815,128.93,0.665,1.6281,8.95,1.5965
1999-03-29,1.0692,128.78,0.6615,1.6185,8.955,1.5943
1999-03-30,1.0711,128.86,0.6638,1.6223,8.9525,1.5956
1999-03-31,1.0742,127.81,0.6663,1.6211,8.887,1.5981
1999-04-01,1.0772,128.72,0.669,1.6205,8.889,1.5957
1999-04-02,1.0772,129.85,0.672,1.6162,8.8811,1.5973
1999-04-05,1.0752,130.55,0.6702,1.6096,8.8846,1.5968
1999-04-06,1.0726,129.99,0.6759,1.614,8.8705,1.595
1999-04-07,1.0812,131.27,0.6772,1.6246,8.929,1.5952
1999-04-08,1.0818,130.45,0.6731,1.6215,8.964,1.5958
1999-04-09,1.0778,130.75,0.6724,1.6202,8.944,1.5968
1999-04-12,1.0867,130.27,0.6723,1.6281,9.02,1.603
1999-04-13,1.0765,129.66,0.6671,1.6049,8.9575,1.6032
1999-04-14,1.0787,128.55,0.6667,1.6103,8.938,1.6052
1999-04-15,1.0786,128.01,0.6682,1.6114,8.929,1.6035
1999-04-16,1.0668,126.16,0.6633,1.5851,8.8825,1.6027
1999-04-19,1.0636,125.67,0.6586,1.5759,8.883,1.6015
1999-04-20,1.0646,125.48,0.6589,1.5825,8.899,1.604
1999-04-21,1.0586,126.26,0.6593,1.5775,8.905,1.6
1999-04-22,1.0581,126.95,0.6585,1.573,8.909,1.601
1999-04-23,1.0634,127.25,0.6583,1.5725,8.8945,1.6023
1999-04-26,1.0614,126.22,0.6569,1.5692,8.8945,1.6027
1999-04-27,1.063,127.34,0.6587,1.5744,8.903,1.6047
1999-04-28,1.0666,127.05,0.6583,1.5725,8.913,1.6088
1999-04-29,1.0604,126.16,0.6584,1.5607,8.911,1.6072
1999-04-30,1.0597,126.9,0.6571,1.5519,8.9075,1.6113
1999-05-03,1.0589,126.93,0.6571,1.5415,8.9185,1.6111
1999-05-04,1.0564,128.04,0.6553,1.5343,8.9485,1.6098
1999-05-05,1.0667,128.78,0.6552,1.5535,8.9845,1.6041
1999-05-06,1.0799,130.6,0.6601,1.563,9.005,1.608
1999-05-07,1.0786,130.13,0.661,1.5725,8.9575,1.6078
1999-05-10,1.0735,129.82,0.6604,1.5662,8.9445,1.6075
1999-05-11,1.0732,129.97,0.6619,1.5618,8.942,1.6082
1999-05-12,1.0645,128.88,0.6577,1.5495,8.944,1.6052
1999-05-13,1.0622,129.2,0.656,1.554,8.9634,1.6013
1999-05-14,1.0676,130.78,0.6601,1.5561,8.949,1.602
1999-05-17,1.0685,131.47,0.6598,1.5683,8.9775,1.6023
1999-05-18,1.069,131.62,0.6592,1.5585,9.003,1.6023
1999-05-19,1.0634,132.4,0.6569,1.5598,9.028,1.6017
1999-05-20,1.0639,132.16,0.6591,1.5593,8.9965,1.602
1999-05-21,1.0572,131.25,0.6583,1.5442,8.962,1.6034
1999-05-24,1.0585,130.86,0.6617,1.5458,8.9754,1.6023
1999-05-25,1.0627,130.41,0.6634,1.5481,8.9895,1.5964
1999-05-26,1.0535,128.77,0.658,1.5446,8.987,1.5949
1999-05-27,1.0473,128.05,0.6551,1.5374,8.978,1.5939
1999-05-28,1.0479,126.7,0.6546,1.5463,8.995,1.5941
1999-05-31,1.0456,127.18,0.6524,1.5411,8.968,1.5943
1999-06-01,1.0434,126.35,0.6505,1.5405,8.9675,1.5928
1999-06-02,1.0382,125.71,0.6443,1.54,8.983,1.5912
1999-06-03,1.0382,125.8,0.6458,1.5344,8.934,1.5928
1999-06-04,1.0315,125.45,0.6412,1.5233,8.9115,1.5877
1999-06-07,1.0316,124.7,0.6414,1.5148,8.8965,1.5858
1999-06-08,1.0385,125.99,0.6489,1.5242,8.9035,1.5909
1999-06-09,1.0466,124.48,0.6523,1.5413,8.9285,1.5914
1999-06-10,1.0474,124.5,0.6538,1.5395,8.902,1.5947
1999-06-11,1.0474,124.09,0.6506,1.5273,8.8785,1.597
1999-06-14,1.0437,125.42,0.6473,1.5234,8.853,1.5952
1999-06-15,1.0392,125.27,0.6501,1.5207,8.863,1.5941
1999-06-16,1.0345,124.4,0.651,1.5138,8.81,1.5944
1999-06-17,1.034,123.97,0.6481,1.5046,8.7945,1.5976
1999-06-18,1.0388,124.52,0.6506,1.5215,8.7485,1.5969
1999-06-21,1.0339,126.3,0.6506,1.5119,8.7295,1.5967
1999-06-22,1.0313,125.6,0.6498,1.5176,8.6655,1.5952
1999-06-23,1.028,125.55,0.6511,1.5104,8.7165,1.597
1999-06-24,1.0321,126.05,0.6533,1.5165,8.7315,1.5977
1999-06-25,1.0443,126.8,0.6578,1.5353,8.7572,1.5995
1999-06-28,1.0388,125.96,0.6564,1.5242,8.7545,1.5995
1999-06-29,1.0364,125.3,0.6544,1.5258,8.7485,1.6012
1999-06-30,1.0328,124.82,0.6563,1.5262,8.747,1.6034
1999-07-01,1.0264,124.12,0.6502,1.5035,8.7215,1.6043
1999-07-02,1.0241,123.93,0.6498,1.5066,8.7005,1.606
1999-07-05,1.0232,125.18,0.6491,1.4985,8.7015,1.6055
1999-07-06,1.0221,124.87,0.6514,1.4984,8.7015,1.604
1999-07-07,1.0222,124.77,0.6563,1.5018,8.695,1.6034
1999-07-08,1.0182,124.72,0.6544,1.4967,8.6905,1.6029
1999-07-09,1.0204,124.66,0.6577,1.5003,8.7075,1.6065
1999-07-12,1.0124,123.82,0.6527,1.4967,8.717,1.6072
1999-07-13,1.0183,123.83,0.6538,1.5097,8.7315,1.6031
1999-07-14,1.0168,122.97,0.6523,1.5116,8.75,1.6043
1999-07-15,1.0201,123.04,0.6513,1.5109,8.7775,1.6055
1999-07-16,1.0202,123.15,0.6509,1.5136,8.737,1.6059
1999-07-19,1.0146,121.6,0.6511,1.5123,8.7135,1.6067
1999-07-20,1.041,123.09,0.6618,1.5507,8.7175,1.6038
1999-07-21,1.0462,124.2,0.6653,1.5656,8.764,1.6059
1999-07-22,1.0499,124.06,0.6642,1.5776,8.7795,1.6068
1999-07-23,1.0496,121.96,0.6634,1.582,8.775,1.6053
1999-07-26,1.0698,123.8,0.6731,1.6203,8.82,1.6066
1999-07-27,1.0627,124.27,0.668,1.6038,8.8055,1.6
1999-07-28,1.0603,123.15,0.6683,1.6042,8.814,1.5986
1999-07-29,1.068,123.18,0.6665,1.6114,8.788,1.5979
1999-07-30,1.0694,123.19,0.6598,1.6099,8.7735,1.5976
1999-08-02,1.0665,121.88,0.6591,1.6093,8.7575,1.5963
1999-08-03,1.0645,122.69,0.6588,1.5944,8.749,1.5994
1999-08-04,1.0761,123.39,0.6627,1.6114,8.7555,1.6002
1999-08-05,1.0791,123.37,0.667,1.6102,8.777,1.5986
1999-08-06,1.074,123.13,0.665,1.6108,8.796,1.6019
1999-08-09,1.0705,123.37,0.6665,1.6056,8.782,1.5993
1999-08-10,1.0737,123.25,0.6655,1.6129,8.811,1.6003
1999-08-11,1.0668,122.92,0.6623,1.5926,8.797,1.6023
1999-08-12,1.0638,123.25,0.6614,1.5816,8.7735,1.6023
1999-08-13,1.0667,122.41,0.6619,1.5826,8.7925,1.6015
1999-08-16,1.0553,121.28,0.6585,1.5607,8.7675,1.602
1999-08-17,1.0527,120.34,0.6584,1.5575,8.737,1.6012
1999-08-18,1.0517,118.9,0.6556,1.5604,8.742,1.6016
1999-08-19,1.0517,117.02,0.6556,1.5649,8.7485,1.5997
1999-08-20,1.0667,119.16,0.659,1.5971,8.777,1.5975
1999-08-23,1.0606,118.03,0.658,1.5873,8.761,1.5973
1999-08-24,1.0512,117.42,0.6576,1.5735,8.7215,1.6009
1999-08-25,1.0433,115.7,0.6572,1.5576,8.683,1.601
1999-08-26,1.0452,116.38,0.6574,1.5698,8.713,1.602
1999-08-27,1.045,116.68,0.6588,1.5619,8.693,1.6014
1999-08-30,1.0454,116.1,0.6582,1.5547,8.7155,1.6019
1999-08-31,1.0573,115.53,0.6585,1.5753,8.691,1.5997
1999-09-01,1.0613,116,0.6593,1.5852,8.701,1.6004
1999-09-02,1.0662,116.16,0.6631,1.5878,8.699,1.5991
1999-09-03,1.0682,117.32,0.6634,1.5988,8.7165,1.5969
1999-09-06,1.0594,116.3,0.6607,1.5788,8.656,1.5978
1999-09-07,1.0565,117.44,0.6576,1.5729,8.63,1.5989
1999-09-08,1.0613,117.49,0.6536,1.5813,8.617,1.5993
1999-09-09,1.0592,115.36,0.6513,1.5731,8.6125,1.6002
1999-09-10,1.052,115,0.6463,1.5578,8.6075,1.6025
1999-09-13,1.0342,109.85,0.6407,1.524,8.5815,1.6056
1999-09-14,1.0362,110.25,0.6468,1.5235,8.596,1.6046
1999-09-15,1.0369,107.94,0.6462,1.5325,8.6245,1.6032
1999-09-16,1.0372,108.08,0.6416,1.5324,8.638,1.6032
1999-09-17,1.0397,110.66,0.6423,1.528,8.622,1.6047
1999-09-20,1.0406,112.08,0.641,1.5363,8.5785,1.6049
1999-09-21,1.0388,108.72,0.6383,1.5326,8.577,1.6048
1999-09-22,1.0509,109.48,0.6423,1.5449,8.628,1.6024
