date,value,quote
1995-01-02,0.844,per_usd
1995-01-03,0.845,per_usd
1995-01-04,0.845,per_usd
1995-01-05,0.843,per_usd
1995-01-06,0.84,per_usd
1995-01-09,0.844,per_usd
1995-01-10,0.847,per_usd
1995-01-11,0.851,per_usd
1995-01-12,0.845,per_usd
1995-01-13,0.847,per_usd
1995-01-16,0.847,per_usd
1995-01-17,0.846,per_usd
1995-01-18,0.846,per_usd
1995-01-19,0.848,per_usd
1995-01-20,0.848,per_usd
1995-01-23,0.85,per_usd
1995-01-24,0.851,per_usd
1995-01-25,0.851,per_usd
1995-01-26,0.845,per_usd
1995-01-27,0.844,per_usd
1995-01-30,0.846,per_usd
1995-01-31,0.841,per_usd
1995-02-01,0.842,per_usd
1995-02-02,0.839,per_usd
1995-02-03,0.839,per_usd
1995-02-06,0.836,per_usd
1995-02-07,0.836,per_usd
1995-02-08,0.835,per_usd
1995-02-09,0.833,per_usd
1995-02-10,0.834,per_usd
1995-02-13,0.832,per_usd
1995-02-14,0.834,per_usd
1995-02-15,0.836,per_usd
1995-02-16,0.844,per_usd
1995-02-17,0.85,per_usd
1995-02-20,0.841,per_usd
1995-02-21,0.842,per_usd
1995-02-22,0.848,per_usd
1995-02-23,0.847,per_usd
1995-02-24,0.853,per_usd
1995-02-27,0.851,per_usd
1995-02-28,0.851,per_usd
1995-03-01,0.852,per_usd
1995-03-02,0.852,per_usd
1995-03-03,0.859,per_usd
1995-03-06,0.866,per_usd
1995-03-07,0.887,per_usd
1995-03-08,0.889,per_usd
1995-03-09,0.889,per_usd
1995-03-10,0.882,per_usd
1995-03-13,0.881,per_usd
1995-03-14,0.881,per_usd
1995-03-15,0.885,per_usd
1995-03-16,0.899,per_usd
1995-03-17,0.898,per_usd
1995-03-20,0.913,per_usd
1995-03-21,0.898,per_usd
1995-03-22,0.906,per_usd
1995-03-23,0.908,per_usd
1995-03-24,0.909,per_usd
1995-03-27,0.91,per_usd
1995-03-28,0.91,per_usd
1995-03-29,0.906,per_usd
1995-03-30,0.902,per_usd
1995-03-31,0.9,per_usd
1995-04-03,0.904,per_usd
1995-04-04,0.899,per_usd
1995-04-05,0.898,per_usd
1995-04-06,0.895,per_usd
1995-04-07,0.899,per_usd
