date,value,quote
1971-01-04,1.0109,per_usd
1971-01-05,1.0102,per_usd
1971-01-06,1.0106,per_usd
1971-01-07,1.0148,per_usd
1971-01-08,1.0154,per_usd
1971-01-11,1.0159,per_usd
1971-01-12,1.013,per_usd
1971-01-13,1.0122,per_usd
1971-01-14,1.0133,per_usd
1971-01-15,1.0135,per_usd
1971-01-18,1.0126,per_usd
1971-01-19,1.0111,per_usd
1971-01-20,1.0115,per_usd
1971-01-21,1.0109,per_usd
1971-01-22,1.0117,per_usd
1971-01-25,1.0111,per_usd
1971-01-26,1.0107,per_usd
1971-01-27,1.0101,per_usd
1971-01-28,1.009,per_usd
1971-01-29,1.008,per_usd
1971-02-01,1.0076,per_usd
1971-02-02,1.0087,per_usd
1971-02-03,1.0085,per_usd
1971-02-04,1.0078,per_usd
1971-02-05,1.0078,per_usd
1971-02-08,1.0083,per_usd
1971-02-09,1.0083,per_usd
1971-02-10,1.0086,per_usd
1971-02-11,1.0086,per_usd
1971-02-16,1.0084,per_usd
1971-02-17,1.0087,per_usd
1971-02-18,1.0076,per_usd
1971-02-19,1.0066,per_usd
1971-02-22,1.0043,per_usd
1971-02-23,1.0035,per_usd
1971-02-24,1.0075,per_usd
1971-02-25,1.0066,per_usd
1971-02-26,1.007,per_usd
1971-03-01,1.0076,per_usd
1971-03-02,1.0071,per_usd
1971-03-03,1.0073,per_usd
1971-03-04,1.0064,per_usd
1971-03-05,1.0047,per_usd
1971-03-08,1.003,per_usd
1971-03-09,1.004,per_usd
1971-03-10,1.0036,per_usd
1971-03-11,1.0049,per_usd
1971-03-12,1.0056,per_usd
1971-03-15,1.0059,per_usd
1971-03-16,1.0052,per_usd
1971-03-17,1.0056,per_usd
1971-03-18,1.0065,per_usd
1971-03-19,1.0077,per_usd
1971-03-22,1.0079,per_usd
1971-03-23,1.0078,per_usd
1971-03-24,1.0076,per_usd
1971-03-25,1.007,per_usd
1971-03-26,1.0074,per_usd
1971-03-29,1.0075,per_usd
1971-03-30,1.0082,per_usd
1971-03-31,1.0081,per_usd
1971-04-01,1.0076,per_usd
1971-04-02,1.0073,per_usd
1971-04-05,1.0071,per_usd
1971-04-06,1.0062,per_usd
1971-04-07,1.0069,per_usd
1971-04-08,1.0071,per_usd
1971-04-09,1.0068,per_usd
1971-04-12,1.0069,per_usd
1971-04-13,1.0076,per_usd
1971-04-14,1.0081,per_usd
1971-04-15,1.0075,per_usd
1971-04-16,1.0068,per_usd
1971-04-19,1.0073,per_usd
1971-04-20,1.0075,per_usd
1971-04-21,1.0073,per_usd
1971-04-22,1.0076,per_usd
1971-04-23,1.0085,per_usd
1971-04-26,1.0092,per_usd
1971-04-27,1.0095,per_usd
1971-04-28,1.0089,per_usd
1971-04-29,1.0086,per_usd
1971-04-30,1.0091,per_usd
1971-05-03,1.0089,per_usd
1971-05-04,1.009,per_usd
1971-05-05,1.0074,per_usd
1971-05-06,1.0074,per_usd
1971-05-07,1.0069,per_usd
1971-05-10,1.0084,per_usd
1971-05-11,1.0084,per_usd
1971-05-12,1.0083,per_usd
1971-05-13,1.0089,per_usd
1971-05-14,1.0089,per_usd
1971-05-17,1.0089,per_usd
1971-05-18,1.0089,per_usd
1971-05-19,1.0095,per_usd
1971-05-20,1.0093,per_usd
1971-05-21,1.0092,per_usd
1971-05-24,1.009,per_usd
1971-05-25,1.0091,per_usd
1971-05-26,1.0086,per_usd
1971-05-27,1.0093,per_usd
1971-05-28,1.0101,per_usd
1971-06-01,1.0126,per_usd
1971-06-02,1.0134,per_usd
1971-06-03,1.0185,per_usd
1971-06-04,1.0174,per_usd
1971-06-07,1.0161,per_usd
1971-06-08,1.0179,per_usd
1971-06-09,1.0186,per_usd
1971-06-10,1.0239,per_usd
1971-06-11,1.0239,per_usd
1971-06-14,1.0232,per_usd
1971-06-15,1.0248,per_usd
1971-06-16,1.0244,per_usd
1971-06-17,1.0242,per_usd
1971-06-18,1.0225,per_usd
1971-06-21,1.0242,per_usd
1971-06-22,1.0243,per_usd
1971-06-23,1.0234,per_usd
1971-06-24,1.0242,per_usd
1971-06-25,1.0233,per_usd
1971-06-28,1.0221,per_usd
1971-06-29,1.023,per_usd
1971-06-30,1.0235,per_usd
1971-07-01,1.0232,per_usd
1971-07-02,1.0226,per_usd
1971-07-06,1.023,per_usd
1971-07-07,1.0233,per_usd
1971-07-08,1.023,per_usd
1971-07-09,1.023,per_usd
1971-07-12,1.0231,per_usd
1971-07-13,1.0231,per_usd
1971-07-14,1.023,per_usd
1971-07-15,1.0227,per_usd
1971-07-16,1.0228,per_usd
1971-07-19,1.0222,per_usd
1971-07-20,1.0203,per_usd
1971-07-21,1.02,per_usd
1971-07-22,1.0175,per_usd
1971-07-23,1.0151,per_usd
1971-07-26,1.0176,per_usd
1971-07-27,1.0205,per_usd
1971-07-28,1.0221,per_usd
1971-07-29,1.0207,per_usd
1971-07-30,1.0188,per_usd
1971-08-02,1.0193,per_usd
1971-08-03,1.0195,per_usd
1971-08-04,1.0185,per_usd
1971-08-05,1.0168,per_usd
1971-08-06,1.0186,per_usd
1971-08-09,1.0063,per_usd
1971-08-10,1.0128,per_usd
1971-08-11,1.0143,per_usd
1971-08-12,1.0132,per_usd
1971-08-13,1.0119,per_usd
1971-08-16,1.0098,per_usd
1971-08-17,1.0067,per_usd
1971-08-18,1.0087,per_usd
1971-08-19,1.0112,per_usd
1971-08-20,1.0113,per_usd
1971-08-23,1.0128,per_usd
1971-08-24,1.0143,per_usd
1971-08-25,1.0121,per_usd
1971-08-26,1.0106,per_usd
1971-08-27,1.01,per_usd
1971-08-30,1.0135,per_usd
1971-08-31,1.0142,per_usd
1971-09-01,1.0162,per_usd
1971-09-02,1.0143,per_usd
1971-09-03,1.0146,per_usd
1971-09-07,1.0162,per_usd
1971-09-08,1.0161,per_usd
1971-09-09,1.0157,per_usd
1971-09-10,1.0159,per_usd
1971-09-13,1.0161,per_usd
1971-09-14,1.0153,per_usd
1971-09-15,1.0141,per_usd
1971-09-16,1.0142,per_usd
1971-09-17,1.0136,per_usd
1971-09-20,1.012,per_usd
1971-09-21,1.0122,per_usd
1971-09-22,1.0119,per_usd
1971-09-23,1.0092,per_usd
1971-09-24,1.0066,per_usd
1971-09-27,1.0098,per_usd
1971-09-28,1.0099,per_usd
1971-09-29,1.0098,per_usd
1971-09-30,1.0093,per_usd
1971-10-01,1.0091,per_usd
1971-10-04,1.0082,per_usd
1971-10-05,1.0079,per_usd
1971-10-06,1.0075,per_usd
1971-10-07,1.0062,per_usd
1971-10-08,1.0057,per_usd
1971-10-12,1.0054,per_usd
1971-10-13,1.0056,per_usd
1971-10-14,1.0045,per_usd
1971-10-15,1.0051,per_usd
1971-10-18,1.0045,per_usd
1971-10-19,1.0036,per_usd
1971-10-20,1.0034,per_usd
1971-10-21,1.0034,per_usd
1971-10-22,1.0007,per_usd
1971-10-26,1.0019,per_usd
1971-10-27,1.0013,per_usd
1971-10-28,1.0017,per_usd
1971-10-29,1.0036,per_usd
1971-11-01,1.0054,per_usd
1971-11-03,1.0036,per_usd
1971-11-04,1.0042,per_usd
1971-11-05,1.0048,per_usd
1971-11-08,1.0058,per_usd
1971-11-09,1.006,per_usd
1971-11-10,1.0053,per_usd
1971-11-11,1.0048,per_usd
1971-11-12,1.0045,per_usd
1971-11-15,1.0038,per_usd
1971-11-16,1.0034,per_usd
1971-11-17,1.0037,per_usd
1971-11-18,1.0036,per_usd
1971-11-19,1.0027,per_usd
1971-11-22,1.0027,per_usd
1971-11-23,1.0027,per_usd
1971-11-24,1.0026,per_usd
1971-11-26,1.0027,per_usd
1971-11-29,1.0027,per_usd
1971-11-30,1.0036,per_usd
1971-12-01,1.003,per_usd
1971-12-02,1.0027,per_usd
1971-12-03,1.0026,per_usd
1971-12-06,1.001,per_usd
1971-12-07,1.0011,per_usd
1971-12-08,0.9997,per_usd
1971-12-09,0.9978,per_usd
1971-12-10,0.9957,per_usd
1971-12-13,0.9967,per_usd
1971-12-14,0.9971,per_usd
1971-12-15,0.9969,per_usd
1971-12-16,0.9973,per_usd
1971-12-17,0.9967,per_usd
1971-12-20,0.9933,per_usd
1971-12-21,0.9967,per_usd
1971-12-22,0.9985,per_usd
1971-12-23,1.0004,per_usd
1971-12-24,1.0006,per_usd
1971-12-27,1.0002,per_usd
1971-12-28,1.0014,per_usd
1971-12-29,1.0019,per_usd
1971-12-30,1.0008,per_usd
1971-12-31,1.0024,per_usd
1972-01-03,1.0041,per_usd
1972-01-04,1.0052,per_usd
1972-01-05,1.005,per_usd
1972-01-06,1.005,per_usd
1972-01-07,1.0068,per_usd
1972-01-10,1.0093,per_usd
1972-01-11,1.0085,per_usd
1972-01-12,1.0076,per_usd
1972-01-13,1.0071,per_usd
1972-01-14,1.0061,per_usd
1972-01-17,1.0045,per_usd
1972-01-18,1.0065,per_usd
1972-01-19,1.0061,per_usd
1972-01-20,1.0065,per_usd
1972-01-21,1.0063,per_usd
1972-01-24,1.0056,per_usd
1972-01-25,1.0046,per_usd
1972-01-26,1.0046,per_usd
1972-01-27,1.0045,per_usd
1972-01-28,1.0046,per_usd
1972-01-31,1.0056,per_usd
1972-02-01,1.0063,per_usd
1972-02-02,1.0058,per_usd
1972-02-03,1.0057,per_usd
1972-02-04,1.0058,per_usd
1972-02-07,1.006,per_usd
1972-02-08,1.0065,per_usd
1972-02-09,1.0058,per_usd
1972-02-10,1.0057,per_usd
1972-02-11,1.0057,per_usd
1972-02-14,1.0057,per_usd
1972-02-15,1.005,per_usd
1972-02-16,1.0047,per_usd
1972-02-17,1.0045,per_usd
1972-02-18,1.004,per_usd
1972-02-22,1.0034,per_usd
1972-02-23,1.0047,per_usd
1972-02-24,1.0025,per_usd
1972-02-25,1.0025,per_usd
1972-02-28,1.0028,per_usd
1972-02-29,1.0012,per_usd
1972-03-01,1.001,per_usd
1972-03-02,1.0006,per_usd
1972-03-03,1.0004,per_usd
1972-03-06,0.9974,per_usd
1972-03-07,0.9971,per_usd
1972-03-08,0.9969,per_usd
1972-03-09,0.9962,per_usd
1972-03-10,0.9971,per_usd
1972-03-13,0.9989,per_usd
1972-03-14,1.0003,per_usd
1972-03-15,1.0011,per_usd
1972-03-16,1.0006,per_usd
1972-03-17,1.0008,per_usd
1972-03-20,0.9996,per_usd
1972-03-21,0.9973,per_usd
1972-03-22,0.9978,per_usd
1972-03-23,0.999,per_usd
1972-03-24,0.9987,per_usd
1972-03-27,0.9966,per_usd
1972-03-28,0.9961,per_usd
1972-03-29,0.9966,per_usd
1972-03-30,0.9972,per_usd
1972-03-31,0.9977,per_usd
1972-04-03,0.9983,per_usd
1972-04-04,0.9979,per_usd
1972-04-05,0.9969,per_usd
1972-04-06,0.9964,per_usd
1972-04-07,0.997,per_usd
1972-04-10,0.997,per_usd
1972-04-11,0.9969,per_usd
1972-04-12,0.997,per_usd
1972-04-13,0.9968,per_usd
1972-04-14,0.9972,per_usd
1972-04-17,0.9967,per_usd
1972-04-18,0.997,per_usd
1972-04-19,0.9969,per_usd
1972-04-20,0.9961,per_usd
1972-04-21,0.9945,per_usd
1972-04-24,0.9933,per_usd
1972-04-25,0.992,per_usd
1972-04-26,0.9917,per_usd
1972-04-27,0.9923,per_usd
1972-04-28,0.9924,per_usd
1972-05-01,0.9935,per_usd
1972-05-02,0.9931,per_usd
1972-05-03,0.992,per_usd
1972-05-04,0.992,per_usd
1972-05-05,0.9921,per_usd
1972-05-08,0.9922,per_usd
1972-05-09,0.9917,per_usd
1972-05-10,0.991,per_usd
1972-05-11,0.9896,per_usd
1972-05-12,0.9899,per_usd
1972-05-15,0.9901,per_usd
1972-05-16,0.9911,per_usd
1972-05-17,0.9893,per_usd
1972-05-18,0.9887,per_usd
1972-05-19,0.9886,per_usd
1972-05-22,0.9882,per_usd
1972-05-23,0.9876,per_usd
1972-05-24,0.9838,per_usd
1972-05-25,0.9839,per_usd
1972-05-26,0.9841,per_usd
1972-05-30,0.9831,per_usd
1972-05-31,0.9812,per_usd
1972-06-01,0.9816,per_usd
1972-06-02,0.9813,per_usd
1972-06-05,0.9786,per_usd
1972-06-06,0.979,per_usd
1972-06-07,0.979,per_usd
1972-06-08,0.9768,per_usd
1972-06-09,0.9759,per_usd
1972-06-12,0.9777,per_usd
1972-06-13,0.9778,per_usd
1972-06-14,0.9756,per_usd
1972-06-15,0.9744,per_usd
1972-06-16,0.9759,per_usd
1972-06-19,0.9783,per_usd
1972-06-20,0.9805,per_usd
1972-06-21,0.9832,per_usd
1972-06-22,0.9813,per_usd
1972-06-23,0.9808,per_usd
1972-06-26,0.9805,per_usd
1972-06-27,0.981,per_usd
1972-06-28,0.9815,per_usd
1972-06-29,0.9835,per_usd
1972-06-30,0.9856,per_usd
1972-07-03,0.9846,per_usd
1972-07-05,0.9836,per_usd
1972-07-06,0.9843,per_usd
1972-07-07,0.9855,per_usd
1972-07-10,0.9853,per_usd
1972-07-11,0.9844,per_usd
1972-07-12,0.9834,per_usd
1972-07-13,0.9835,per_usd
1972-07-14,0.9828,per_usd
1972-07-17,0.9848,per_usd
1972-07-18,0.9836,per_usd
1972-07-19,0.9835,per_usd
1972-07-20,0.9833,per_usd
1972-07-21,0.9843,per_usd
1972-07-24,0.9848,per_usd
1972-07-25,0.9847,per_usd
1972-07-26,0.9835,per_usd
1972-07-27,0.983,per_usd
1972-07-28,0.9827,per_usd
1972-07-31,0.9834,per_usd
1972-08-01,0.9833,per_usd
1972-08-02,0.9832,per_usd
1972-08-03,0.9824,per_usd
1972-08-04,0.9821,per_usd
1972-08-07,0.9822,per_usd
1972-08-08,0.982,per_usd
1972-08-09,0.9819,per_usd
1972-08-10,0.9815,per_usd
1972-08-11,0.9818,per_usd
1972-08-14,0.9818,per_usd
1972-08-15,0.9816,per_usd
1972-08-16,0.9819,per_usd
1972-08-17,0.982,per_usd
1972-08-18,0.9822,per_usd
1972-08-21,0.9828,per_usd
1972-08-22,0.9834,per_usd
1972-08-23,0.9827,per_usd
1972-08-24,0.9826,per_usd
1972-08-25,0.9827,per_usd
1972-08-28,0.9823,per_usd
1972-08-29,0.9825,per_usd
1972-08-30,0.9833,per_usd
1972-08-31,0.9832,per_usd
1972-09-01,0.9833,per_usd
1972-09-05,0.9836,per_usd
1972-09-06,0.9839,per_usd
1972-09-07,0.9836,per_usd
1972-09-08,0.984,per_usd
1972-09-11,0.9843,per_usd
1972-09-12,0.9838,per_usd
1972-09-13,0.983,per_usd
1972-09-14,0.9828,per_usd
1972-09-15,0.9818,per_usd
1972-09-18,0.9816,per_usd
1972-09-19,0.9821,per_usd
1972-09-20,0.9828,per_usd
1972-09-21,0.9821,per_usd
1972-09-22,0.9822,per_usd
1972-09-25,0.9821,per_usd
1972-09-26,0.9826,per_usd
1972-09-27,0.9832,per_usd
1972-09-28,0.9838,per_usd
1972-09-29,0.9835,per_usd
1972-10-02,0.9842,per_usd
1972-10-03,0.984,per_usd
1972-10-04,0.9833,per_usd
1972-10-05,0.9834,per_usd
1972-10-06,0.9837,per_usd
1972-10-10,0.9825,per_usd
1972-10-11,0.9825,per_usd
1972-10-12,0.9825,per_usd
1972-10-13,0.9819,per_usd
1972-10-16,0.9821,per_usd
1972-10-17,0.982,per_usd
1972-10-18,0.983,per_usd
1972-10-19,0.9825,per_usd
1972-10-20,0.9825,per_usd
1972-10-24,0.9825,per_usd
1972-10-25,0.9821,per_usd
1972-10-26,0.9821,per_usd
1972-10-27,0.9822,per_usd
1972-10-30,0.9825,per_usd
1972-10-31,0.9832,per_usd
1972-11-01,0.9843,per_usd
1972-11-02,0.9859,per_usd
1972-11-03,0.9866,per_usd
1972-11-06,0.9867,per_usd
1972-11-08,0.9866,per_usd
1972-11-09,0.9865,per_usd
1972-11-10,0.9862,per_usd
1972-11-13,0.9857,per_usd
1972-11-14,0.986,per_usd
1972-11-15,0.986,per_usd
1972-11-16,0.9859,per_usd
1972-11-17,0.9861,per_usd
1972-11-20,0.9863,per_usd
1972-11-21,0.9869,per_usd
1972-11-22,0.9869,per_usd
1972-11-24,0.9876,per_usd
1972-11-27,0.9886,per_usd
1972-11-28,0.9909,per_usd
1972-11-29,0.9934,per_usd
1972-11-30,0.9945,per_usd
1972-12-01,0.995,per_usd
1972-12-04,0.9958,per_usd
1972-12-05,0.9961,per_usd
1972-12-06,0.9985,per_usd
1972-12-07,1.0017,per_usd
1972-12-08,1.0012,per_usd
1972-12-11,1.0016,per_usd
1972-12-12,0.9988,per_usd
1972-12-13,0.9968,per_usd
1972-12-14,0.9974,per_usd
1972-12-15,0.997,per_usd
1972-12-18,0.9971,per_usd
1972-12-19,0.9961,per_usd
1972-12-20,0.9933,per_usd
1972-12-21,0.9923,per_usd
1972-12-22,0.9944,per_usd
1972-12-26,0.9963,per_usd
1972-12-27,0.995,per_usd
1972-12-28,0.995,per_usd
1972-12-29,0.9956,per_usd
1973-01-02,0.9964,per_usd
1973-01-03,0.9986,per_usd
1973-01-04,0.9981,per_usd
1973-01-05,0.9976,per_usd
1973-01-08,0.9996,per_usd
1973-01-09,1.0008,per_usd
1973-01-10,0.9997,per_usd
1973-01-11,0.9985,per_usd
1973-01-12,0.9992,per_usd
1973-01-15,0.9998,per_usd
1973-01-16,0.9989,per_usd
1973-01-17,0.9994,per_usd
1973-01-18,1,per_usd
1973-01-19,1,per_usd
1973-01-22,0.9995,per_usd
1973-01-23,0.9996,per_usd
