date,value,quote
1971-01-04,4.318,per_usd
1971-01-05,4.3117,per_usd
1971-01-06,4.3113,per_usd
1971-01-07,4.3103,per_usd
1971-01-08,4.3109,per_usd
1971-01-11,4.3102,per_usd
1971-01-12,4.3099,per_usd
1971-01-13,4.3095,per_usd
1971-01-14,4.3095,per_usd
1971-01-15,4.3076,per_usd
1971-01-18,4.3029,per_usd
1971-01-19,4.3006,per_usd
1971-01-20,4.301,per_usd
1971-01-21,4.3017,per_usd
1971-01-22,4.2996,per_usd
1971-01-25,4.3005,per_usd
1971-01-26,4.2987,per_usd
1971-01-27,4.2973,per_usd
1971-01-28,4.2978,per_usd
1971-01-29,4.2963,per_usd
1971-02-01,4.2968,per_usd
1971-02-02,4.2969,per_usd
1971-02-03,4.2965,per_usd
1971-02-04,4.2966,per_usd
1971-02-05,4.2969,per_usd
1971-02-08,4.2979,per_usd
1971-02-09,4.2969,per_usd
1971-02-10,4.2972,per_usd
1971-02-11,4.2967,per_usd
1971-02-16,4.2968,per_usd
1971-02-17,4.2968,per_usd
1971-02-18,4.2967,per_usd
1971-02-19,4.2963,per_usd
1971-02-22,4.2958,per_usd
1971-02-23,4.2957,per_usd
1971-02-24,4.3015,per_usd
1971-02-25,4.3073,per_usd
1971-02-26,4.307,per_usd
1971-03-01,4.3073,per_usd
1971-03-02,4.3054,per_usd
1971-03-03,4.3039,per_usd
1971-03-04,4.3068,per_usd
1971-03-05,4.3066,per_usd
1971-03-08,4.302,per_usd
1971-03-09,4.3011,per_usd
1971-03-10,4.304,per_usd
1971-03-11,4.3012,per_usd
1971-03-12,4.301,per_usd
1971-03-15,4.3004,per_usd
1971-03-16,4.3002,per_usd
1971-03-17,4.2995,per_usd
1971-03-18,4.2983,per_usd
1971-03-19,4.2972,per_usd
1971-03-22,4.2971,per_usd
1971-03-23,4.2972,per_usd
1971-03-24,4.2968,per_usd
1971-03-25,4.2969,per_usd
1971-03-26,4.2959,per_usd
1971-03-29,4.2966,per_usd
1971-03-30,4.2958,per_usd
1971-03-31,4.2954,per_usd
1971-04-01,4.2955,per_usd
1971-04-02,4.2947,per_usd
1971-04-05,4.2971,per_usd
1971-04-06,4.2974,per_usd
1971-04-07,4.296,per_usd
1971-04-08,4.2937,per_usd
1971-04-09,4.2951,per_usd
1971-04-12,4.2969,per_usd
1971-04-13,4.3019,per_usd
1971-04-14,4.3024,per_usd
1971-04-15,4.2992,per_usd
1971-04-16,4.3019,per_usd
1971-04-19,4.3052,per_usd
1971-04-20,4.3039,per_usd
1971-04-21,4.3008,per_usd
1971-04-22,4.2995,per_usd
1971-04-23,4.3025,per_usd
1971-04-26,4.3008,per_usd
1971-04-27,4.299,per_usd
1971-04-28,4.2957,per_usd
1971-04-29,4.2957,per_usd
1971-04-30,4.2959,per_usd
1971-05-03,4.2955,per_usd
1971-05-04,4.2952,per_usd
1971-05-05,4.1841,per_usd
1971-05-06,4.1667,per_usd
1971-05-07,4.1374,per_usd
1971-05-10,4.1076,per_usd
1971-05-11,4.1164,per_usd
1971-05-12,4.1095,per_usd
1971-05-13,4.095,per_usd
1971-05-14,4.095,per_usd
1971-05-17,4.0914,per_usd
1971-05-18,4.0872,per_usd
1971-05-19,4.0866,per_usd
1971-05-20,4.0869,per_usd
1971-05-21,4.0733,per_usd
1971-05-24,4.0771,per_usd
1971-05-25,4.0868,per_usd
1971-05-26,4.0882,per_usd
1971-05-27,4.0984,per_usd
1971-05-28,4.1058,per_usd
1971-06-01,4.1059,per_usd
1971-06-02,4.0995,per_usd
1971-06-03,4.0898,per_usd
1971-06-04,4.094,per_usd
1971-06-07,4.0879,per_usd
1971-06-08,4.0896,per_usd
1971-06-09,4.0909,per_usd
1971-06-10,4.0851,per_usd
1971-06-11,4.0885,per_usd
1971-06-14,4.0901,per_usd
1971-06-15,4.0948,per_usd
1971-06-16,4.0907,per_usd
1971-06-17,4.094,per_usd
1971-06-18,4.0931,per_usd
1971-06-21,4.0929,per_usd
1971-06-22,4.0961,per_usd
1971-06-23,4.0943,per_usd
1971-06-24,4.094,per_usd
1971-06-25,4.0944,per_usd
1971-06-28,4.0981,per_usd
1971-06-29,4.1017,per_usd
1971-06-30,4.0989,per_usd
1971-07-01,4.0966,per_usd
1971-07-02,4.0989,per_usd
1971-07-06,4.1037,per_usd
1971-07-07,4.1049,per_usd
1971-07-08,4.105,per_usd
1971-07-09,4.1061,per_usd
1971-07-12,4.106,per_usd
1971-07-13,4.1038,per_usd
1971-07-14,4.098,per_usd
1971-07-15,4.0939,per_usd
1971-07-16,4.0934,per_usd
1971-07-19,4.0915,per_usd
1971-07-20,4.0909,per_usd
1971-07-21,4.0886,per_usd
1971-07-22,4.0866,per_usd
1971-07-23,4.0866,per_usd
1971-07-26,4.0862,per_usd
1971-07-27,4.0862,per_usd
1971-07-28,4.0854,per_usd
1971-07-29,4.0871,per_usd
1971-07-30,4.0862,per_usd
1971-08-02,4.0878,per_usd
1971-08-03,4.0887,per_usd
1971-08-04,4.0607,per_usd
1971-08-05,4.0616,per_usd
1971-08-06,4.0699,per_usd
1971-08-09,4.0532,per_usd
1971-08-10,4.0582,per_usd
1971-08-11,4.06,per_usd
1971-08-12,4.0527,per_usd
1971-08-13,4.0633,per_usd
1971-08-23,3.9932,per_usd
1971-08-24,3.9761,per_usd
1971-08-25,3.9748,per_usd
1971-08-26,3.9651,per_usd
1971-08-27,3.9732,per_usd
1971-08-30,3.9878,per_usd
1971-08-31,3.9936,per_usd
1971-09-01,4.0024,per_usd
1971-09-02,3.9992,per_usd
1971-09-03,3.979,per_usd
1971-09-07,3.9999,per_usd
1971-09-08,3.9963,per_usd
1971-09-09,3.9948,per_usd
1971-09-10,3.9933,per_usd
1971-09-13,3.9984,per_usd
1971-09-14,3.9897,per_usd
1971-09-15,3.9853,per_usd
1971-09-16,3.986,per_usd
1971-09-17,3.9864,per_usd
1971-09-20,3.9714,per_usd
1971-09-21,3.9751,per_usd
1971-09-22,3.9714,per_usd
1971-09-23,3.9563,per_usd
1971-09-24,3.9698,per_usd
1971-09-27,3.9689,per_usd
1971-09-28,3.9681,per_usd
1971-09-29,3.9594,per_usd
1971-09-30,3.9541,per_usd
1971-10-01,3.9588,per_usd
1971-10-04,3.9599,per_usd
1971-10-05,3.9596,per_usd
1971-10-06,3.9603,per_usd
1971-10-07,3.9604,per_usd
1971-10-08,3.9659,per_usd
1971-10-12,3.9699,per_usd
1971-10-13,3.9781,per_usd
1971-10-14,3.9824,per_usd
1971-10-15,3.9833,per_usd
1971-10-18,3.9727,per_usd
1971-10-19,3.9749,per_usd
1971-10-20,3.9755,per_usd
1971-10-21,3.9774,per_usd
1971-10-22,3.9799,per_usd
1971-10-26,3.9914,per_usd
1971-10-27,3.9948,per_usd
1971-10-28,3.988,per_usd
1971-10-29,3.9927,per_usd
1971-11-01,3.996,per_usd
1971-11-03,3.9917,per_usd
1971-11-04,3.9912,per_usd
1971-11-05,3.9911,per_usd
1971-11-08,3.9946,per_usd
1971-11-09,3.9946,per_usd
1971-11-10,3.996,per_usd
1971-11-11,3.9952,per_usd
1971-11-12,3.9943,per_usd
1971-11-15,3.9944,per_usd
1971-11-16,3.9948,per_usd
1971-11-17,3.996,per_usd
1971-11-18,3.9965,per_usd
1971-11-19,3.9839,per_usd
1971-11-22,3.9761,per_usd
1971-11-23,3.9647,per_usd
1971-11-24,3.9526,per_usd
1971-11-26,3.9555,per_usd
1971-11-29,3.9539,per_usd
