date,value,quote
1971-01-04,7.485,per_usd
1971-01-05,7.4872,per_usd
1971-01-06,7.4839,per_usd
1971-01-07,7.485,per_usd
1971-01-08,7.485,per_usd
1971-01-11,7.485,per_usd
1971-01-12,7.4849,per_usd
1971-01-13,7.4812,per_usd
1971-01-14,7.4844,per_usd
1971-01-15,7.4839,per_usd
1971-01-18,7.4836,per_usd
1971-01-19,7.4836,per_usd
1971-01-20,7.4833,per_usd
1971-01-21,7.4848,per_usd
1971-01-22,7.485,per_usd
1971-01-25,7.4867,per_usd
1971-01-26,7.4848,per_usd
1971-01-27,7.4834,per_usd
1971-01-28,7.4853,per_usd
1971-01-29,7.4868,per_usd
1971-02-01,7.4858,per_usd
1971-02-02,7.4858,per_usd
1971-02-03,7.4844,per_usd
1971-02-04,7.4854,per_usd
1971-02-05,7.4875,per_usd
1971-02-08,7.4874,per_usd
1971-02-09,7.485,per_usd
1971-02-10,7.4883,per_usd
1971-02-11,7.4881,per_usd
1971-02-16,7.4881,per_usd
1971-02-17,7.4846,per_usd
1971-02-18,7.4848,per_usd
1971-02-19,7.4864,per_usd
1971-02-22,7.4841,per_usd
1971-02-23,7.4832,per_usd
1971-02-24,7.4828,per_usd
1971-02-25,7.4818,per_usd
1971-02-26,7.4834,per_usd
1971-03-01,7.4826,per_usd
1971-03-02,7.4826,per_usd
1971-03-03,7.4794,per_usd
1971-03-04,7.4818,per_usd
1971-03-05,7.4834,per_usd
1971-03-08,7.4825,per_usd
1971-03-09,7.4816,per_usd
1971-03-10,7.4794,per_usd
1971-03-11,7.4807,per_usd
1971-03-12,7.4794,per_usd
1971-03-15,7.4791,per_usd
1971-03-16,7.4791,per_usd
1971-03-17,7.4783,per_usd
1971-03-18,7.4818,per_usd
1971-03-19,7.4831,per_usd
1971-03-22,7.4818,per_usd
1971-03-23,7.4808,per_usd
1971-03-24,7.4783,per_usd
1971-03-25,7.4802,per_usd
1971-03-26,7.4827,per_usd
1971-03-29,7.4835,per_usd
1971-03-30,7.4792,per_usd
1971-03-31,7.4764,per_usd
1971-04-01,7.4805,per_usd
1971-04-02,7.4833,per_usd
1971-04-05,7.4846,per_usd
1971-04-06,7.4878,per_usd
1971-04-07,7.4859,per_usd
1971-04-08,7.4861,per_usd
1971-04-09,7.4855,per_usd
1971-04-12,7.4864,per_usd
1971-04-13,7.4891,per_usd
1971-04-14,7.4864,per_usd
1971-04-15,7.4878,per_usd
1971-04-16,7.4903,per_usd
1971-04-19,7.4892,per_usd
1971-04-20,7.4881,per_usd
1971-04-21,7.4854,per_usd
1971-04-22,7.4905,per_usd
1971-04-23,7.4909,per_usd
1971-04-26,7.4937,per_usd
1971-04-27,7.4937,per_usd
1971-04-28,7.4948,per_usd
1971-04-29,7.496,per_usd
1971-04-30,7.496,per_usd
1971-05-03,7.4982,per_usd
1971-05-04,7.4989,per_usd
1971-05-05,7.4963,per_usd
1971-05-06,7.5042,per_usd
1971-05-07,7.5019,per_usd
1971-05-10,7.5052,per_usd
1971-05-11,7.5067,per_usd
1971-05-12,7.5058,per_usd
1971-05-13,7.5033,per_usd
1971-05-14,7.5019,per_usd
1971-05-17,7.5019,per_usd
1971-05-18,7.4998,per_usd
1971-05-19,7.4993,per_usd
1971-05-20,7.4996,per_usd
1971-05-21,7.4989,per_usd
1971-05-24,7.4963,per_usd
1971-05-25,7.4956,per_usd
1971-05-26,7.4934,per_usd
1971-05-27,7.4942,per_usd
1971-05-28,7.4946,per_usd
1971-06-01,7.4963,per_usd
1971-06-02,7.4986,per_usd
1971-06-03,7.4984,per_usd
1971-06-04,7.4956,per_usd
1971-06-07,7.4934,per_usd
1971-06-08,7.4934,per_usd
1971-06-09,7.4946,per_usd
1971-06-10,7.4963,per_usd
1971-06-11,7.4963,per_usd
1971-06-14,7.4934,per_usd
1971-06-15,7.4945,per_usd
1971-06-16,7.4929,per_usd
1971-06-17,7.491,per_usd
1971-06-18,7.4918,per_usd
1971-06-21,7.4925,per_usd
1971-06-22,7.4928,per_usd
1971-06-23,7.4945,per_usd
1971-06-24,7.4954,per_usd
1971-06-25,7.4951,per_usd
1971-06-28,7.4963,per_usd
1971-06-29,7.4977,per_usd
1971-06-30,7.496,per_usd
1971-07-01,7.496,per_usd
1971-07-02,7.4959,per_usd
1971-07-06,7.501,per_usd
1971-07-07,7.5001,per_usd
1971-07-08,7.501,per_usd
1971-07-09,7.501,per_usd
1971-07-12,7.501,per_usd
1971-07-13,7.4998,per_usd
1971-07-14,7.5005,per_usd
1971-07-15,7.5016,per_usd
1971-07-16,7.5002,per_usd
1971-07-19,7.4991,per_usd
1971-07-20,7.4987,per_usd
1971-07-21,7.497,per_usd
1971-07-22,7.4974,per_usd
1971-07-23,7.4974,per_usd
1971-07-26,7.4988,per_usd
1971-07-27,7.5005,per_usd
1971-07-28,7.4993,per_usd
1971-07-29,7.5007,per_usd
1971-07-30,7.4993,per_usd
1971-08-02,7.5007,per_usd
1971-08-03,7.5018,per_usd
1971-08-04,7.5015,per_usd
1971-08-05,7.5016,per_usd
1971-08-06,7.5005,per_usd
1971-08-09,7.4996,per_usd
1971-08-10,7.4963,per_usd
1971-08-11,7.4956,per_usd
1971-08-12,7.4948,per_usd
1971-08-13,7.4906,per_usd
1971-08-23,7.4001,per_usd
1971-08-24,7.3874,per_usd
1971-08-25,7.3874,per_usd
1971-08-26,7.3638,per_usd
1971-08-27,7.348,per_usd
1971-08-30,7.3283,per_usd
1971-08-31,7.3505,per_usd
1971-09-01,7.3658,per_usd
1971-09-02,7.3514,per_usd
1971-09-03,7.3379,per_usd
1971-09-07,7.3363,per_usd
1971-09-08,7.3312,per_usd
1971-09-09,7.3346,per_usd
1971-09-10,7.3314,per_usd
1971-09-13,7.3312,per_usd
1971-09-14,7.3277,per_usd
1971-09-15,7.3176,per_usd
1971-09-16,7.3126,per_usd
1971-09-17,7.304,per_usd
1971-09-20,7.3031,per_usd
1971-09-21,7.2822,per_usd
1971-09-22,7.3053,per_usd
1971-09-23,7.304,per_usd
1971-09-24,7.2611,per_usd
1971-09-27,7.2935,per_usd
1971-09-28,7.2937,per_usd
1971-09-29,7.2905,per_usd
1971-09-30,7.28,per_usd
1971-10-01,7.2743,per_usd
1971-10-04,7.2671,per_usd
1971-10-05,7.2674,per_usd
1971-10-06,7.2578,per_usd
1971-10-07,7.2668,per_usd
1971-10-08,7.2572,per_usd
1971-10-12,7.2648,per_usd
1971-10-13,7.2661,per_usd
1971-10-14,7.2646,per_usd
1971-10-15,7.2639,per_usd
1971-10-18,7.2648,per_usd
1971-10-19,7.2677,per_usd
1971-10-20,7.2642,per_usd
1971-10-21,7.2622,per_usd
1971-10-22,7.2611,per_usd
1971-10-26,7.2608,per_usd
1971-10-27,7.26,per_usd
1971-10-28,7.2569,per_usd
1971-10-29,7.2576,per_usd
1971-11-01,7.2612,per_usd
1971-11-03,7.2807,per_usd
1971-11-04,7.2824,per_usd
1971-11-05,7.2802,per_usd
1971-11-08,7.2833,per_usd
1971-11-09,7.2611,per_usd
1971-11-10,7.2829,per_usd
1971-11-11,7.282,per_usd
1971-11-12,7.2809,per_usd
1971-11-15,7.2818,per_usd
1971-11-16,7.282,per_usd
1971-11-17,7.2642,per_usd
1971-11-18,7.2624,per_usd
1971-11-19,7.2514,per_usd
1971-11-22,7.251,per_usd
1971-11-23,7.2202,per_usd
1971-11-24,7.2235,per_usd
1971-11-26,7.2146,per_usd
1971-11-29,7.2196,per_usd
1971-11-30,7.2227,per_usd
1971-12-01,7.215,per_usd
1971-12-02,7.2179,per_usd
1971-12-03,7.217,per_usd
1971-12-06,7.1951,per_usd
1971-12-07,7.1893,per_usd
1971-12-08,7.1965,per_usd
1971-12-09,7.1836,per_usd
1971-12-10,7.1889,per_usd
1971-12-13,7.1865,per_usd
1971-12-14,7.191,per_usd
1971-12-15,7.1764,per_usd
1971-12-16,7.1672,per_usd
1971-12-17,7.1736,per_usd
1971-12-21,7.0859,per_usd
1971-12-22,7.069,per_usd
1971-12-23,7.0761,per_usd
1971-12-24,7.0775,per_usd
1971-12-27,7.0853,per_usd
1971-12-28,7.0906,per_usd
1971-12-29,7.1025,per_usd
1971-12-30,7.0715,per_usd
1971-12-31,7.0665,per_usd
1972-01-03,7.0522,per_usd
1972-01-04,7.0597,per_usd
1972-01-05,7.0597,per_usd
1972-01-06,7.0671,per_usd
1972-01-07,7.0621,per_usd
1972-01-10,7.0621,per_usd
1972-01-11,7.0547,per_usd
1972-01-12,7.0572,per_usd
1972-01-13,7.0522,per_usd
1972-01-14,7.0423,per_usd
1972-01-17,7.0175,per_usd
1972-01-18,7.0311,per_usd
1972-01-19,7.0237,per_usd
1972-01-20,7.0225,per_usd
1972-01-21,7.0126,per_usd
1972-01-24,6.9979,per_usd
1972-01-25,6.9955,per_usd
1972-01-26,7.0102,per_usd
1972-01-27,7.0089,per_usd
1972-01-28,7.0028,per_usd
1972-01-31,7.0028,per_usd
1972-02-01,7.0028,per_usd
1972-02-02,6.9832,per_usd
1972-02-03,6.9869,per_usd
1972-02-04,6.9955,per_usd
1972-02-07,6.993,per_usd
1972-02-08,6.9955,per_usd
1972-02-09,6.9979,per_usd
1972-02-10,6.993,per_usd
1972-02-11,6.993,per_usd
1972-02-14,7.0003,per_usd
1972-02-15,6.9979,per_usd
1972-02-16,6.9881,per_usd
1972-02-17,6.9747,per_usd
1972-02-18,6.9759,per_usd
1972-02-22,6.9857,per_usd
1972-02-23,6.9881,per_usd
1972-02-24,6.9881,per_usd
1972-02-25,6.9857,per_usd
1972-02-28,6.9881,per_usd
1972-02-29,6.9857,per_usd
1972-03-01,6.9784,per_usd
1972-03-02,6.9832,per_usd
1972-03-03,6.9784,per_usd
1972-03-06,6.9759,per_usd
1972-03-07,6.9638,per_usd
1972-03-08,6.9638,per_usd
1972-03-09,6.9324,per_usd
1972-03-10,6.9444,per_usd
1972-03-13,6.9396,per_usd
1972-03-14,6.9565,per_usd
1972-03-15,6.9638,per_usd
1972-03-16,6.9444,per_usd
1972-03-17,6.9589,per_usd
1972-03-20,6.9735,per_usd
1972-03-21,6.9541,per_usd
1972-03-22,6.9589,per_usd
1972-03-23,6.9662,per_usd
1972-03-24,6.9735,per_usd
1972-03-27,6.9711,per_usd
1972-03-28,6.9662,per_usd
1972-03-29,6.9711,per_usd
1972-03-30,6.9735,per_usd
1972-03-31,6.9686,per_usd
1972-04-03,6.9686,per_usd
1972-04-04,6.9686,per_usd
1972-04-05,6.9784,per_usd
1972-04-06,6.9784,per_usd
1972-04-07,6.9955,per_usd
