date,value,quote
1999-01-04,0.8466,per_usd
1999-01-05,0.8503,per_usd
1999-01-06,0.8594,per_usd
1999-01-07,0.8568,per_usd
1999-01-08,0.8655,per_usd
1999-01-11,0.867,per_usd
1999-01-12,0.866,per_usd
1999-01-13,0.8548,per_usd
1999-01-14,0.8555,per_usd
1999-01-15,0.8627,per_usd
1999-01-19,0.8613,per_usd
1999-01-20,0.8639,per_usd
1999-01-21,0.8638,per_usd
1999-01-22,0.8634,per_usd
1999-01-25,0.8646,per_usd
1999-01-26,0.8638,per_usd
1999-01-27,0.871,per_usd
1999-01-28,0.8776,per_usd
1999-01-29,0.8794,per_usd
1999-02-01,0.8847,per_usd
1999-02-02,0.8828,per_usd
1999-02-03,0.8819,per_usd
1999-02-04,0.8845,per_usd
1999-02-05,0.8863,per_usd
1999-02-08,0.8853,per_usd
1999-02-09,0.885,per_usd
1999-02-10,0.8825,per_usd
1999-02-11,0.8847,per_usd
1999-02-12,0.8864,per_usd
1999-02-16,0.8937,per_usd
1999-02-17,0.8905,per_usd
1999-02-18,0.891,per_usd
1999-02-19,0.9029,per_usd
1999-02-22,0.906,per_usd
1999-02-23,0.9097,per_usd
1999-02-24,0.9114,per_usd
1999-02-25,0.9035,per_usd
1999-02-26,0.9095,per_usd
1999-03-01,0.9182,per_usd
1999-03-02,0.9148,per_usd
1999-03-03,0.9184,per_usd
1999-03-04,0.9239,per_usd
1999-03-05,0.9223,per_usd
1999-03-08,0.9175,per_usd
1999-03-09,0.9197,per_usd
1999-03-10,0.9123,per_usd
1999-03-11,0.9147,per_usd
1999-03-12,0.9144,per_usd
1999-03-15,0.9149,per_usd
1999-03-16,0.9162,per_usd
1999-03-17,0.9079,per_usd
1999-03-18,0.9099,per_usd
1999-03-19,0.9155,per_usd
1999-03-22,0.9162,per_usd
1999-03-23,0.9159,per_usd
1999-03-24,0.9157,per_usd
1999-03-25,0.9199,per_usd
1999-03-26,0.9308,per_usd
1999-03-29,0.9332,per_usd
1999-03-30,0.9318,per_usd
1999-03-31,0.9252,per_usd
1999-04-01,0.9275,per_usd
1999-04-02,0.9275,per_usd
1999-04-05,0.9341,per_usd
1999-04-06,0.9227,per_usd
1999-04-07,0.9273,per_usd
1999-04-08,0.9229,per_usd
1999-04-09,0.9271,per_usd
1999-04-12,0.9223,per_usd
1999-04-13,0.9276,per_usd
1999-04-14,0.9277,per_usd
1999-04-15,0.9331,per_usd
1999-04-16,0.9356,per_usd
1999-04-19,0.9427,per_usd
1999-04-20,0.9407,per_usd
1999-04-21,0.9423,per_usd
1999-04-22,0.9436,per_usd
1999-04-23,0.9404,per_usd
1999-04-26,0.9443,per_usd
1999-04-27,0.9391,per_usd
1999-04-28,0.942,per_usd
1999-04-29,0.9442,per_usd
1999-04-30,0.9466,per_usd
1999-05-03,0.946,per_usd
1999-05-04,0.944,per_usd
1999-05-05,0.9325,per_usd
1999-05-06,0.9277,per_usd
1999-05-07,0.9276,per_usd
1999-05-10,0.927,per_usd
1999-05-11,0.9328,per_usd
1999-05-12,0.9376,per_usd
1999-05-13,0.9411,per_usd
1999-05-14,0.939,per_usd
1999-05-17,0.937,per_usd
1999-05-18,0.937,per_usd
1999-05-19,0.9398,per_usd
1999-05-20,0.9407,per_usd
1999-05-21,0.9454,per_usd
1999-05-24,0.944,per_usd
1999-05-25,0.9446,per_usd
1999-05-26,0.955,per_usd
1999-05-27,0.9579,per_usd
1999-05-28,0.9595,per_usd
1999-06-01,0.957,per_usd
1999-06-02,0.9655,per_usd
1999-06-03,0.9657,per_usd
1999-06-04,0.9683,per_usd
1999-06-07,0.9713,per_usd
1999-06-08,0.958,per_usd
1999-06-09,0.9569,per_usd
1999-06-10,0.9545,per_usd
1999-06-11,0.9509,per_usd
1999-06-14,0.9601,per_usd
1999-06-15,0.9597,per_usd
1999-06-16,0.9711,per_usd
1999-06-17,0.9681,per_usd
1999-06-18,0.9645,per_usd
1999-06-21,0.9687,per_usd
1999-06-22,0.9687,per_usd
1999-06-23,0.9694,per_usd
1999-06-24,0.9641,per_usd
1999-06-25,0.9571,per_usd
1999-06-28,0.964,per_usd
1999-06-29,0.9674,per_usd
1999-06-30,0.9699,per_usd
1999-07-01,0.9769,per_usd
1999-07-02,0.9762,per_usd
1999-07-06,0.9757,per_usd
1999-07-07,0.9781,per_usd
1999-07-08,0.9806,per_usd
1999-07-09,0.9817,per_usd
1999-07-12,0.9863,per_usd
1999-07-13,0.9827,per_usd
1999-07-14,0.979,per_usd
1999-07-15,0.9785,per_usd
1999-07-16,0.9801,per_usd
1999-07-19,0.9801,per_usd
1999-07-20,0.9597,per_usd
1999-07-21,0.95,per_usd
1999-07-22,0.9516,per_usd
1999-07-23,0.9527,per_usd
1999-07-26,0.9389,per_usd
1999-07-27,0.941,per_usd
1999-07-28,0.9395,per_usd
1999-07-29,0.9329,per_usd
1999-07-30,0.9351,per_usd
1999-08-02,0.938,per_usd
1999-08-03,0.9363,per_usd
1999-08-04,0.9289,per_usd
1999-08-05,0.9265,per_usd
1999-08-06,0.9285,per_usd
1999-08-09,0.9351,per_usd
1999-08-10,0.9301,per_usd
1999-08-11,0.9381,per_usd
1999-08-12,0.9402,per_usd
1999-08-13,0.9463,per_usd
1999-08-16,0.9472,per_usd
1999-08-17,0.9501,per_usd
1999-08-18,0.9519,per_usd
1999-08-19,0.9396,per_usd
1999-08-20,0.9386,per_usd
1999-08-23,0.9476,per_usd
1999-08-24,0.9518,per_usd
1999-08-25,0.9559,per_usd
1999-08-26,0.9578,per_usd
1999-08-27,0.956,per_usd
1999-08-30,0.9574,per_usd
1999-08-31,0.9451,per_usd
1999-09-01,0.945,per_usd
1999-09-02,0.9355,per_usd
1999-09-03,0.943,per_usd
