date,value,quote
1971-01-04,0.4177,per_usd
1971-01-05,0.4176,per_usd
1971-01-06,0.4172,per_usd
1971-01-07,0.4173,per_usd
1971-01-08,0.4172,per_usd
1971-01-11,0.4168,per_usd
1971-01-12,0.4166,per_usd
1971-01-13,0.4163,per_usd
1971-01-14,0.4154,per_usd
1971-01-15,0.4157,per_usd
1971-01-18,0.4158,per_usd
1971-01-19,0.4153,per_usd
1971-01-20,0.4153,per_usd
1971-01-21,0.4151,per_usd
1971-01-22,0.4149,per_usd
1971-01-25,0.4141,per_usd
1971-01-26,0.4139,per_usd
1971-01-27,0.4139,per_usd
1971-01-28,0.4138,per_usd
1971-01-29,0.4137,per_usd
1971-02-01,0.4135,per_usd
1971-02-02,0.4135,per_usd
1971-02-03,0.4135,per_usd
1971-02-04,0.4138,per_usd
1971-02-05,0.4141,per_usd
1971-02-08,0.4135,per_usd
1971-02-09,0.4141,per_usd
1971-02-10,0.4139,per_usd
1971-02-11,0.4139,per_usd
1971-02-16,0.4133,per_usd
1971-02-17,0.4133,per_usd
1971-02-18,0.4134,per_usd
1971-02-19,0.4134,per_usd
1971-02-22,0.4134,per_usd
1971-02-23,0.4133,per_usd
1971-02-24,0.4133,per_usd
1971-02-25,0.4136,per_usd
1971-02-26,0.4139,per_usd
1971-03-01,0.4139,per_usd
1971-03-02,0.4135,per_usd
1971-03-03,0.4133,per_usd
1971-03-04,0.4136,per_usd
1971-03-05,0.4135,per_usd
1971-03-08,0.4134,per_usd
1971-03-09,0.4134,per_usd
1971-03-10,0.4134,per_usd
1971-03-11,0.4134,per_usd
1971-03-12,0.4133,per_usd
1971-03-15,0.4133,per_usd
1971-03-16,0.4135,per_usd
1971-03-17,0.4133,per_usd
1971-03-18,0.4134,per_usd
1971-03-19,0.4134,per_usd
1971-03-22,0.4133,per_usd
1971-03-23,0.4133,per_usd
1971-03-24,0.4133,per_usd
1971-03-25,0.4135,per_usd
1971-03-26,0.4134,per_usd
1971-03-29,0.4133,per_usd
1971-03-30,0.4135,per_usd
1971-03-31,0.4138,per_usd
1971-04-01,0.4141,per_usd
1971-04-02,0.4145,per_usd
1971-04-05,0.4139,per_usd
1971-04-06,0.4134,per_usd
1971-04-07,0.4137,per_usd
1971-04-08,0.4138,per_usd
1971-04-09,0.4138,per_usd
1971-04-12,0.4138,per_usd
1971-04-13,0.4138,per_usd
1971-04-14,0.4136,per_usd
1971-04-15,0.4134,per_usd
1971-04-16,0.4135,per_usd
1971-04-19,0.4133,per_usd
1971-04-20,0.4133,per_usd
1971-04-21,0.4133,per_usd
1971-04-22,0.4134,per_usd
1971-04-23,0.4134,per_usd
1971-04-26,0.4134,per_usd
1971-04-27,0.4134,per_usd
1971-04-28,0.4133,per_usd
1971-04-29,0.4134,per_usd
1971-04-30,0.4133,per_usd
1971-05-03,0.4134,per_usd
1971-05-04,0.4135,per_usd
1971-05-05,0.4133,per_usd
1971-05-06,0.4135,per_usd
1971-05-07,0.4134,per_usd
1971-05-10,0.4137,per_usd
1971-05-11,0.4137,per_usd
1971-05-12,0.4135,per_usd
1971-05-13,0.4135,per_usd
1971-05-14,0.4135,per_usd
1971-05-17,0.4133,per_usd
1971-05-18,0.4134,per_usd
1971-05-19,0.4133,per_usd
1971-05-20,0.4133,per_usd
1971-05-21,0.4133,per_usd
1971-05-24,0.4133,per_usd
1971-05-25,0.4134,per_usd
1971-05-26,0.4133,per_usd
1971-05-27,0.4134,per_usd
1971-05-28,0.4136,per_usd
1971-06-01,0.4139,per_usd
1971-06-02,0.4137,per_usd
1971-06-03,0.4134,per_usd
1971-06-04,0.4134,per_usd
1971-06-07,0.4134,per_usd
1971-06-08,0.4134,per_usd
1971-06-09,0.4133,per_usd
1971-06-10,0.4133,per_usd
1971-06-11,0.4133,per_usd
1971-06-14,0.4135,per_usd
1971-06-15,0.4134,per_usd
1971-06-16,0.4133,per_usd
1971-06-17,0.4134,per_usd
1971-06-18,0.4134,per_usd
1971-06-21,0.4134,per_usd
1971-06-22,0.4134,per_usd
1971-06-23,0.4133,per_usd
1971-06-24,0.4134,per_usd
