date,value,quote
1973-01-02,8.02,per_usd
1973-01-03,8.02,per_usd
1973-01-04,8,per_usd
1973-01-05,8.01,per_usd
1973-01-08,8,per_usd
1973-01-09,8,per_usd
1973-01-10,8,per_usd
1973-01-11,8,per_usd
1973-01-12,8,per_usd
1973-01-15,8,per_usd
1973-01-16,8.01,per_usd
1973-01-17,8.01,per_usd
1973-01-18,8.01,per_usd
1973-01-19,8,per_usd
1973-01-22,8,per_usd
1973-01-23,8,per_usd
1973-01-24,8,per_usd
1973-01-25,8,per_usd
1973-01-26,8,per_usd
1973-01-29,8.01,per_usd
1973-01-30,8,per_usd
1973-01-31,8,per_usd
1973-02-01,8,per_usd
1973-02-02,8,per_usd
1973-02-05,7.97,per_usd
1973-02-06,8,per_usd
1973-02-07,8,per_usd
1973-02-08,8.01,per_usd
1973-02-09,8.01,per_usd
1973-02-15,7.58,per_usd
1973-02-16,7.58,per_usd
1973-02-20,7.58,per_usd
1973-02-21,7.58,per_usd
1973-02-22,7.58,per_usd
1973-02-23,7.58,per_usd
1973-02-26,7.55,per_usd
1973-02-27,7.52,per_usd
1973-02-28,7.52,per_usd
1973-03-01,7.55,per_usd
1973-03-06,7.35,per_usd
1973-03-07,7.19,per_usd
1973-03-08,7.25,per_usd
1973-03-09,7.55,per_usd
1973-03-12,7.52,per_usd
1973-03-13,7.52,per_usd
1973-03-14,7.94,per_usd
1973-03-15,7.52,per_usd
1973-03-16,7.81,per_usd
1973-03-19,7.6,per_usd
1973-03-20,7.58,per_usd
1973-03-21,7.58,per_usd
1973-03-22,7.58,per_usd
1973-03-23,7.58,per_usd
1973-03-26,7.58,per_usd
1973-03-27,7.55,per_usd
1973-03-28,7.55,per_usd
1973-03-29,7.58,per_usd
1973-03-30,7.55,per_usd
1973-04-02,7.58,per_usd
1973-04-03,7.55,per_usd
1973-04-04,7.55,per_usd
1973-04-05,7.55,per_usd
1973-04-06,7.55,per_usd
1973-04-09,7.55,per_usd
1973-04-10,7.55,per_usd
1973-04-11,7.52,per_usd
1973-04-12,7.5,per_usd
1973-04-13,7.52,per_usd
1973-04-16,7.52,per_usd
1973-04-17,7.55,per_usd
1973-04-18,7.55,per_usd
1973-04-19,7.55,per_usd
1973-04-20,7.55,per_usd
1973-04-23,7.55,per_usd
1973-04-24,7.56,per_usd
1973-04-25,7.55,per_usd
1973-04-26,7.56,per_usd
1973-04-27,7.58,per_usd
1973-04-30,7.53,per_usd
1973-05-01,7.54,per_usd
1973-05-02,7.52,per_usd
1973-05-03,7.55,per_usd
1973-05-04,7.55,per_usd
1973-05-07,7.55,per_usd
1973-05-08,7.55,per_usd
1973-05-09,7.52,per_usd
1973-05-10,7.52,per_usd
1973-05-11,7.52,per_usd
1973-05-14,7.46,per_usd
1973-05-15,7.46,per_usd
1973-05-16,7.49,per_usd
1973-05-17,7.52,per_usd
1973-05-18,7.52,per_usd
1973-05-21,7.52,per_usd
1973-05-22,7.52,per_usd
1973-05-23,7.52,per_usd
1973-05-24,7.46,per_usd
1973-05-25,7.41,per_usd
1973-05-29,7.4,per_usd
1973-05-30,7.35,per_usd
1973-05-31,7.39,per_usd
1973-06-01,7.25,per_usd
1973-06-04,7.22,per_usd
1973-06-05,7.22,per_usd
1973-06-06,7.27,per_usd
1973-06-07,7.25,per_usd
1973-06-08,7.3,per_usd
1973-06-11,7.3,per_usd
1973-06-12,7.33,per_usd
1973-06-13,7.33,per_usd
1973-06-14,7.26,per_usd
1973-06-15,7.3,per_usd
1973-06-18,7.25,per_usd
1973-06-19,7.25,per_usd
1973-06-20,7.25,per_usd
1973-06-21,7.25,per_usd
1973-06-22,7.3,per_usd
1973-06-25,7.27,per_usd
1973-06-26,7.27,per_usd
1973-06-27,7.27,per_usd
1973-06-28,7.27,per_usd
1973-06-29,7.3,per_usd
1973-07-02,7.3,per_usd
1973-07-03,7.27,per_usd
1973-07-05,7.27,per_usd
1973-07-06,7.3,per_usd
1973-07-09,7.3,per_usd
1973-07-10,7.3,per_usd
1973-07-11,7.3,per_usd
1973-07-12,7.25,per_usd
1973-07-13,7.3,per_usd
1973-07-16,7.3,per_usd
1973-07-17,7.27,per_usd
1973-07-18,7.27,per_usd
1973-07-19,7.27,per_usd
1973-07-20,7.41,per_usd
1973-07-23,7.41,per_usd
1973-07-24,7.46,per_usd
1973-07-25,7.46,per_usd
1973-07-26,7.46,per_usd
1973-07-27,7.49,per_usd
1973-07-30,7.49,per_usd
1973-07-31,7.49,per_usd
1973-08-01,7.49,per_usd
1973-08-02,7.49,per_usd
1973-08-03,7.49,per_usd
1973-08-06,7.52,per_usd
1973-08-07,7.52,per_usd
1973-08-08,7.46,per_usd
1973-08-09,7.49,per_usd
1973-08-10,7.49,per_usd
1973-08-13,7.62,per_usd
1973-08-14,7.58,per_usd
1973-08-15,7.6,per_usd
1973-08-16,7.58,per_usd
1973-08-17,7.66,per_usd
1973-08-20,7.66,per_usd
1973-08-21,7.66,per_usd
1973-08-22,7.6,per_usd
1973-08-23,7.6,per_usd
1973-08-24,7.6,per_usd
1973-08-27,7.58,per_usd
1973-08-28,7.58,per_usd
1973-08-29,7.55,per_usd
1973-08-30,7.58,per_usd
1973-08-31,7.58,per_usd
1973-09-04,7.58,per_usd
1973-09-05,7.55,per_usd
1973-09-06,7.58,per_usd
1973-09-07,7.58,per_usd
1973-09-10,7.6,per_usd
1973-09-11,7.6,per_usd
1973-09-12,7.75,per_usd
1973-09-13,7.78,per_usd
1973-09-14,7.78,per_usd
1973-09-17,7.75,per_usd
1973-09-18,7.78,per_usd
1973-09-19,7.75,per_usd
1973-09-20,7.75,per_usd
1973-09-21,7.75,per_usd
1973-09-24,7.72,per_usd
1973-09-25,7.75,per_usd
1973-09-26,7.75,per_usd
1973-09-27,7.75,per_usd
1973-09-28,7.75,per_usd
1973-10-01,7.72,per_usd
1973-10-02,7.78,per_usd
1973-10-03,7.78,per_usd
1973-10-04,7.78,per_usd
1973-10-05,7.78,per_usd
1973-10-09,7.78,per_usd
1973-10-10,7.75,per_usd
1973-10-11,7.75,per_usd
1973-10-12,7.75,per_usd
1973-10-15,7.78,per_usd
1973-10-16,7.72,per_usd
1973-10-17,7.69,per_usd
1973-10-18,7.69,per_usd
1973-10-19,7.69,per_usd
1973-10-23,7.69,per_usd
1973-10-24,7.69,per_usd
1973-10-25,7.69,per_usd
1973-10-26,7.69,per_usd
1973-10-29,7.69,per_usd
1973-10-30,7.69,per_usd
1973-10-31,7.69,per_usd
1973-11-01,7.68,per_usd
1973-11-02,7.68,per_usd
1973-11-05,7.7,per_usd
1973-11-07,7.76,per_usd
1973-11-08,7.76,per_usd
1973-11-09,7.78,per_usd
1973-11-12,7.69,per_usd
1973-11-13,7.69,per_usd
1973-11-14,7.69,per_usd
1973-11-15,7.69,per_usd
1973-11-16,7.86,per_usd
1973-11-19,7.86,per_usd
1973-11-20,7.83,per_usd
1973-11-21,7.83,per_usd
1973-11-23,8,per_usd
1973-11-26,8,per_usd
1973-11-27,8,per_usd
1973-11-28,8.06,per_usd
1973-11-29,8.06,per_usd
1973-11-30,8.06,per_usd
1973-12-03,8.03,per_usd
1973-12-04,8.03,per_usd
1973-12-05,8.03,per_usd
1973-12-06,8.06,per_usd
1973-12-07,8.06,per_usd
1973-12-10,8.06,per_usd
1973-12-11,8.06,per_usd
1973-12-12,8.13,per_usd
1973-12-13,8.13,per_usd
1973-12-14,8.13,per_usd
1973-12-17,8.2,per_usd
1973-12-18,8.2,per_usd
1973-12-19,8.12,per_usd
1973-12-20,8.12,per_usd
1973-12-21,8.12,per_usd
1973-12-24,8.12,per_usd
1973-12-26,8.12,per_usd
1973-12-27,8.16,per_usd
1973-12-28,8.16,per_usd
1973-12-31,8.16,per_usd
1974-01-02,8.16,per_usd
1974-01-03,8.21,per_usd
1974-01-04,8.21,per_usd
1974-01-07,8.21,per_usd
1974-01-08,8.4,per_usd
1974-01-09,8.4,per_usd
1974-01-10,8.4,per_usd
1974-01-11,8.4,per_usd
1974-01-14,8.36,per_usd
1974-01-15,8.36,per_usd
1974-01-16,8.36,per_usd
1974-01-17,8.36,per_usd
1974-01-18,8.58,per_usd
1974-01-21,8.58,per_usd
1974-01-22,8.58,per_usd
1974-01-23,8.62,per_usd
1974-01-24,8.62,per_usd
1974-01-25,8.62,per_usd
1974-01-28,8.55,per_usd
1974-01-29,8.55,per_usd
1974-01-30,8.55,per_usd
1974-01-31,8.55,per_usd
1974-02-01,8.23,per_usd
1974-02-04,8.23,per_usd
1974-02-05,8.23,per_usd
1974-02-06,8.23,per_usd
1974-02-07,8.23,per_usd
1974-02-08,8.37,per_usd
1974-02-11,8.37,per_usd
1974-02-13,8.33,per_usd
1974-02-14,8.33,per_usd
1974-02-15,8.23,per_usd
1974-02-19,8.23,per_usd
1974-02-20,8.23,per_usd
1974-02-21,8.2,per_usd
1974-02-22,8.2,per_usd
1974-02-25,8.2,per_usd
1974-02-26,8.2,per_usd
1974-02-27,8.2,per_usd
1974-02-28,8.16,per_usd
1974-03-01,8.2,per_usd
1974-03-04,8.2,per_usd
1974-03-05,8.2,per_usd
1974-03-06,8.2,per_usd
1974-03-07,8.08,per_usd
1974-03-08,8.1,per_usd
1974-03-11,8.1,per_usd
1974-03-12,8.1,per_usd
1974-03-13,8.1,per_usd
1974-03-14,8.1,per_usd
1974-03-15,8.03,per_usd
1974-03-18,8.03,per_usd
1974-03-19,8.03,per_usd
1974-03-20,8.03,per_usd
1974-03-21,8.03,per_usd
1974-03-22,7.97,per_usd
1974-03-25,7.97,per_usd
1974-03-26,7.97,per_usd
1974-03-27,7.97,per_usd
1974-03-28,7.97,per_usd
1974-03-29,7.81,per_usd
1974-04-01,7.81,per_usd
1974-04-02,7.81,per_usd
1974-04-03,7.81,per_usd
1974-04-04,7.81,per_usd
1974-04-05,7.84,per_usd
1974-04-08,7.84,per_usd
1974-04-09,7.84,per_usd
1974-04-10,7.81,per_usd
1974-04-11,7.81,per_usd
1974-04-12,7.97,per_usd
1974-04-15,7.97,per_usd
1974-04-16,8,per_usd
1974-04-17,7.97,per_usd
1974-04-18,7.97,per_usd
1974-04-19,7.87,per_usd
1974-04-22,7.87,per_usd
1974-04-23,7.87,per_usd
1974-04-24,7.87,per_usd
1974-04-25,7.87,per_usd
1974-04-26,7.81,per_usd
1974-04-29,7.81,per_usd
1974-04-30,7.81,per_usd
1974-05-01,7.81,per_usd
1974-05-02,7.81,per_usd
1974-05-03,7.75,per_usd
1974-05-06,7.75,per_usd
1974-05-07,7.87,per_usd
1974-05-08,7.75,per_usd
1974-05-09,7.75,per_usd
1974-05-10,7.72,per_usd
1974-05-13,7.72,per_usd
1974-05-14,7.72,per_usd
1974-05-15,7.72,per_usd
1974-05-16,7.72,per_usd
1974-05-17,7.81,per_usd
1974-05-20,7.81,per_usd
1974-05-21,7.84,per_usd
1974-05-22,7.81,per_usd
1974-05-23,7.81,per_usd
1974-05-24,7.81,per_usd
1974-05-28,7.81,per_usd
