date,value,quote
1993-11-08,3.152,per_usd
1993-11-09,3.24,per_usd
1993-11-10,3.24,per_usd
1993-11-12,3.24,per_usd
1993-11-15,3.215,per_usd
1993-11-18,3.108,per_usd
1993-11-19,3.115,per_usd
1993-11-22,3.1022,per_usd
1993-11-23,3.1026,per_usd
1993-11-24,3.103,per_usd
1993-11-26,3.114,per_usd
1993-11-29,3.11,per_usd
1993-11-30,3.1055,per_usd
1993-12-01,3.1038,per_usd
1993-12-02,3.106,per_usd
1993-12-03,3.1045,per_usd
1993-12-06,3.106,per_usd
1993-12-07,3.1052,per_usd
1993-12-08,3.1066,per_usd
1993-12-09,3.107,per_usd
1993-12-10,3.117,per_usd
1993-12-13,3.1148,per_usd
1993-12-14,3.113,per_usd
1993-12-15,3.107,per_usd
1993-12-16,3.106,per_usd
1993-12-17,3.106,per_usd
1993-12-20,3.11,per_usd
1993-12-21,3.11,per_usd
1993-12-22,3.115,per_usd
1993-12-23,3.11,per_usd
1993-12-24,3.105,per_usd
1993-12-27,3.106,per_usd
1993-12-28,3.106,per_usd
1993-12-29,3.11,per_usd
1993-12-30,3.108,per_usd
1994-01-03,3.108,per_usd
1994-01-04,3.12,per_usd
1994-01-05,3.1065,per_usd
1994-01-06,3.106,per_usd
1994-01-07,3.106,per_usd
1994-01-10,3.116,per_usd
1994-01-11,3.109,per_usd
1994-01-12,3.1095,per_usd
1994-01-13,3.106,per_usd
1994-01-14,3.1085,per_usd
1994-01-18,3.106,per_usd
1994-01-19,3.106,per_usd
1994-01-20,3.1065,per_usd
1994-01-21,3.106,per_usd
1994-01-24,3.106,per_usd
1994-01-25,3.1055,per_usd
1994-01-26,3.107,per_usd
1994-01-27,3.1062,per_usd
1994-01-28,3.105,per_usd
1994-01-31,3.106,per_usd
1994-02-01,3.105,per_usd
1994-02-02,3.105,per_usd
1994-02-03,3.105,per_usd
1994-02-04,3.105,per_usd
1994-02-07,3.1052,per_usd
1994-02-08,3.1053,per_usd
1994-02-09,3.106,per_usd
1994-02-10,3.105,per_usd
1994-02-11,3.106,per_usd
1994-02-14,3.105,per_usd
1994-02-15,3.105,per_usd
1994-02-16,3.105,per_usd
1994-02-17,3.105,per_usd
1994-02-18,3.1055,per_usd
1994-02-22,3.1125,per_usd
1994-02-23,3.118,per_usd
1994-02-24,3.21,per_usd
1994-02-25,3.205,per_usd
1994-02-28,3.195,per_usd
1994-03-01,3.18,per_usd
1994-03-02,3.26,per_usd
1994-03-03,3.25,per_usd
1994-03-04,3.245,per_usd
1994-03-07,3.253,per_usd
1994-03-08,3.256,per_usd
1994-03-09,3.31,per_usd
1994-03-10,3.285,per_usd
1994-03-11,3.295,per_usd
1994-03-14,3.29,per_usd
1994-03-15,3.31,per_usd
1994-03-16,3.307,per_usd
1994-03-17,3.3,per_usd
1994-03-18,3.325,per_usd
1994-03-21,3.33,per_usd
1994-03-22,3.33,per_usd
1994-03-23,3.3375,per_usd
1994-03-25,3.3586,per_usd
1994-03-28,3.3598,per_usd
1994-03-29,3.35,per_usd
1994-03-30,3.361,per_usd
1994-03-31,3.365,per_usd
1994-04-04,3.3626,per_usd
1994-04-05,3.363,per_usd
1994-04-06,3.363,per_usd
1994-04-07,3.363,per_usd
1994-04-08,3.3642,per_usd
1994-04-11,3.3654,per_usd
1994-04-12,3.365,per_usd
1994-04-13,3.3662,per_usd
1994-04-14,3.3666,per_usd
1994-04-15,3.3645,per_usd
1994-04-18,3.368,per_usd
1994-04-19,3.3686,per_usd
1994-04-20,3.369,per_usd
1994-04-21,3.3694,per_usd
1994-04-22,3.3698,per_usd
1994-04-25,3.359,per_usd
1994-04-26,3.31,per_usd
1994-04-27,3.273,per_usd
1994-04-28,3.28,per_usd
1994-04-29,3.28,per_usd
1994-05-02,3.27,per_usd
1994-05-03,3.31,per_usd
1994-05-04,3.312,per_usd
1994-05-06,3.32,per_usd
1994-05-09,3.338,per_usd
1994-05-10,3.335,per_usd
1994-05-11,3.325,per_usd
1994-05-12,3.33,per_usd
1994-05-13,3.322,per_usd
1994-05-16,3.33,per_usd
1994-05-17,3.331,per_usd
1994-05-18,3.334,per_usd
1994-05-19,3.316,per_usd
1994-05-20,3.3125,per_usd
1994-05-23,3.3,per_usd
1994-05-24,3.286,per_usd
1994-05-25,3.3,per_usd
1994-05-26,3.315,per_usd
1994-05-27,3.315,per_usd
1994-05-31,3.332,per_usd
1994-06-01,3.33,per_usd
1994-06-02,3.32,per_usd
1994-06-03,3.325,per_usd
1994-06-06,3.33,per_usd
1994-06-07,3.36,per_usd
1994-06-08,3.357,per_usd
1994-06-09,3.362,per_usd
1994-06-10,3.365,per_usd
1994-06-13,3.3735,per_usd
1994-06-14,3.373,per_usd
1994-06-15,3.368,per_usd
1994-06-16,3.368,per_usd
1994-06-17,3.365,per_usd
1994-06-20,3.372,per_usd
1994-06-21,3.375,per_usd
1994-06-22,3.378,per_usd
1994-06-23,3.39,per_usd
1994-06-24,3.39,per_usd
1994-06-27,3.395,per_usd
1994-06-28,3.391,per_usd
1994-06-29,3.389,per_usd
1994-06-30,3.4,per_usd
1994-07-01,3.395,per_usd
1994-07-05,3.4,per_usd
1994-07-06,3.3958,per_usd
1994-07-07,3.405,per_usd
1994-07-08,3.405,per_usd
1994-07-11,3.405,per_usd
1994-07-12,3.4025,per_usd
1994-07-13,3.405,per_usd
1994-07-14,3.403,per_usd
1994-07-15,3.403,per_usd
1994-07-18,3.405,per_usd
1994-07-19,3.402,per_usd
1994-07-20,3.4054,per_usd
1994-07-21,3.4035,per_usd
1994-07-22,3.405,per_usd
1994-07-25,3.4045,per_usd
1994-07-26,3.4078,per_usd
1994-07-27,3.406,per_usd
1994-07-28,3.398,per_usd
1994-07-29,3.405,per_usd
1994-08-01,3.4005,per_usd
1994-08-02,3.386,per_usd
1994-08-03,3.38,per_usd
1994-08-04,3.38,per_usd
1994-08-05,3.381,per_usd
1994-08-08,3.387,per_usd
1994-08-09,3.387,per_usd
1994-08-10,3.4,per_usd
1994-08-11,3.405,per_usd
1994-08-12,3.402,per_usd
1994-08-15,3.403,per_usd
1994-08-16,3.408,per_usd
1994-08-17,3.397,per_usd
1994-08-18,3.38,per_usd
1994-08-19,3.3765,per_usd
1994-08-22,3.33,per_usd
1994-08-23,3.337,per_usd
1994-08-24,3.348,per_usd
1994-08-25,3.358,per_usd
1994-08-26,3.367,per_usd
1994-08-29,3.383,per_usd
1994-08-30,3.388,per_usd
1994-08-31,3.389,per_usd
1994-09-01,3.3925,per_usd
1994-09-02,3.375,per_usd
1994-09-06,3.4,per_usd
1994-09-07,3.3965,per_usd
1994-09-08,3.401,per_usd
1994-09-09,3.415,per_usd
1994-09-12,3.413,per_usd
1994-09-13,3.417,per_usd
1994-09-14,3.416,per_usd
1994-09-15,3.415,per_usd
1994-09-16,3.398,per_usd
1994-09-19,3.408,per_usd
1994-09-20,3.41,per_usd
1994-09-21,3.404,per_usd
1994-09-22,3.409,per_usd
1994-09-23,3.399,per_usd
1994-09-26,3.373,per_usd
1994-09-27,3.395,per_usd
1994-09-28,3.407,per_usd
1994-09-29,3.404,per_usd
1994-09-30,3.399,per_usd
1994-10-03,3.398,per_usd
1994-10-04,3.413,per_usd
1994-10-05,3.419,per_usd
1994-10-06,3.418,per_usd
1994-10-07,3.419,per_usd
1994-10-11,3.423,per_usd
1994-10-12,3.424,per_usd
1994-10-13,3.415,per_usd
1994-10-14,3.422,per_usd
1994-10-17,3.422,per_usd
1994-10-18,3.425,per_usd
1994-10-19,3.415,per_usd
1994-10-20,3.418,per_usd
1994-10-21,3.418,per_usd
1994-10-24,3.419,per_usd
1994-10-25,3.428,per_usd
1994-10-26,3.426,per_usd
1994-10-27,3.43,per_usd
1994-10-28,3.434,per_usd
1994-10-31,3.438,per_usd
1994-11-01,3.439,per_usd
1994-11-02,3.439,per_usd
1994-11-03,3.437,per_usd
1994-11-04,3.43,per_usd
1994-11-07,3.427,per_usd
1994-11-08,3.426,per_usd
1994-11-09,3.429,per_usd
1994-11-10,3.442,per_usd
1994-11-14,3.451,per_usd
1994-11-15,3.4525,per_usd
1994-11-16,3.453,per_usd
1994-11-17,3.4534,per_usd
1994-11-18,3.4538,per_usd
1994-11-21,3.445,per_usd
1994-11-22,3.448,per_usd
1994-11-23,3.445,per_usd
1994-11-25,3.448,per_usd
1994-11-28,3.45,per_usd
1994-11-29,3.442,per_usd
1994-11-30,3.44,per_usd
1994-12-01,3.44,per_usd
1994-12-02,3.439,per_usd
1994-12-05,3.441,per_usd
1994-12-06,3.447,per_usd
1994-12-07,3.452,per_usd
1994-12-08,3.45,per_usd
1994-12-09,3.454,per_usd
1994-12-12,3.45,per_usd
1994-12-13,3.457,per_usd
1994-12-14,3.454,per_usd
1994-12-15,3.461,per_usd
1994-12-16,3.463,per_usd
1994-12-19,3.4662,per_usd
1994-12-20,3.95,per_usd
1994-12-21,3.997,per_usd
1994-12-22,4.85,per_usd
1994-12-23,4.7,per_usd
1994-12-27,5.75,per_usd
1994-12-28,5.35,per_usd
1994-12-29,5,per_usd
1994-12-30,5,per_usd
1995-01-03,5.5,per_usd
1995-01-04,5.55,per_usd
1995-01-05,5.45,per_usd
1995-01-06,5.5,per_usd
1995-01-09,5.4,per_usd
1995-01-10,5.8,per_usd
1995-01-11,5.75,per_usd
1995-01-12,5.65,per_usd
1995-01-13,5.35,per_usd
1995-01-17,5.27,per_usd
1995-01-18,5.29,per_usd
1995-01-19,5.68,per_usd
1995-01-20,5.7,per_usd
1995-01-23,5.76,per_usd
1995-01-24,5.8,per_usd
1995-01-25,5.7,per_usd
1995-01-26,5.66,per_usd
1995-01-27,5.68,per_usd
1995-01-30,6.5,per_usd
1995-01-31,5.82,per_usd
1995-02-01,5.51,per_usd
1995-02-02,5.47,per_usd
1995-02-03,5.36,per_usd
1995-02-06,5.38,per_usd
1995-02-07,5.35,per_usd
1995-02-08,5.37,per_usd
1995-02-09,5.55,per_usd
1995-02-10,5.65,per_usd
1995-02-13,5.6,per_usd
1995-02-14,5.77,per_usd
1995-02-15,6.03,per_usd
1995-02-16,6.09,per_usd
1995-02-17,5.82,per_usd
1995-02-21,5.44,per_usd
1995-02-22,5.93,per_usd
1995-02-23,5.69,per_usd
1995-02-24,5.84,per_usd
1995-02-27,6.06,per_usd
1995-02-28,5.97,per_usd
1995-03-01,5.96,per_usd
1995-03-02,5.97,per_usd
1995-03-03,6.06,per_usd
1995-03-06,6.6,per_usd
1995-03-07,6.9,per_usd
1995-03-08,6.82,per_usd
1995-03-09,7.6,per_usd
1995-03-10,6.35,per_usd
1995-03-13,6.47,per_usd
1995-03-14,6.57,per_usd
1995-03-15,6.9,per_usd
1995-03-16,7.25,per_usd
1995-03-17,7.21,per_usd
1995-03-20,7,per_usd
1995-03-21,7.1,per_usd
1995-03-22,7.23,per_usd
1995-03-23,7.1,per_usd
1995-03-24,6.85,per_usd
1995-03-27,6.72,per_usd
1995-03-28,6.82,per_usd
1995-03-29,6.81,per_usd
1995-03-30,6.76,per_usd
1995-03-31,6.82,per_usd
1995-04-03,6.82,per_usd
1995-04-04,6.62,per_usd
1995-04-05,6.46,per_usd
1995-04-06,6.47,per_usd
1995-04-07,6.32,per_usd
1995-04-10,6.4,per_usd
1995-04-11,6.3,per_usd
1995-04-12,6.18,per_usd
1995-04-13,6.32,per_usd
1995-04-14,6.32,per_usd
1995-04-17,6.27,per_usd
1995-04-18,6.24,per_usd
1995-04-19,6.11,per_usd
1995-04-20,6.12,per_usd
1995-04-21,6.01,per_usd
1995-04-24,5.97,per_usd
1995-04-25,5.91,per_usd
1995-04-26,5.83,per_usd
1995-04-27,5.85,per_usd
1995-04-28,6.05,per_usd
1995-05-01,5.94,per_usd
1995-05-02,5.96,per_usd
1995-05-03,5.83,per_usd
1995-05-04,5.91,per_usd
1995-05-05,5.87,per_usd
1995-05-08,5.88,per_usd
1995-05-09,5.86,per_usd
1995-05-10,5.97,per_usd
1995-05-11,5.93,per_usd
1995-05-12,5.95,per_usd
1995-05-15,5.97,per_usd
1995-05-16,5.95,per_usd
1995-05-17,5.94,per_usd
1995-05-18,5.94,per_usd
1995-05-19,5.92,per_usd
1995-05-22,5.92,per_usd
1995-05-23,5.99,per_usd
1995-05-24,6.06,per_usd
1995-05-25,6.1,per_usd
1995-05-26,6.17,per_usd
1995-05-30,6.21,per_usd
1995-05-31,6.16,per_usd
1995-06-01,6.25,per_usd
1995-06-02,6.2,per_usd
1995-06-05,6.18,per_usd
1995-06-06,6.125,per_usd
1995-06-07,6.15,per_usd
1995-06-08,6.23,per_usd
1995-06-09,6.27,per_usd
1995-06-12,6.29,per_usd
1995-06-13,6.2,per_usd
1995-06-14,6.23,per_usd
1995-06-15,6.2,per_usd
1995-06-16,6.19,per_usd
1995-06-19,6.225,per_usd
1995-06-20,6.22,per_usd
1995-06-21,6.28,per_usd
1995-06-22,6.255,per_usd
1995-06-23,6.25,per_usd
1995-06-26,6.26,per_usd
1995-06-27,6.275,per_usd
1995-06-28,6.32,per_usd
1995-06-29,6.27,per_usd
1995-06-30,6.255,per_usd
1995-07-03,6.255,per_usd
1995-07-05,6.27,per_usd
1995-07-06,6.25,per_usd
1995-07-07,6.17,per_usd
1995-07-10,6.15,per_usd
1995-07-11,6.11,per_usd
1995-07-12,6.1175,per_usd
1995-07-13,6.05,per_usd
1995-07-14,6.0175,per_usd
1995-07-17,6,per_usd
1995-07-18,6.04,per_usd
1995-07-19,6.08,per_usd
1995-07-20,6.15,per_usd
1995-07-21,6.1,per_usd
1995-07-24,6.095,per_usd
1995-07-25,6.16,per_usd
1995-07-26,6.11,per_usd
1995-07-27,6.095,per_usd
1995-07-28,6.105,per_usd
1995-07-31,6.115,per_usd
1995-08-01,6.125,per_usd
1995-08-02,6.12,per_usd
1995-08-03,6.125,per_usd
1995-08-04,6.155,per_usd
1995-08-07,6.12,per_usd
1995-08-08,6.145,per_usd
1995-08-09,6.14,per_usd
1995-08-10,6.146,per_usd
1995-08-11,6.14,per_usd
1995-08-14,6.145,per_usd
1995-08-15,6.1525,per_usd
1995-08-16,6.17,per_usd
1995-08-17,6.1925,per_usd
1995-08-18,6.255,per_usd
1995-08-21,6.23,per_usd
1995-08-22,6.2125,per_usd
1995-08-23,6.28,per_usd
1995-08-24,6.31,per_usd
1995-08-25,6.31,per_usd
1995-08-28,6.325,per_usd
1995-08-29,6.3175,per_usd
1995-08-30,6.2925,per_usd
1995-08-31,6.3,per_usd
1995-09-01,6.26,per_usd
1995-09-05,6.235,per_usd
