date,value,quote
1971-01-04,3.0867,per_usd
1971-01-05,3.0861,per_usd
1971-01-06,3.0845,per_usd
1971-01-07,3.085,per_usd
1971-01-08,3.0845,per_usd
1971-01-11,3.0814,per_usd
1971-01-12,3.0807,per_usd
1971-01-13,3.0782,per_usd
1971-01-14,3.075,per_usd
1971-01-15,3.0764,per_usd
1971-01-18,3.0755,per_usd
1971-01-19,3.0719,per_usd
1971-01-20,3.0725,per_usd
1971-01-21,3.0716,per_usd
1971-01-22,3.0703,per_usd
1971-01-25,3.0675,per_usd
1971-01-26,3.0665,per_usd
1971-01-27,3.0653,per_usd
1971-01-28,3.0653,per_usd
1971-01-29,3.0647,per_usd
1971-02-01,3.0631,per_usd
1971-02-02,3.065,per_usd
1971-02-03,3.0647,per_usd
1971-02-04,3.0687,per_usd
1971-02-05,3.0689,per_usd
1971-02-08,3.0687,per_usd
1971-02-09,3.0691,per_usd
1971-02-10,3.0665,per_usd
1971-02-11,3.0665,per_usd
1971-02-16,3.0659,per_usd
1971-02-17,3.065,per_usd
1971-02-18,3.065,per_usd
1971-02-19,3.065,per_usd
1971-02-22,3.065,per_usd
1971-02-23,3.065,per_usd
1971-02-24,3.065,per_usd
1971-02-25,3.0656,per_usd
1971-02-26,3.0662,per_usd
1971-03-01,3.0675,per_usd
1971-03-02,3.0669,per_usd
1971-03-03,3.0659,per_usd
1971-03-04,3.0662,per_usd
1971-03-05,3.0662,per_usd
1971-03-08,3.0647,per_usd
1971-03-09,3.0653,per_usd
1971-03-10,3.0653,per_usd
1971-03-11,3.0662,per_usd
1971-03-12,3.0653,per_usd
1971-03-15,3.0653,per_usd
1971-03-16,3.0662,per_usd
1971-03-17,3.0653,per_usd
1971-03-18,3.0656,per_usd
1971-03-19,3.0656,per_usd
1971-03-22,3.0653,per_usd
1971-03-23,3.0655,per_usd
1971-03-24,3.0655,per_usd
1971-03-25,3.0662,per_usd
1971-03-26,3.0662,per_usd
1971-03-29,3.0659,per_usd
1971-03-30,3.0669,per_usd
1971-03-31,3.0678,per_usd
1971-04-01,3.0694,per_usd
1971-04-02,3.0703,per_usd
1971-04-05,3.0703,per_usd
1971-04-06,3.0675,per_usd
1971-04-07,3.0687,per_usd
1971-04-08,3.0691,per_usd
1971-04-09,3.0691,per_usd
1971-04-12,3.0687,per_usd
1971-04-13,3.0691,per_usd
1971-04-14,3.0684,per_usd
1971-04-15,3.0659,per_usd
1971-04-16,3.0659,per_usd
1971-04-19,3.0653,per_usd
1971-04-20,3.0653,per_usd
1971-04-21,3.0653,per_usd
1971-04-22,3.0656,per_usd
1971-04-23,3.0656,per_usd
1971-04-26,3.0656,per_usd
1971-04-27,3.0653,per_usd
1971-04-28,3.0653,per_usd
1971-04-29,3.0653,per_usd
1971-04-30,3.0653,per_usd
1971-05-03,3.0653,per_usd
1971-05-04,3.0656,per_usd
1971-05-05,3.0656,per_usd
1971-05-06,3.067,per_usd
1971-05-07,3.064,per_usd
1971-05-10,3.0669,per_usd
1971-05-11,3.0672,per_usd
1971-05-12,3.0659,per_usd
1971-05-13,3.0675,per_usd
1971-05-14,3.0665,per_usd
1971-05-17,3.0615,per_usd
1971-05-18,3.0615,per_usd
1971-05-19,3.0615,per_usd
1971-05-20,3.0606,per_usd
1971-05-21,3.0597,per_usd
1971-05-24,3.0609,per_usd
1971-05-25,3.0618,per_usd
1971-05-26,3.0609,per_usd
1971-05-27,3.0609,per_usd
1971-05-28,3.06,per_usd
1971-06-01,3.0609,per_usd
1971-06-02,3.0609,per_usd
1971-06-03,3.0572,per_usd
1971-06-04,3.0586,per_usd
1971-06-07,3.0572,per_usd
1971-06-08,3.0548,per_usd
1971-06-09,3.0544,per_usd
1971-06-10,3.0562,per_usd
1971-06-11,3.0544,per_usd
1971-06-14,3.053,per_usd
1971-06-15,3.0553,per_usd
1971-06-16,3.0562,per_usd
1971-06-17,3.0548,per_usd
1971-06-18,3.0544,per_usd
1971-06-21,3.0553,per_usd
1971-06-22,3.0548,per_usd
1971-06-23,3.0581,per_usd
1971-06-24,3.0604,per_usd
1971-06-25,3.0558,per_usd
1971-06-28,3.0558,per_usd
1971-06-29,3.0548,per_usd
1971-06-30,3.0548,per_usd
1971-07-01,3.0548,per_usd
1971-07-02,3.0548,per_usd
1971-07-06,3.0553,per_usd
1971-07-07,3.0553,per_usd
1971-07-08,3.0553,per_usd
1971-07-09,3.0553,per_usd
1971-07-12,3.0553,per_usd
1971-07-13,3.0553,per_usd
1971-07-14,3.0553,per_usd
1971-07-15,3.0553,per_usd
1971-07-16,3.0553,per_usd
1971-07-19,3.0553,per_usd
1971-07-20,3.0531,per_usd
1971-07-21,3.0528,per_usd
1971-07-22,3.0548,per_usd
1971-07-23,3.0548,per_usd
1971-07-26,3.0553,per_usd
1971-07-27,3.0553,per_usd
1971-07-28,3.0553,per_usd
1971-07-29,3.0558,per_usd
1971-07-30,3.0553,per_usd
1971-08-02,3.0562,per_usd
1971-08-03,3.0567,per_usd
1971-08-04,3.0558,per_usd
1971-08-05,3.0562,per_usd
1971-08-06,3.0558,per_usd
1971-08-09,3.0531,per_usd
1971-08-10,3.0534,per_usd
1971-08-11,3.0531,per_usd
1971-08-12,3.0531,per_usd
1971-08-13,3.0531,per_usd
1971-09-03,3.0084,per_usd
1971-09-07,3.0084,per_usd
1971-09-08,3.0026,per_usd
1971-09-09,3.0071,per_usd
1971-09-10,3.0026,per_usd
1971-09-13,3.003,per_usd
1971-09-14,3.0075,per_usd
1971-09-15,3.0303,per_usd
1971-09-16,3.0157,per_usd
1971-09-17,2.9976,per_usd
1971-09-20,2.9963,per_usd
1971-09-21,2.9918,per_usd
1971-09-22,2.9963,per_usd
1971-09-23,2.9882,per_usd
1971-09-24,2.9869,per_usd
1971-09-27,2.9757,per_usd
1971-09-28,2.9744,per_usd
1971-09-29,2.9972,per_usd
1971-09-30,2.9766,per_usd
1971-10-01,2.974,per_usd
1971-10-04,2.9806,per_usd
1971-10-05,2.9855,per_usd
1971-10-06,2.9878,per_usd
1971-10-07,2.9828,per_usd
1971-10-08,2.9784,per_usd
1971-10-12,2.9855,per_usd
1971-10-13,2.9788,per_usd
1971-10-14,2.9784,per_usd
1971-10-15,2.9788,per_usd
1971-10-18,2.9784,per_usd
1971-10-19,2.9784,per_usd
1971-10-20,2.9757,per_usd
1971-10-21,2.9775,per_usd
1971-10-22,2.9766,per_usd
1971-10-26,2.9735,per_usd
1971-10-27,2.9757,per_usd
1971-10-28,2.9718,per_usd
1971-10-29,2.9753,per_usd
1971-11-01,2.9753,per_usd
1971-11-03,2.9744,per_usd
1971-11-04,2.9762,per_usd
1971-11-05,2.9757,per_usd
1971-11-08,2.9744,per_usd
1971-11-09,2.9766,per_usd
1971-11-10,2.9771,per_usd
1971-11-11,2.9744,per_usd
1971-11-12,2.9762,per_usd
1971-11-15,2.97,per_usd
1971-11-16,2.9762,per_usd
1971-11-17,2.9749,per_usd
1971-11-18,2.9727,per_usd
1971-11-19,2.9749,per_usd
1971-11-22,2.9749,per_usd
1971-11-23,2.9749,per_usd
1971-11-24,2.9749,per_usd
1971-11-26,2.9749,per_usd
1971-11-29,2.9637,per_usd
1971-11-30,2.9637,per_usd
1971-12-01,2.9637,per_usd
1971-12-02,2.9753,per_usd
1971-12-03,2.9722,per_usd
1971-12-06,2.9731,per_usd
1971-12-07,2.9678,per_usd
1971-12-08,2.9612,per_usd
1971-12-09,2.9503,per_usd
1971-12-10,2.9397,per_usd
1971-12-13,2.9412,per_usd
1971-12-14,2.9316,per_usd
1971-12-15,2.933,per_usd
1971-12-16,2.933,per_usd
1971-12-17,2.9264,per_usd
1971-12-22,2.8969,per_usd
1971-12-23,2.8885,per_usd
1971-12-24,2.8889,per_usd
1971-12-27,2.8885,per_usd
1971-12-28,2.9015,per_usd
1971-12-29,2.8955,per_usd
1971-12-30,2.899,per_usd
1971-12-31,2.8998,per_usd
1972-01-03,2.8902,per_usd
1972-01-04,2.886,per_usd
1972-01-05,2.8969,per_usd
1972-01-06,2.8985,per_usd
1972-01-07,2.8902,per_usd
1972-01-10,2.8944,per_usd
1972-01-11,2.8944,per_usd
1972-01-12,2.9002,per_usd
1972-01-13,2.8902,per_usd
1972-01-14,2.8818,per_usd
1972-01-17,2.8653,per_usd
1972-01-18,2.8694,per_usd
1972-01-19,2.8694,per_usd
1972-01-20,2.8736,per_usd
1972-01-21,2.8736,per_usd
1972-01-24,2.8694,per_usd
1972-01-25,2.8653,per_usd
1972-01-26,2.8736,per_usd
1972-01-27,2.8653,per_usd
1972-01-28,2.8571,per_usd
1972-01-31,2.8506,per_usd
1972-02-01,2.8506,per_usd
1972-02-02,2.8449,per_usd
1972-02-03,2.8449,per_usd
1972-02-04,2.8653,per_usd
1972-02-07,2.8474,per_usd
1972-02-08,2.8449,per_usd
1972-02-09,2.849,per_usd
1972-02-10,2.849,per_usd
1972-02-11,2.849,per_usd
1972-02-14,2.849,per_usd
1972-02-15,2.8449,per_usd
1972-02-16,2.849,per_usd
1972-02-17,2.849,per_usd
1972-02-18,2.849,per_usd
1972-02-22,2.8571,per_usd
1972-02-23,2.8571,per_usd
1972-02-24,2.8571,per_usd
1972-02-25,2.8571,per_usd
1972-02-28,2.8571,per_usd
1972-02-29,2.8409,per_usd
1972-03-01,2.8369,per_usd
1972-03-02,2.8369,per_usd
1972-03-03,2.8571,per_usd
1972-03-06,2.8369,per_usd
1972-03-07,2.8369,per_usd
1972-03-08,2.8369,per_usd
1972-03-09,2.8369,per_usd
1972-03-10,2.8169,per_usd
1972-03-13,2.7933,per_usd
1972-03-14,2.8011,per_usd
1972-03-15,2.8169,per_usd
1972-03-16,2.8169,per_usd
1972-03-17,2.8169,per_usd
1972-03-20,2.8249,per_usd
1972-03-21,2.8209,per_usd
1972-03-22,2.8169,per_usd
1972-03-23,2.8169,per_usd
1972-03-24,2.8289,per_usd
1972-03-27,2.8249,per_usd
1972-03-28,2.8169,per_usd
1972-03-29,2.8169,per_usd
1972-03-30,2.8249,per_usd
1972-03-31,2.8249,per_usd
1972-04-03,2.8249,per_usd
1972-04-04,2.8209,per_usd
1972-04-05,2.8217,per_usd
1972-04-06,2.8249,per_usd
