date,value,quote
1971-01-04,7.1359,per_usd
1971-01-05,7.1422,per_usd
1971-01-06,7.1367,per_usd
1971-01-07,7.1386,per_usd
1971-01-08,7.1382,per_usd
1971-01-11,7.139,per_usd
1971-01-12,7.1411,per_usd
1971-01-13,7.139,per_usd
1971-01-14,7.1403,per_usd
1971-01-15,7.1414,per_usd
1971-01-18,7.1406,per_usd
1971-01-19,7.1429,per_usd
1971-01-20,7.1429,per_usd
1971-01-21,7.1443,per_usd
1971-01-22,7.1429,per_usd
1971-01-25,7.1435,per_usd
1971-01-26,7.1443,per_usd
1971-01-27,7.1414,per_usd
1971-01-28,7.1431,per_usd
1971-01-29,7.1445,per_usd
1971-02-01,7.1465,per_usd
1971-02-02,7.1465,per_usd
1971-02-03,7.1439,per_usd
1971-02-04,7.1431,per_usd
1971-02-05,7.1435,per_usd
1971-02-08,7.1429,per_usd
1971-02-09,7.1397,per_usd
1971-02-10,7.1412,per_usd
1971-02-11,7.141,per_usd
1971-02-16,7.1406,per_usd
1971-02-17,7.139,per_usd
1971-02-18,7.1418,per_usd
1971-02-19,7.1437,per_usd
1971-02-22,7.1434,per_usd
1971-02-23,7.1429,per_usd
1971-02-24,7.1418,per_usd
1971-02-25,7.1414,per_usd
1971-02-26,7.142,per_usd
1971-03-01,7.1416,per_usd
1971-03-02,7.1413,per_usd
1971-03-03,7.1376,per_usd
1971-03-04,7.1389,per_usd
1971-03-05,7.1382,per_usd
1971-03-08,7.1365,per_usd
1971-03-09,7.1352,per_usd
1971-03-10,7.1352,per_usd
1971-03-11,7.1367,per_usd
1971-03-12,7.1363,per_usd
1971-03-15,7.138,per_usd
1971-03-16,7.138,per_usd
1971-03-17,7.139,per_usd
1971-03-18,7.139,per_usd
1971-03-19,7.1387,per_usd
1971-03-22,7.1412,per_usd
1971-03-23,7.1414,per_usd
1971-03-24,7.139,per_usd
1971-03-25,7.1388,per_usd
1971-03-26,7.1365,per_usd
1971-03-29,7.1348,per_usd
1971-03-30,7.1327,per_usd
1971-03-31,7.1314,per_usd
1971-04-01,7.1325,per_usd
1971-04-02,7.1329,per_usd
1971-04-05,7.1329,per_usd
1971-04-06,7.1291,per_usd
1971-04-07,7.1289,per_usd
1971-04-08,7.1284,per_usd
1971-04-09,7.1278,per_usd
1971-04-12,7.1289,per_usd
1971-04-13,7.1304,per_usd
1971-04-14,7.1286,per_usd
1971-04-15,7.1276,per_usd
1971-04-16,7.1273,per_usd
1971-04-19,7.1259,per_usd
1971-04-20,7.1253,per_usd
1971-04-21,7.1236,per_usd
1971-04-22,7.1268,per_usd
1971-04-23,7.1289,per_usd
1971-04-26,7.1289,per_usd
1971-04-27,7.1301,per_usd
1971-04-28,7.1263,per_usd
1971-04-29,7.1291,per_usd
1971-04-30,7.1312,per_usd
1971-05-03,7.1309,per_usd
1971-05-04,7.1308,per_usd
1971-05-05,7.1279,per_usd
1971-05-06,7.124,per_usd
1971-05-07,7.1247,per_usd
1971-05-10,7.1103,per_usd
1971-05-11,7.1138,per_usd
1971-05-12,7.1162,per_usd
1971-05-13,7.1133,per_usd
1971-05-14,7.1111,per_usd
1971-05-17,7.1116,per_usd
1971-05-18,7.108,per_usd
1971-05-19,7.1076,per_usd
1971-05-20,7.1086,per_usd
1971-05-21,7.1086,per_usd
1971-05-24,7.1066,per_usd
1971-05-25,7.1086,per_usd
1971-05-26,7.1083,per_usd
1971-05-27,7.1084,per_usd
1971-05-28,7.1115,per_usd
1971-06-01,7.1136,per_usd
1971-06-02,7.1132,per_usd
1971-06-03,7.1136,per_usd
1971-06-04,7.1143,per_usd
1971-06-07,7.1126,per_usd
1971-06-08,7.113,per_usd
1971-06-09,7.1111,per_usd
1971-06-10,7.1111,per_usd
1971-06-11,7.1111,per_usd
1971-06-14,7.1114,per_usd
1971-06-15,7.1136,per_usd
1971-06-16,7.1124,per_usd
1971-06-17,7.1128,per_usd
1971-06-18,7.1134,per_usd
1971-06-21,7.1114,per_usd
1971-06-22,7.1115,per_usd
1971-06-23,7.1088,per_usd
1971-06-24,7.1092,per_usd
1971-06-25,7.1084,per_usd
1971-06-28,7.1071,per_usd
1971-06-29,7.1066,per_usd
1971-06-30,7.1048,per_usd
1971-07-01,7.1065,per_usd
1971-07-02,7.1066,per_usd
1971-07-06,7.1086,per_usd
1971-07-07,7.1061,per_usd
1971-07-08,7.1063,per_usd
1971-07-09,7.1061,per_usd
1971-07-12,7.1061,per_usd
1971-07-13,7.1048,per_usd
1971-07-14,7.1023,per_usd
1971-07-15,7.1021,per_usd
1971-07-16,7.1035,per_usd
1971-07-19,7.1034,per_usd
1971-07-20,7.1048,per_usd
1971-07-21,7.1035,per_usd
1971-07-22,7.104,per_usd
1971-07-23,7.1061,per_usd
1971-07-26,7.1086,per_usd
1971-07-27,7.1105,per_usd
1971-07-28,7.1084,per_usd
1971-07-29,7.108,per_usd
1971-07-30,7.1066,per_usd
1971-08-02,7.1068,per_usd
1971-08-03,7.1076,per_usd
1971-08-04,7.1059,per_usd
1971-08-05,7.1035,per_usd
1971-08-06,7.1035,per_usd
1971-08-09,7.1017,per_usd
1971-08-10,7.0972,per_usd
1971-08-11,7.095,per_usd
1971-08-12,7.0947,per_usd
1971-08-13,7.0937,per_usd
1971-08-23,6.9727,per_usd
1971-08-24,6.9234,per_usd
1971-08-25,6.8999,per_usd
1971-08-26,6.8776,per_usd
1971-08-27,6.8861,per_usd
1971-08-30,6.8884,per_usd
1971-08-31,6.9143,per_usd
1971-09-01,6.9216,per_usd
1971-09-02,6.921,per_usd
1971-09-03,6.9144,per_usd
1971-09-07,6.938,per_usd
1971-09-08,6.9292,per_usd
1971-09-09,6.9292,per_usd
1971-09-10,6.9264,per_usd
1971-09-13,6.923,per_usd
1971-09-14,6.9204,per_usd
1971-09-15,6.9125,per_usd
1971-09-16,6.9091,per_usd
1971-09-17,6.8975,per_usd
1971-09-20,6.8764,per_usd
1971-09-21,6.8766,per_usd
1971-09-22,6.8806,per_usd
1971-09-23,6.8816,per_usd
1971-09-24,6.8501,per_usd
1971-09-27,6.8579,per_usd
1971-09-28,6.8819,per_usd
1971-09-29,6.8697,per_usd
1971-09-30,6.8672,per_usd
1971-10-01,6.8611,per_usd
1971-10-04,6.8521,per_usd
1971-10-05,6.8493,per_usd
1971-10-06,6.8479,per_usd
1971-10-07,6.846,per_usd
1971-10-08,6.8438,per_usd
1971-10-12,6.8416,per_usd
1971-10-13,6.8411,per_usd
1971-10-14,6.8443,per_usd
1971-10-15,6.848,per_usd
1971-10-18,6.8481,per_usd
1971-10-19,6.8526,per_usd
1971-10-20,6.8515,per_usd
1971-10-21,6.8528,per_usd
1971-10-22,6.8533,per_usd
1971-10-26,6.8528,per_usd
