date,value,quote
1981-01-02,2.093,per_usd
1981-01-05,2.081,per_usd
1981-01-06,2.08,per_usd
1981-01-07,2.08,per_usd
1981-01-08,2.0815,per_usd
1981-01-09,2.0865,per_usd
1981-01-12,2.0835,per_usd
1981-01-13,2.0945,per_usd
1981-01-14,2.0875,per_usd
1981-01-15,2.085,per_usd
1981-01-16,2.079,per_usd
1981-01-19,2.0765,per_usd
1981-01-20,2.072,per_usd
1981-01-21,2.0675,per_usd
1981-01-22,2.079,per_usd
1981-01-23,2.082,per_usd
1981-01-26,2.083,per_usd
1981-01-27,2.079,per_usd
1981-01-28,2.0725,per_usd
1981-01-29,2.074,per_usd
1981-01-30,2.088,per_usd
1981-02-02,2.08,per_usd
1981-02-03,2.08,per_usd
1981-02-04,2.07,per_usd
1981-02-05,2.073,per_usd
1981-02-06,2.077,per_usd
1981-02-09,2.074,per_usd
1981-02-10,2.081,per_usd
1981-02-11,2.0765,per_usd
1981-02-13,2.095,per_usd
1981-02-17,2.0965,per_usd
1981-02-18,2.097,per_usd
1981-02-19,2.093,per_usd
1981-02-20,2.085,per_usd
1981-02-23,2.092,per_usd
1981-02-24,2.097,per_usd
1981-02-25,2.0985,per_usd
1981-02-26,2.096,per_usd
1981-02-27,2.103,per_usd
1981-03-02,2.108,per_usd
1981-03-03,2.11,per_usd
1981-03-04,2.1065,per_usd
1981-03-05,2.1105,per_usd
1981-03-06,2.109,per_usd
1981-03-09,2.104,per_usd
1981-03-10,2.1015,per_usd
1981-03-11,2.1,per_usd
1981-03-12,2.1115,per_usd
1981-03-13,2.106,per_usd
1981-03-16,2.101,per_usd
1981-03-17,2.1,per_usd
1981-03-18,2.081,per_usd
1981-03-19,2.085,per_usd
1981-03-20,2.088,per_usd
1981-03-23,2.0995,per_usd
1981-03-24,2.097,per_usd
1981-03-25,2.091,per_usd
1981-03-26,2.0945,per_usd
1981-03-27,2.091,per_usd
1981-03-30,2.0865,per_usd
1981-03-31,2.091,per_usd
1981-04-01,2.09,per_usd
1981-04-02,2.093,per_usd
1981-04-03,2.096,per_usd
1981-04-06,2.099,per_usd
1981-04-07,2.104,per_usd
1981-04-08,2.102,per_usd
1981-04-09,2.1005,per_usd
1981-04-10,2.103,per_usd
1981-04-13,2.1105,per_usd
1981-04-14,2.1145,per_usd
1981-04-15,2.115,per_usd
1981-04-16,2.113,per_usd
1981-04-17,2.118,per_usd
1981-04-20,2.12,per_usd
1981-04-21,2.124,per_usd
1981-04-22,2.121,per_usd
1981-04-23,2.12,per_usd
1981-04-24,2.12,per_usd
1981-04-27,2.112,per_usd
1981-04-28,2.114,per_usd
1981-04-29,2.121,per_usd
1981-04-30,2.12,per_usd
1981-05-01,2.124,per_usd
1981-05-04,2.131,per_usd
1981-05-05,2.1405,per_usd
1981-05-06,2.138,per_usd
1981-05-07,2.146,per_usd
1981-05-08,2.132,per_usd
1981-05-11,2.1435,per_usd
1981-05-12,2.154,per_usd
1981-05-13,2.1545,per_usd
1981-05-14,2.16,per_usd
1981-05-15,2.157,per_usd
1981-05-18,2.1535,per_usd
1981-05-19,2.155,per_usd
1981-05-20,2.146,per_usd
1981-05-21,2.1525,per_usd
1981-05-22,2.156,per_usd
1981-05-26,2.162,per_usd
1981-05-27,2.162,per_usd
1981-05-28,2.158,per_usd
1981-05-29,2.156,per_usd
1981-06-01,2.154,per_usd
1981-06-02,2.156,per_usd
1981-06-03,2.156,per_usd
1981-06-04,2.17,per_usd
1981-06-05,2.17,per_usd
1981-06-08,2.163,per_usd
1981-06-09,2.165,per_usd
1981-06-10,2.154,per_usd
1981-06-11,2.158,per_usd
1981-06-12,2.1525,per_usd
1981-06-15,2.128,per_usd
1981-06-16,2.126,per_usd
1981-06-17,2.131,per_usd
1981-06-18,2.132,per_usd
1981-06-19,2.131,per_usd
1981-06-22,2.1325,per_usd
1981-06-23,2.13,per_usd
1981-06-24,2.126,per_usd
1981-06-25,2.133,per_usd
1981-06-26,2.1325,per_usd
1981-06-29,2.134,per_usd
1981-06-30,2.132,per_usd
1981-07-01,2.138,per_usd
1981-07-02,2.155,per_usd
1981-07-03,2.152,per_usd
1981-07-06,2.161,per_usd
1981-07-07,2.1585,per_usd
1981-07-08,2.165,per_usd
1981-07-09,2.163,per_usd
1981-07-10,2.151,per_usd
1981-07-13,2.1555,per_usd
1981-07-14,2.162,per_usd
1981-07-15,2.152,per_usd
1981-07-16,2.155,per_usd
1981-07-17,2.1575,per_usd
1981-07-20,2.1585,per_usd
1981-07-21,2.1655,per_usd
1981-07-22,2.162,per_usd
1981-07-23,2.1625,per_usd
1981-07-24,2.1555,per_usd
1981-07-27,2.16,per_usd
1981-07-28,2.158,per_usd
1981-07-29,2.161,per_usd
1981-07-30,2.164,per_usd
1981-07-31,2.16,per_usd
1981-08-03,2.188,per_usd
1981-08-04,2.182,per_usd
1981-08-05,2.168,per_usd
1981-08-06,2.1745,per_usd
1981-08-07,2.173,per_usd
1981-08-10,2.184,per_usd
1981-08-11,2.175,per_usd
1981-08-12,2.152,per_usd
1981-08-13,2.1725,per_usd
1981-08-14,2.174,per_usd
1981-08-17,2.173,per_usd
1981-08-18,2.174,per_usd
1981-08-19,2.178,per_usd
1981-08-20,2.165,per_usd
1981-08-21,2.163,per_usd
1981-08-24,2.167,per_usd
1981-08-25,2.17,per_usd
1981-08-26,2.16,per_usd
1981-08-27,2.1585,per_usd
1981-08-28,2.1545,per_usd
1981-08-31,2.161,per_usd
1981-09-01,2.162,per_usd
1981-09-02,2.159,per_usd
1981-09-03,2.166,per_usd
