date,value,quote
1983-10-03,39.42,per_usd
1983-10-04,39.42,per_usd
1983-10-05,39.42,per_usd
1983-10-06,39.42,per_usd
1983-10-07,39.42,per_usd
1983-10-11,39.42,per_usd
1983-10-12,39.42,per_usd
1983-10-13,39.42,per_usd
1983-10-14,39.42,per_usd
1983-10-17,39.42,per_usd
1983-10-18,39.42,per_usd
1983-10-19,39.42,per_usd
1983-10-20,39.42,per_usd
1983-10-21,39.42,per_usd
1983-10-24,39.42,per_usd
1983-10-25,39.42,per_usd
1983-10-26,39.42,per_usd
1983-10-27,39.42,per_usd
1983-10-28,39.42,per_usd
1983-10-31,39.42,per_usd
1983-11-01,39.42,per_usd
1983-11-02,39.42,per_usd
1983-11-03,39.42,per_usd
1983-11-04,38.66,per_usd
1983-11-07,38.66,per_usd
1983-11-09,38.66,per_usd
1983-11-10,38.66,per_usd
1983-11-14,38.66,per_usd
1983-11-15,38.66,per_usd
1983-11-16,38.66,per_usd
1983-11-17,38.66,per_usd
1983-11-18,38.66,per_usd
1983-11-21,38.66,per_usd
1983-11-22,38.66,per_usd
1983-11-23,38.66,per_usd
1983-11-25,38.66,per_usd
1983-11-28,38.66,per_usd
1983-11-29,38.66,per_usd
1983-11-30,38.66,per_usd
1983-12-01,38.66,per_usd
1983-12-02,38.66,per_usd
1983-12-05,38.66,per_usd
1983-12-06,38.66,per_usd
1983-12-07,38.66,per_usd
1983-12-08,38.66,per_usd
1983-12-09,38.66,per_usd
1983-12-12,38.66,per_usd
1983-12-13,40.2,per_usd
1983-12-14,40.2,per_usd
1983-12-15,40.2,per_usd
1983-12-16,40.2,per_usd
1983-12-19,40.2,per_usd
1983-12-20,40.2,per_usd
1983-12-21,40.2,per_usd
1983-12-22,40.2,per_usd
1983-12-23,40.2,per_usd
1983-12-27,40.2,per_usd
1983-12-28,40.2,per_usd
1983-12-29,40.2,per_usd
1983-12-30,40.2,per_usd
1984-01-03,40.2,per_usd
1984-01-04,40.2,per_usd
1984-01-05,40.2,per_usd
1984-01-06,40.2,per_usd
1984-01-09,40.2,per_usd
1984-01-10,40.2,per_usd
1984-01-11,40.2,per_usd
1984-01-12,40.2,per_usd
1984-01-13,40.2,per_usd
1984-01-16,40.2,per_usd
1984-01-17,40.2,per_usd
1984-01-18,40.2,per_usd
1984-01-19,40.2,per_usd
1984-01-20,40.2,per_usd
1984-01-27,40.23,per_usd
1984-01-30,40.23,per_usd
1984-01-31,40.23,per_usd
1984-02-06,40.23,per_usd
1984-02-07,40.23,per_usd
1984-02-08,40.23,per_usd
1984-02-09,40.23,per_usd
1984-02-10,40.23,per_usd
1984-02-14,40.23,per_usd
1984-02-15,40.23,per_usd
1984-02-16,40.23,per_usd
1984-02-17,40.23,per_usd
1984-02-21,40.23,per_usd
1984-02-22,40.24,per_usd
1984-02-23,40.25,per_usd
1984-02-24,40.26,per_usd
1984-02-27,40.25,per_usd
1984-02-28,40.26,per_usd
1984-02-29,40.22,per_usd
1984-03-01,40.2,per_usd
1984-03-02,40.19,per_usd
1984-03-05,40.18,per_usd
1984-03-06,40.18,per_usd
1984-03-07,40.17,per_usd
1984-03-08,40.15,per_usd
1984-03-09,40.14,per_usd
1984-03-12,40.11,per_usd
1984-03-13,40.1,per_usd
1984-03-15,40.07,per_usd
1984-03-16,40.05,per_usd
1984-03-19,40.04,per_usd
1984-03-20,40.04,per_usd
1984-03-21,40.02,per_usd
1984-03-22,40,per_usd
1984-03-23,39.98,per_usd
1984-03-26,39.96,per_usd
1984-03-27,40,per_usd
1984-03-28,40,per_usd
1984-03-30,39.99,per_usd
1984-04-02,39.95,per_usd
1984-04-03,39.93,per_usd
1984-04-05,39.92,per_usd
1984-04-06,39.9,per_usd
1984-04-10,39.84,per_usd
1984-04-13,39.81,per_usd
1984-04-16,39.78,per_usd
1984-04-17,39.76,per_usd
1984-04-18,39.75,per_usd
1984-04-19,39.74,per_usd
1984-04-20,39.73,per_usd
1984-04-24,39.7,per_usd
1984-04-25,39.69,per_usd
1984-04-26,39.68,per_usd
1984-04-27,39.68,per_usd
1984-04-30,39.68,per_usd
1984-05-02,39.67,per_usd
1984-05-03,39.66,per_usd
1984-05-04,39.65,per_usd
1984-05-07,39.64,per_usd
1984-05-08,39.63,per_usd
1984-05-09,39.63,per_usd
1984-05-10,39.63,per_usd
1984-05-11,39.63,per_usd
1984-05-14,39.64,per_usd
1984-05-15,39.64,per_usd
1984-05-16,39.64,per_usd
1984-05-17,39.65,per_usd
1984-05-18,39.68,per_usd
1984-05-21,39.75,per_usd
1984-05-22,39.76,per_usd
1984-05-23,39.77,per_usd
1984-05-24,39.79,per_usd
1984-05-25,39.82,per_usd
1984-05-29,39.89,per_usd
1984-05-30,39.92,per_usd
1984-05-31,39.94,per_usd
1984-06-01,39.96,per_usd
1984-06-04,39.997,per_usd
1984-06-05,39.97,per_usd
1984-06-06,39.97,per_usd
1984-06-07,39.95,per_usd
1984-06-08,39.91,per_usd
1984-06-11,39.86,per_usd
1984-06-12,39.83,per_usd
1984-06-13,39.79,per_usd
1984-06-14,39.74,per_usd
1984-06-15,39.76,per_usd
1984-06-18,39.81,per_usd
1984-06-19,39.85,per_usd
1984-06-20,39.85,per_usd
1984-06-21,39.84,per_usd
1984-06-22,39.83,per_usd
1984-06-25,39.8,per_usd
1984-06-26,39.78,per_usd
1984-06-27,39.76,per_usd
1984-06-28,39.74,per_usd
1984-06-29,39.71,per_usd
1984-07-02,39.68,per_usd
1984-07-03,39.66,per_usd
1984-07-05,39.62,per_usd
1984-07-06,39.6,per_usd
1984-07-09,39.56,per_usd
1984-07-10,39.54,per_usd
1984-07-11,39.43,per_usd
1984-07-12,39.51,per_usd
1984-07-16,39.51,per_usd
1984-07-17,39.52,per_usd
1984-07-18,39.52,per_usd
1984-07-19,39.49,per_usd
1984-07-20,39.47,per_usd
1984-07-24,39.41,per_usd
1984-07-25,39.38,per_usd
1984-07-26,39.35,per_usd
1984-07-27,39.32,per_usd
1984-07-30,39.26,per_usd
1984-07-31,39.23,per_usd
1984-08-01,39.2,per_usd
1984-08-02,39.17,per_usd
1984-08-06,39.11,per_usd
1984-08-07,39.08,per_usd
1984-08-08,39.08,per_usd
1984-08-09,39.09,per_usd
1984-08-10,39.08,per_usd
1984-08-14,39.08,per_usd
1984-08-15,39.08,per_usd
1984-08-16,39.08,per_usd
1984-08-17,39.08,per_usd
1984-08-20,39.08,per_usd
1984-08-21,39.08,per_usd
1984-08-22,39.08,per_usd
1984-08-23,39.08,per_usd
1984-08-24,39.08,per_usd
1984-08-27,39.08,per_usd
1984-08-28,39.08,per_usd
1984-08-29,39.08,per_usd
1984-08-30,39.08,per_usd
1984-08-31,39.08,per_usd
1984-09-04,39.08,per_usd
1984-09-05,39.08,per_usd
1984-09-06,39.08,per_usd
1984-09-11,39.08,per_usd
1984-09-12,39.09,per_usd
1984-09-13,39.11,per_usd
1984-09-14,39.12,per_usd
1984-09-17,39.14,per_usd
1984-09-18,39.15,per_usd
1984-09-19,39.17,per_usd
1984-09-20,39.19,per_usd
1984-09-21,39.21,per_usd
1984-09-24,39.25,per_usd
