date,value,quote
1980-01-02,0.8271,per_usd
1980-01-03,0.8271,per_usd
1980-01-04,0.8268,per_usd
1980-01-07,0.8268,per_usd
1980-01-08,0.8268,per_usd
1980-01-09,0.8268,per_usd
1980-01-10,0.8234,per_usd
1980-01-11,0.8222,per_usd
1980-01-14,0.8313,per_usd
1980-01-15,0.8206,per_usd
1980-01-16,0.8244,per_usd
1980-01-17,0.8244,per_usd
1980-01-18,0.8187,per_usd
1980-01-21,0.8184,per_usd
1980-01-22,0.8183,per_usd
1980-01-23,0.8183,per_usd
1980-01-24,0.8177,per_usd
1980-01-25,0.8176,per_usd
1980-01-28,0.8173,per_usd
1980-01-29,0.8177,per_usd
1980-01-30,0.8177,per_usd
1980-01-31,0.8172,per_usd
1980-02-01,0.8183,per_usd
1980-02-04,0.8185,per_usd
1980-02-05,0.8185,per_usd
1980-02-06,0.8192,per_usd
1980-02-07,0.8179,per_usd
1980-02-08,0.8174,per_usd
1980-02-11,0.8175,per_usd
1980-02-13,0.8149,per_usd
1980-02-14,0.8145,per_usd
1980-02-15,0.8143,per_usd
1980-02-19,0.812,per_usd
1980-02-20,0.8123,per_usd
1980-02-21,0.8108,per_usd
1980-02-22,0.8104,per_usd
1980-02-25,0.8097,per_usd
1980-02-26,0.8091,per_usd
1980-02-27,0.8091,per_usd
1980-02-28,0.8078,per_usd
1980-02-29,0.8079,per_usd
1980-03-03,0.807,per_usd
1980-03-04,0.8074,per_usd
1980-03-05,0.8074,per_usd
1980-03-06,0.8075,per_usd
1980-03-07,0.8087,per_usd
1980-03-10,0.8091,per_usd
1980-03-11,0.8087,per_usd
1980-03-12,0.8081,per_usd
1980-03-13,0.808,per_usd
1980-03-14,0.8104,per_usd
1980-03-17,0.8106,per_usd
1980-03-18,0.8106,per_usd
1980-03-19,0.81,per_usd
1980-03-20,0.8091,per_usd
1980-03-21,0.8097,per_usd
1980-03-24,0.8097,per_usd
1980-03-25,0.8099,per_usd
1980-03-26,0.8092,per_usd
1980-03-27,0.81,per_usd
1980-03-28,0.81,per_usd
1980-03-31,0.8102,per_usd
1980-04-01,0.8102,per_usd
1980-04-02,0.81,per_usd
1980-04-03,0.81,per_usd
1980-04-04,0.8097,per_usd
1980-04-07,0.8097,per_usd
1980-04-08,0.8102,per_usd
1980-04-09,0.8091,per_usd
1980-04-10,0.8085,per_usd
1980-04-11,0.8091,per_usd
1980-04-14,0.8074,per_usd
1980-04-15,0.8074,per_usd
1980-04-16,0.8076,per_usd
1980-04-17,0.8069,per_usd
1980-04-18,0.8074,per_usd
1980-04-21,0.807,per_usd
1980-04-22,0.8065,per_usd
1980-04-23,0.8058,per_usd
1980-04-24,0.8042,per_usd
1980-04-25,0.8039,per_usd
1980-04-28,0.8074,per_usd
1980-04-29,0.8006,per_usd
1980-04-30,0.7999,per_usd
1980-05-01,0.8001,per_usd
1980-05-02,0.7997,per_usd
1980-05-05,0.7997,per_usd
1980-05-06,0.7968,per_usd
1980-05-07,0.7937,per_usd
1980-05-08,0.7928,per_usd
1980-05-09,0.7932,per_usd
1980-05-12,0.7932,per_usd
1980-05-13,0.7916,per_usd
1980-05-14,0.7911,per_usd
1980-05-15,0.7906,per_usd
1980-05-16,0.7904,per_usd
1980-05-19,0.791,per_usd
1980-05-20,0.7904,per_usd
1980-05-21,0.7877,per_usd
1980-05-22,0.7868,per_usd
1980-05-23,0.7844,per_usd
1980-05-27,0.7837,per_usd
1980-05-28,0.7874,per_usd
1980-05-29,0.7828,per_usd
1980-05-30,0.7835,per_usd
1980-06-02,0.7806,per_usd
1980-06-03,0.7803,per_usd
1980-06-04,0.7797,per_usd
1980-06-05,0.7797,per_usd
1980-06-06,0.7791,per_usd
