fy,month,values
2019-20,Apr,"[108, 2658, 1, 500, 109, 3158, 4.7, 1.31, None, 1011, 615, 0, 1, 0, 11, 0, 0, 603, 20, 0, 0, 0, 0, 0, 2, 1250, 1210, 0, 40, 1, 0]"
2019-20,May,"[117, 2895, 5, 653, 122, 3548, 5.4, 1.35, None, 1030, 659, 0, 154, 0, 0, 0, 4, 501, 50, 0, 0, 0, 0, 0, 0, 1737, 301, 11, 1425, 0, 0]"
2019-20,Jun,"[104, 3499, 5, 1900, 109, 5399, 4.8, 1.59, None, 526, 1005, 0, 606, 0, 0, 0, 300, 98, 250, 0, 0, 0, 0, 0, 0, 3562, 1530, 0, 2032, 0, 0]"
2019-20,Jul,"[90, 3418, 3, 1563, 93, 4981, 5.7, 1.38, None, 1628, 2000, 0, 94, 7, 0, 0, 500, 1400, 21, 4, 4, 0, 0, 0, 0, 1318, 701, 22, 595, 0, 0]"
2019-20,Aug,"[115, 3167, 1, 150, 116, 3317, 5.2, 1.43, None, 1302, 645, 0, 300, 0, 0, 0, 330, 15, 85, 0, 0, 0, 0, 0, 0, 1239, 240, 11, 988, 0, 0]"
2019-20,Sep,"[118, 4139, 1, 750, 119, 4889, 6.1, 1.17, None, 1053, 840, 0, 90, 0, 3, 0, 0, 748, 88, 79, 14, 0, 65, 0, 0, 2769, 1500, 106, 1164, 0, 14]"
2019-20,Oct,"[100, 2877, 2, 538, 102, 3415, 5.3, 1.46, None, 1237, 1018, 0, 518, 0, 0, 0, 0, 500, 158, 0, 0, 0, 0, 0, 3, 979, 138, 5, 836, 0, 0]"
2019-20,Nov,"[122, 2116, 0, 0, 122, 2116, 7.1, 2.03, None, 1072, 809, 0, 508, 1, 0, 0, 300, 0, 59, 51, 32, 0, 19, 0, 0, 116, 38, 17, 62, 0, 1]"
2019-20,Dec,"[109, 1257, 4, 840, 113, 2097, 4.7, 1.41, None, 344, 284, 0, 2, 20, 0, 0, 0, 263, 42, 0, 0, 0, 0, 0, 0, 1406, 1065, 26, 314, 1, 0]"
2019-20,Jan,"[110, 5869, 4, 2532, 114, 8401, 7.1, 1.24, None, 1650, 3375, 68, 2290, 0, 1000, 11, 0, 7, 595, 1111, 0, 0, 1111, 0, 0, 1627, 1325, 2, 300, 0, 0]"
2019-20,Feb,"[84, 1159, 7, 3017, 91, 4175, 8.66, 2.01, None, 299, 2027, 240, 1412, 0, 0, 0, 225, 150, 101, 0, 0, 0, 0, 0, 0, 1714, 1063, 21, 630, 0, 0]"
2019-20,Mar,"[115, 4959, 8, 2478, 123, 7437, 5.58, 1.07, None, 3377, 1859, 0, 340, 9, 0, 0, 1508, 1, 357, 0, 0, 0, 0, 0, 0, 1782, 1348, 6, 428, 0, 0]"
2020-21,Apr,"[50, 696, 1, 300, 51, 996, 7, 1.7, None, 164, 278, 179, 0, 0, 0, 0, 0, 99, 90, 2, 2, 0, 0, 0, 0, 447, 439, 0, 8, 0, 8]"
2020-21,May,"[79, 991, 1, 500, 80, 1491, 4.16, 1.61, None, 515, 178, 0, 42, 95, 0, 0, 0, 40, 56, 0, 0, 0, 0, 0, 0, 741, 639, 0, 102, 0, 0]"
2020-21,Jun,"[105, 852, 1, 170, 106, 1022, 5.11, 2.44, None, 421, 2, 0, 0, 0, 0, 0, 0, 2, 158, 3, 3, 0, 0, 0, 0, 424, 296, 11, 117, 0, 0]"
2020-21,Jul,"[96, 848, 2, 1300, 98, 2148, 8.03, 2.4, None, 526, 1472, 43, 15, 0, 0, 0, 150, 1264, 74, 2, 2, 0, 0, 0, 0, 66, 50, 1, 15, 0, 0]"
2020-21,Aug,"[97, 1715, 1, 36, 98, 1751, 4.92, 1.86, None, 762, 761, 41, 509, 0, 6, 160, 23, 22, 94, 10, 10, 0, 0, 0, 0, 120, 12, 6, 102, 0, 0]"
2020-21,Sep,"[99, 5223, 0, 0, 99, 5223, 3.32, 1.66, None, 4964, 178, 7, 115, 56, 0, 0, 0, 0, 13, 0, 0, 0, 0, 0, 0, 56, 0, 24, 32, 0, 0]"
2020-21,Oct,"[76, 1733, 1, 300, 77, 2033, 3.62, 1.25, None, 1372, 144, 0, 92, 0, 0, 0, 0, 52, 70, 4, 4, 0, 0, 0, 0, 433, 300, 0, 133, 0, 0]"
2020-21,Nov,"[87, 2045, 0, 0, 87, 2045, 5.48, 1.87, None, 466, 900, 0, 194, 0, 0, 1, 706, 0, 583, 5, 5, 0, 0, 0, 0, 45, 27, 18, 0, 0, 0]"
2020-21,Dec,"[95, 2994, 0, 0, 95, 2994, 4.59, 1.65, None, 1868, 916, 338, 219, 0, 1, 0, 17, 342, 122, 0, 0, 0, 0, 0, 0, 80, 10, 15, 55, 0, 0]"
2020-21,Jan,"[95, 3744, 0, 0, 95, 3744, 7.5, 2.74, None, 468, 872, 0, 71, 0, 0, 0, 0, 801, 109, 1000, 0, 0, 1000, 0, 0, 1252, 1250, 0, 2, 0, 0]"
2020-21,Feb,"[78, 2077, 1, 500, 79, 2577, 8.74, 2.61, None, 592, 332, 0, 31, 0, 0, 0, 300, 1, 192, 0, 0, 0, 0, 0, 0, 1461, 1250, 1, 210, 0, 0]"
2020-21,Mar,"[106, 3883, 5, 5350, 111, 9233, 7.35, 2.19, None, 710, 3952, 27, 1425, 0, 750, 0, 1750, 0, 333, 0, 0, 0, 0, 0, 2110, 1809, 1750, 9, 50, 0, 0]"
2021-22,Apr,"[111, 2723, 0, 0, 111, 2723, 6.25, 2.1, None, 647, 2004, 34, 1945, 0, 0, 0, 0, 24, 21, 0, 0, 0, 0, 0, 0, 27, 0, 27, 0, 0, 0]"
2021-22,May,"[60, 738, 0, 0, 60, 738, 6.41, 1.86, None, 141, 355, 110, 145, 0, 0, 0, 100, 0, 231, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
2021-22,Jun,"[87, 1485, 0, 0, 87, 1485, 5.12, 1.75, None, 391, 802, 0, 293, 0, 0, 0, 510, 0, 132, 0, 0, 0, 0, 0, 0, 119, 91, 0, 29, 0, 0]"
2021-22,Jul,"[80, 3034, 1, 400, 81, 3434, 9.23, 2.44, None, 1001, 1699, 0, 442, 1, 0, 0, 500, 756, 32, 0, 0, 0, 0, 0, 0, 679, 414, 15, 250, 0, 0]"
2021-22,Aug,"[90, 2247, 1, 600, 91, 2847, 5.68, 1.29, None, 731, 956, 0, 3, 2, 500, 0, 450, 1, 36, 0, 0, 0, 0, 0, 0, 1081, 600, 0, 481, 0, 0]"
2021-22,Sep,"[86, 2595, 4, 1428, 90, 4023, 7.8, 2.91, None, 1305, 1294, 0, 1291, 2, 2, 0, 0, 0, 547, 0, 0, 0, 0, 100, 0, 767, 75, 6, 686, 0, 0]"
2021-22,Oct,"[76, 1339, 0, 0, 76, 1339, 5.04, 1.14, None, 231, 1065, 0, 166, 0, 0, 0, 850, 48, 16, 0, 0, 0, 0, 0, 0, 5, 0, 0, 5, 0, 0]"
2021-22,Nov,"[90, 1694, 3, 705, 93, 2399, 4.37, 2.79, None, 401, 1110, 0, 1106, 0, 1, 0, 0, 3, 48, 100, 0, 0, 100, 0, 4, 724, 550, 1, 173, 0, 0]"
2021-22,Dec,"[139, 4374, 1, 1175, 140, 5549, 5.3, 1.01, None, 442, 2584, 109, 959, 0, 5, 0, 1100, 411, 291, 500, 0, 0, 500, 0, 0, 1690, 1275, 17, 398, 0, 0]"
2021-22,Jan,"[81, 3879, 4, 4100, 85, 7979, 15.18, 1.81, None, 5783, 843, 0, 708, 5, 0, 0, 130, 0, 34, 0, 0, 0, 0, 0, 0, 1315, 1225, 0, 90, 0, 0]"
2021-22,Feb,"[71, 805, 2, 1523, 73, 2328, 6.3, 1.4, None, 491, 1324, 1308, 7, 0, 0, 0, 0, 9, 129, 0, 0, 0, 0, 0, 0, 372, 273, 0, 99, 0, 0]"
2021-22,Mar,"[115, 3938, 2, 1104, 117, 5042, 5.9, 1.23, None, 680, 2987, 36, 1150, 0, 750, 0, 1051, 0, 53, 9, 9, 0, 0, 0, 0, 1216, 1118, 27, 71, 0, 0]"
2022-23,Apr,"[65, 362, 0, 0, 65, 362, 5.3, 1.63, None, 174, 56, 50, 5, 0, 0, 0, 0, 1, 113, 0, 1, 0, 0, 0, 0, 8, 0, 8, 0, 0, 0]"
2022-23,May,"[95, 1416, 1, 100, 96, 1516, 5.8, 2.52, None, 712, 456, 0, 54, 10, 0, 100, 16, 276, 129, 0, 0, 0, 0, 0, 0, 210, 100, 0, 110, 0, 0]"
2022-23,Jun,"[109, 1789, 1, 100, 110, 1889, 5.5, 1.77, None, 389, 131, 0, 125, 0, 0, 0, 5, 1, 661, 300, 0, 0, 300, 0, 0, 406, 0, 6, 400, 0, 0]"
2022-23,Jul,"[96, 2316, 1, 300, 97, 2616, 4.64, 1.28, None, 296, 288, 36, 60, 0, 0, 0, 164, 28, 118, 303, 3, 0, 300, 0, 0, 1611, 340, 51, 1220, 0, 0]"
2022-23,Aug,"[83, 1875, 0, 0, 83, 1875, 7.3, 1.63, None, 773, 540, 36, 504, 0, 0, 0, 0, 0, 66, 0, 0, 0, 0, 0, 0, 480, 50, 0, 430, 0, 0]"
