ref_month,release_date,short_total,short_0_1m,short_1_3m,short_3_12m,long_total,net_short_usd_mn,official_reserve_assets_usd_mn,parser_version
2013-01,2013-02-28,-13412.00,-2073.00,-3900.00,-7439.00,603.00,12809.00,295508.00,2
2013-02,2013-03-28,-13412.00,-1835.00,-5038.00,-6539.00,1302.00,12110.00,290912.00,2
2013-03,2013-04-30,-12812.00,-2570.00,-3343.00,-6899.00,1806.00,11006.00,292046.00,2
2013-04,2013-05-31,-10242.00,-2468.00,-1810.00,-5964.00,2009.00,8233.00,293892.00,2
2013-05,2013-06-27,-7774.00,-875.00,-1835.00,-5064.00,1974.00,5800.00,287897.00,2
2013-06,2013-07-31,-7159.00,-935.00,-1660.00,-4564.00,2245.00,4914.00,282454.00,2
2013-09,2013-10-31,-14463.00,-940.00,-2055.00,-11468.00,6802.00,7661.00,277233.00,2
2013-11,2013-12-31,-18497.00,-1005.00,-1364.00,-16128.00,12054.00,6443.00,290677.00,2
2013-12,2014-01-31,-18342.00,-834.00,-605.00,-16903.00,11704.00,6638.00,293877.00,2
2014-01,2014-02-28,-17508.00,-530.00,-870.00,-16108.00,11629.00,5879.00,291070.00,2
2014-02,2014-03-28,-16978.00,-75.00,-2250.00,-14653.00,11629.00,5349.00,294360.00,2
2014-03,2014-04-30,-16903.00,-795.00,-3660.00,-12448.00,11842.00,5061.00,304223.00,2
2014-04,2014-05-30,-16108.00,-1455.00,-4765.00,-9888.00,10015.00,6093.00,310986.00,2
2014-05,2014-06-30,-14653.00,-2205.00,-4000.00,-8448.00,29159.00,-14506.00,312207.00,2
2014-06,2014-07-31,-12468.00,-2580.00,-3279.00,-6609.00,38283.00,-25815.00,316138.00,2
2014-07,2014-08-28,-9888.00,-1440.00,-4850.00,-3598.00,41254.00,-31366.00,319808.00,2
2014-08,2014-09-30,-9153.00,-1839.00,-5869.00,-1445.00,40940.00,-31787.00,318399.00,2
2014-09,2014-10-31,-7450.00,-3011.00,-3708.00,-731.00,41840.00,-34390.00,313841.00,2
