date,3_MON,6_MON,1_MON
2001-01-31,4.24,4.32,4.24
2001-02-28,4.15,4.33,3.6
2001-03-31,4.44,4.55,4.34
2001-04-30,4.51,4.84,3.95
2001-05-31,4.95,5.06,5.02
2001-06-30,4.82,4.95,4.43
2001-07-31,4.5,4.73,4.22
2001-08-31,4.52,4.71,4.19
2001-09-30,5.6,5.5,5.57
2001-10-31,6.02,6.03,5.91
2001-11-30,6.16,6.21,5.72
2001-12-31,6.34,6.36,6.44
2002-01-31,6,5.99,5.7
2002-02-28,5.49,5.46,5.05
2002-03-31,6.46,5.93,6.91
2002-04-30,6.12,6.06,5.84
2002-05-31,6.23,6.19,6.04
2002-06-30,5.37,5.54,4.74
2002-07-31,4.4,4.56,4.08
2002-08-31,4.09,4.31,4
2002-09-30,3.94,4.04,3.87
2002-10-31,3.81,3.9,3.71
2002-11-30,3.66,3.87,3.34
2002-12-31,3.32,3.66,3.21
2003-01-31,3.42,3.41,3.45
2003-02-28,3.55,3.55,3.07
2003-03-31,3.6,3.5,3.81
2003-04-30,2.08,2.24,1.71
2003-05-31,1.1,1.03,1.09
2003-06-30,2.76,2.15,2.91
2003-07-31,2.65,2.29,2.79
2003-08-31,2.25,1.9,3.28
2003-09-30,0.523218,0.697624,0.026161
2003-10-31,0.02297804545455,0.29855245454545,-0.67041586363636
2003-11-30,-0.12223557894737,0.20467436842105,-0.84238352631579
2003-12-31,-0.29991027272727,0.04124804545455,-0.45442831818182
2004-01-31,0.49680004761905,0.40589847619048,0.72678376190476
2004-02-29,0.511461,0.49447272222222,0.52315105555556
2004-03-31,0.61542252380952,0.51302628571429,1.00230228571429
2004-04-30,-0.35723077777778,-0.1100525,-0.96607811111111
2004-05-31,-1.3255523,-0.69023295,-2.11002345
2004-06-30,0.92951245454545,0.64633354545455,1.458932
2004-07-31,2.24470645454545,1.86290472727273,2.71437240909091
2004-08-31,2.84738476190476,2.59541704761905,3.06729319047619
2004-09-30,2.2,1.88,2.5
2004-10-31,2.86396684210526,2.49714605263158,3.0552812631579
2004-11-30,2.16050194736842,1.90398715789474,2.47958278947368
2004-12-31,2.02858447826087,1.71847013043478,2.51197560869565
2005-01-31,2.49687815789474,2.07762363157895,2.87449373684211
2005-02-28,1.9856474,1.75930015,1.93177635
2005-03-31,1.82437561904762,1.62377276190476,2.27672128571429
2005-04-30,1.95801235294118,1.764342,2.10625217647059
2005-05-31,1.56980576190476,1.4732729047619,1.63932761904762
2005-06-30,1.39530536363636,1.30638854545455,1.53851909090909
2005-07-31,1.56390578947368,1.40684184210526,1.71816336842105
2005-08-31,0.68974304761905,0.79072114285714,0.48829571428571
2005-09-30,0.62,0.63,0.62
2005-10-31,0.69139775,0.5969112,0.88200045
2005-11-30,0.6352481,0.52741845,1.03335615
2005-12-31,1.50493295454545,1.06685054545455,2.20347431818182
2006-01-31,2.59978515,1.90342385,3.25393005
2006-02-28,2.85321173684211,2.19211110526316,2.93578005263158
2006-03-31,3.10872861904762,2.43399252380952,3.79505538095238
2006-04-30,1.30782852941176,1.29000564705882,1.41924811764706
2006-05-31,0.86559036363636,0.96621013636364,0.86254495454545
2006-06-30,0.72800422727273,0.97956645454545,0.523312
2006-07-31,0.82799252380952,1.04047961904762,0.68026123809524
2006-08-31,1.21866195454545,1.25915372727273,1.19093463636364
2006-09-30,1.30695042857143,1.2914630952381,1.26969766666667
2006-10-31,1.66568221052632,1.55889878947368,1.90023768421053
2006-11-30,2.06944872727273,1.93987881818182,2.21314931818182
2006-12-31,3.1965645,2.94144515,4.11192665
2007-01-31,4.21617915,3.55460485,4.5326181
2007-02-28,3.71482438888889,3.29670583333333,3.32121761111111
2007-03-31,4.5130914,3.80163685,6.9936081
2007-04-30,6.91194394736842,5.9321182631579,8.125324
2007-05-31,4.58365838095238,4.48258628571429,4.26354776190476
2007-06-30,2.59,2.79,2.1
2007-07-31,1.12131727272727,1.65227990909091,0.12291886363636
2007-08-31,1.58836457142857,1.60523085714286,1.68740357142857
2007-09-30,1.45403098478902,1.36767441288832,1.74536265702408
2007-10-31,1.12507397385865,1.2487675623329,1.14213597089428
2007-11-30,1.39691528318103,1.37486255713925,2.04466395629866
2007-12-31,1.64041943236483,1.70301584182594,2.45056576605021
2008-01-31,2.06855795446241,1.87560577987848,2.3287206887343
2008-02-29,0.23581476136202,0.68464054404749,-1.39993328196229
2008-03-31,1.25486910439304,1.18926924847453,1.78559102105741
2008-04-30,2.68485689340167,2.38355462702124,3.0236268700022
2008-05-31,2.45253697770868,1.85474885204447,3.28657439239456
2008-06-30,3.69203639114832,3.15191647910823,4.36771273070871
2008-07-31,6.04218668188917,4.91585527298949,7.53956806823899
2008-08-31,4.70968485598454,3.8408406082978,5.47711334885
2008-09-30,2.35169506864149,1.97751067853038,2.95237408727004
2008-10-31,1.13204295044596,0.6981587795047,2.4832358338844
2008-11-30,4.20139802568473,2.66401613593468,6.78115176569326
2008-12-31,4.58855898159998,3.22106971641629,5.77653403024246
2009-01-31,3.1044076483931,2.34883728925955,4.0612535149971
2009-02-28,2.68071682678075,2.12415419666369,3.19552425580488
2009-03-31,3.99048669468502,3.19732504990119,5.21841204773271
