as_on,published,release_id,total_reserves_usd_mn,fca_usd_mn,gold_usd_mn,sdr_usd_mn,imf_position_usd_mn,total_reserves_inr_cr,parser_version
2023-03-03,2023-03-10,25954,562400.00,497087.00,42033.00,18174.00,5107.00,4610849.00,2
2023-03-10,2023-03-17,25969,560003.00,494863.00,41923.00,18121.00,5096.00,4594592.00,2
2023-03-17,2023-03-24,25984,572801.00,505348.00,44109.00,18219.00,5125.00,4727502.00,2
2023-03-24,2023-03-31,25999,578778.00,509728.00,45480.00,18419.00,5151.00,4773649.00,2
2023-03-31,2023-04-07,26014,578449.00,509691.00,45200.00,18392.00,5165.00,4754265.00,2
2023-04-07,2023-04-14,26029,584755.00,514431.00,46696.00,18450.00,5178.00,4789256.00,2
2023-04-14,2023-04-21,26044,586412.00,516635.00,46175.00,18412.00,5190.00,4800370.00,2
2023-04-21,2023-04-28,26059,584248.00,514489.00,46151.00,18431.00,5176.00,4797026.00,2
2023-04-28,2023-05-05,26074,588780.00,519485.00,45657.00,18466.00,5172.00,4818457.00,2
2023-05-05,2023-05-12,26089,595976.00,526021.00,46315.00,18447.00,5192.00,4875737.00,2
2023-05-12,2023-05-19,26104,599529.00,529598.00,46353.00,18413.00,5164.00,4926121.00,2
2023-05-19,2023-05-26,26119,593477.00,524945.00,45127.00,18276.00,5130.00,4905462.00,2
2023-05-26,2023-06-02,26134,589138.00,520931.00,44902.00,18192.00,5113.00,4864556.00,2
2023-06-02,2023-06-09,26149,595067.00,526201.00,45557.00,18186.00,5123.00,4897289.00,2
2023-06-09,2023-06-16,26164,593749.00,525073.00,45374.00,18187.00,5115.00,4896139.00,2
2023-06-16,2023-06-23,26179,596098.00,527651.00,45049.00,18249.00,5149.00,4884306.00,2
2023-06-23,2023-06-30,26194,593198.00,525440.00,44304.00,18334.00,5120.00,4866441.00,2
2023-06-30,2023-07-07,26209,595051.00,527979.00,43832.00,18239.00,5002.00,4881602.00,2
2023-07-07,2023-07-14,26224,596280.00,528968.00,44060.00,18235.00,5017.00,4933658.00,2
2023-07-14,2023-07-21,26239,609022.00,540166.00,45197.00,18484.00,5175.00,5004017.00,2
2023-07-21,2023-07-28,26254,607035.00,537752.00,45614.00,18474.00,5196.00,4975431.00,2
2023-07-28,2023-08-04,26269,603870.00,535337.00,44904.00,18444.00,5185.00,4967138.00,2
