month,net_usd_mn,purchase_usd_mn,sale_usd_mn,inr_crore_equivalent,cumulative_usd_mn,cumulative_inr_crore
January 2026,2526,27999,25473,23705.97,-50783,-446550
December 2025,-10020,18330,28350,-88548.15,-53309,-470255.98
November 2025,-9710,14350,24060,-85402.03,-43289,-381707.82
October 2025,-11877,17685,29562,-104817.97,-33579,-296305.79
September 2025,-7910,2200,10110,-69884.15,-21702,-191487.82
August 2025,-7695,0,7695,-67455.96,-13792,-121603.67
July 2025,-2540,0,2540,-22266.98,-6097,-54147.7
June 2025,-3661,1164,4825,-31808,-3557,-31881
May 2025,1764,9124,7360,14562,104,-73
April 2025,-1660,10110,11770,-14634.78,-1660,-14634.78
March 2025,14355,41515,27160,124586,-34511,-291233
February 2025,-1621,45030,46651,-14024.12,-48866,-415818.77
January 2025,-11139,49145,60284,-95388.3,-47245,-401794.66
December 2024,-15150,53898,69048,-128753.41,-36106,-306406.36
November 2024,-20228,30880,51108,-170629.74,-20956,-177652.95
October 2024,-9275,27503,36778,-77968.62,-728,-7023.21
September 2024,9639,28930,19291,80549.22,8547,70945.41
August 2024,-6494,16141,22635,-54475.51,-1092,-9603.82
July 2024,6934,23569,16635,57887.36,5402,44871.69
June 2024,-2107,15936,18043,-17688.16,-1532,-13015.67
May 2024,4222,23647,19425,35160.37,575,4672.49
April 2024,-3647,8006,11653,-30487.87,-3647,-30487.87
March 2024,13249,14841,1592,110023.16,41271,339528.17
February 2024,8557,8557,,70981.1,28022,229505.01
January 2024,1950,10400,8450,16204.66,19465,158523.92
December 2023,2067,31730,29663,17234.07,17515,142319.26
November 2023,-1929,34986,36915,-15978.01,15448,125085.19
October 2023,-310,36650,36960,-3604.22,17377,141063.2
September 2023,-1508,27757,29265,-12611.25,17687,144667.41
August 2023,-3856,500,4356,-31994.47,19195,157278.66
July 2023,3472,5315,1843,28535.45,23051,189273.13
June 2023,4504,7785,3281,37062.58,19579,160737.68
May 2023,7371,7371,,60342,15075,123675
April 2023,7704,8404,700,63333,7704,63333
March 2023,750,6906,6156,5882.92,-25516,-217259
February 2023,254,4381,4127,1134.36,-26266,-223142
January 2023,-384,12902,13286,-3868.96,-26520,-224276.11
December 2022,3842,12817,8975,29295.12,-26136,-220407
November 2022,4361,22281,17920,33928.6,-29978,-249702
October 2022,-922,24855,25777,-10077.29,-34339,-283631
September 2022,-10361,23265,33626,-85131.7,-33417,-273553.58
August 2022,-4254,18858,23112,-35606.01,-23056,-188421.89
July 2022,-19049,19721,38770,-152265.27,-18802,-152815.87
June 2022,-3719,18960,22679,-29400.67,247,-550.6
May 2022,2001,10143,8142,14789.12,3966,28850.06
April 2022,1965,11965,10000,14060.94,1965,14060.94
March 2022,-20101,4315,24416,-153010.32,17312,134628.98
February 2022,771,5946,5175,6459.43,37413,287639.31
January 2022,-771,6548,7319,-4816.08,36642,281179.87
December 2021,-2917,7475,10392,-20808.64,37413,285995.95
November 2021,,8489,8489,1669.05,40330,306804.59
October 2021,-100,7755,7855,155.79,40330,305135.54
September 2021,791,9169,8378,7515.28,40430,304979.75
August 2021,3747,10887,7140,28894.7,39639,297464.47
July 2021,7205,16160,8955,54618.03,35892,268569.77
June 2021,18633,21923,3290,138216.79,28687,213952
May 2021,5842,7142,1300,43955.8,10054,75734.95
April 2021,4212,8182,3970,31779.14,4212,31779.14
March 2021,-5699,20250,25949,-41122.52,68315,510516
February 2021,-1219,23352,24571,-8474.65,74014,551638.77
January 2021,2854,18225,15371,21485.8,75233,560113.42
December 2020,3991,10014,6023,29438.92,72379,538627.62
November 2020,10261,14289,4028,76325.97,68388,509188.7
October 2020,15640,15640,,114895.62,58127,432862.73
September 2020,8172,13322,5150,60803.32,42487,317967.11
August 2020,5307,8524,3217,39505.14,34315,257163.79
July 2020,15973,16903,930,119677.04,29008,217658.66
June 2020,9814,14847,5033,73846.82,13035,97981.61
May 2020,4363,4663,300,32724.07,3221,24134.8
April 2020,-1142,2450,3592,-8589.27,-1142,-8589.27
March 2020,-4054,3984,8038,-30973.82,45097,312004.8
February 2020,9144,10604,1460,64882.72,49151,342978.61
January 2020,10266,11486,1220,72793.37,40007,278095.89
December 2019,4360,5374,1014,30894.34,29741,205302.52
November 2019,6928,7458,530,49142.48,25381,174408.19
October 2019,7102,7302,200,50256.96,18453,125265.7
