date,MBY_1993_94 · CURR_BASK_6CURR · NEER · TRD_WTS,MBY_1993_94 · CURR_BASK_6CURR · REER · TRD_WTS,MBY_2003_04 · CURR_BASK_6CURR · NEER · TRD_WTS,MBY_2003_04 · CURR_BASK_6CURR · REER · TRD_WTS,BY_2004_05 · CURR_BASK_6CURR · NEER · TRD_WTS,BY_2004_05 · CURR_BASK_6CURR · REER · TRD_WTS,BY_2004_05 · CURR_BASK_36CURR · NEER · EXP_WTS,BY_2004_05 · CURR_BASK_36CURR · NEER · TRD_WTS,BY_2004_05 · CURR_BASK_36CURR · REER · EXP_WTS,BY_2004_05 · CURR_BASK_36CURR · REER · TRD_WTS,BY_2015_16 · CURR_BASK_40CURR · NEER · EXP_WTS,BY_2015_16 · CURR_BASK_40CURR · NEER · TRD_WTS,BY_2015_16 · CURR_BASK_40CURR · REER · EXP_WTS,BY_2015_16 · CURR_BASK_40CURR · REER · TRD_WTS,BY_2015_16 · CURR_BASK_6CURR · NEER · TRD_WTS,BY_2015_16 · CURR_BASK_6CURR · REER · TRD_WTS,MBY_2005_06 · CURR_BASK_6CURR · NEER · TRD_WTS,MBY_2005_06 · CURR_BASK_6CURR · REER · TRD_WTS,MBY_2006_07 · CURR_BASK_6CURR · NEER · TRD_WTS,MBY_2006_07 · CURR_BASK_6CURR · REER · TRD_WTS,MBY_2007_08 · CURR_BASK_6CURR · NEER · TRD_WTS,MBY_2007_08 · CURR_BASK_6CURR · REER · TRD_WTS,MBY_2008_09 · CURR_BASK_6CURR · NEER · TRD_WTS,MBY_2008_09 · CURR_BASK_6CURR · REER · TRD_WTS,MBY_2009_10 · CURR_BASK_6CURR · NEER · TRD_WTS,MBY_2009_10 · CURR_BASK_6CURR · REER · TRD_WTS,MBY_2010_11 · CURR_BASK_6CURR · NEER · TRD_WTS,MBY_2010_11 · CURR_BASK_6CURR · REER · TRD_WTS,MBY_2011_12 · CURR_BASK_6CURR · NEER · TRD_WTS,MBY_2011_12 · CURR_BASK_6CURR · REER · TRD_WTS,MBY_2012_13 · CURR_BASK_6CURR · NEER · TRD_WTS,MBY_2012_13 · CURR_BASK_6CURR · REER · TRD_WTS,MBY_2013_14 · CURR_BASK_6CURR · NEER · TRD_WTS,MBY_2013_14 · CURR_BASK_6CURR · REER · TRD_WTS,MBY_2014_15 · CURR_BASK_6CURR · NEER · TRD_WTS,MBY_2014_15 · CURR_BASK_6CURR · REER · TRD_WTS,MBY_2016_17 · CURR_BASK_6CURR · NEER · TRD_WTS,MBY_2016_17 · CURR_BASK_6CURR · REER · TRD_WTS,MBY_2017_18 · CURR_BASK_6CURR · NEER · TRD_WTS,MBY_2017_18 · CURR_BASK_6CURR · REER · TRD_WTS,MBY_2018_19 · CURR_BASK_6CURR · NEER · TRD_WTS,MBY_2018_19 · CURR_BASK_6CURR · REER · TRD_WTS,MBY_2019_20 · CURR_BASK_6CURR · NEER · TRD_WTS,MBY_2019_20 · CURR_BASK_6CURR · REER · TRD_WTS,MBY_2020_21 · CURR_BASK_6CURR · NEER · TRD_WTS,MBY_2020_21 · CURR_BASK_6CURR · REER · TRD_WTS,MBY_2021_22 · CURR_BASK_6CURR · NEER · TRD_WTS,MBY_2021_22 · CURR_BASK_6CURR · REER · TRD_WTS
2001-01-31,75.28,101.81,107.93,102.99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2001-02-28,75.95,102.67,108.89,103.86,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2001-03-31,76.53,103.6,109.72,104.81,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2001-04-30,76.96,102.84,110.34,104.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2001-05-31,77.26,103.33,110.76,104.53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2001-06-30,78,104.51,111.83,105.73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2001-07-31,77.64,104.52,111.3,105.74,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2001-08-31,76.1,102.91,109.1,104.11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2001-09-30,74.59,100.68,106.93,101.85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2001-10-31,74.34,100.96,106.58,102.14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2001-11-30,75.08,102.09,107.64,103.27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2001-12-31,75.36,102.56,108.05,103.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2002-01-31,75.25,101.99,107.88,103.17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2002-02-28,75.28,101.82,107.93,103.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2002-03-31,74.87,101.68,107.33,102.86,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2002-04-30,74.29,99.04,106.51,100.19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2002-05-31,72.9,97.57,104.52,98.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2002-06-30,71.67,97.03,102.75,98.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2002-07-31,70.29,95.78,100.78,96.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2002-08-31,71.05,97.67,101.86,98.81,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2002-09-30,71.21,97.96,102.09,99.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2002-10-31,71.44,98.24,102.43,99.38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2002-11-30,70.91,97.76,101.66,98.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2002-12-31,70.6,97.16,101.21,98.29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
